Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,94,
Albania,75.4,"Source: Behavioral Surveillance Survey"
Armenia,86.1,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,73,"Source: Australian Needle and Syringe Program Survey"
Azerbaijan,80.6,
Bangladesh,83.9,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,87.9,
Belgium,83,"Source: Report: Bollaerts K; Van Bussel J. Development and validation of a serological and behavioural study protocol to register Drugs Related Infectious Diseases -DRID, Scientific Institute of Public Health, Brussels, Belgium, 2012."
Benin,94.6,
Bosnia and Herzegovina,92.7,
Brazil,54.3,"Source: Taxas de prevalência de HIV e sífilis e conhecimento, atitudes e práticas de risco relacionadas às infecções sexualmente transmissíveis entre usuários de drogas em 10 municípios brasileiros"
Bulgaria,72.9,
Cambodia,93.5,"Source:  IBBS 2017"
Canada,92.3,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,86.5,"Source: National HIV sentinel surveillance"
Czech Republic,47.8,"Source: MRAVČÍK, V., CHOMYNOVÁ, P., GROHMANNOVÁ, K., JANÍKOVÁ, B., TION LEŠTINOVÁ, Z., ROUS, Z., KIŠŠOVÁ, L., KOZÁK, J., NECHANSKÁ, B., VLACH, T., ČERNÍKOVÁ, T., FIDESOVÁ, H., JURYSTOVÁ, L., VOPRAVIL, J. 2016. Výroční zpráva o stavu ve věcech drog v České republice v roce 2015 [Annual Report on Drug Situation 2015 – Czech Republic] MRAVČÍK, V. (Ed.). Praha: Úřad vlády České republiky."
Democratic Republic of the Congo,50.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Dominican Republic,70.8,"Source: Proyecto sobre el Estado del Problema de Heroína en República Dominicana, Abril, 2013."
Egypt,31.5,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,97.4,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
Georgia,90.4,
Germany,90.2,"Source: BBS"
Greece,86,"Source: Greek Reitox focal point of the EMCDDA (from people entering OSST)"
Hungary,84.9,
India,86.4,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,88.9,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),73.4,"Source: IBBS, 2019"
Kazakhstan,52.6,"Source: Behavioral surveillance, 2018"
Kenya,88.4,"Source: Poll booth survey 2017"
Kyrgyzstan,80.9,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Lebanon,98.5,"Source: IBBS"
Lithuania,65.9,"Source: Lithuanian Centre for Communicable Diseases and AIDS, 2017"
Madagascar,68.4,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable, Année 2016"
Malaysia,79.5,"Source:  Behavioural Surveillance Survey, 2017"
Mauritius,92.2,"Source:  IBBS among PWID in 2017"
Mexico,71.3,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,92,"Source: Bio-behavioural Survey, RDS sampling method"
Morocco,92.1,"Source: Étude RDS auprès des PID, 2017"
Myanmar,90.8,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,97.6,"Source:  Integrated biological and behavioural Surveillance Survey 2017"
New Zealand,62.1,
Nigeria,70.9,
Pakistan,72.5,
Philippines,63.6,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Poland,82,"Source: New Development, Trends and in-depth information on selected issues. National report, 2013"
Republic of Moldova,99.4,
Romania,86.2,"Source:  NAA's Behavioural Surveillance Survey -2015"
Senegal,74.3,
Serbia,83.2,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Seychelles,58.5,
Sierra Leone,40.7,
Sri Lanka,80.5,"Source: Behavioral surveillance, 2018"
Sweden,55,
Switzerland,55.6,
Tajikistan,55.6,"Source: Behavioral surveillance, 2018"
Thailand,95.3,"Source: Integrated Bio-Behavioral  Survey (IBBS) using Respondent Driven Sampling (RDS) Method"
The former Yugoslav Republic of Macedonia,94.6,"Source: Respondent driven sampling among PWID in the capital city, 2017."
Tunisia,90.9,"Source: Enquête sérocomportementale auprès des UDI réalisée en 2017-2018"
Ukraine,96.6,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,34,"Source: UAM Survey of PWID"
United Republic of Tanzania,84.2,
United States,35,"Source: National HIV Behavioral Surveillance System (NHBS)"
Uzbekistan,85.1,
Viet Nam,98.2,"Source: HSS+"
