Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,10 000,"Region: Kabul, Herat, Mazar , Jalalabad, Kunduz and Kandahar; Method: Key informant interview, mapping and enumeration with revers tracking method (RTM), multiplier method, capture recapture method, wisdom of the crowed and anchored multiplier; Source: PSE survey"
Albania,7100,"Region: National; Method: MSM reached by services extrapolated from three cities; Source: Programme data"
Angola,29 400,"Region: 5 provinces; Method: PLACE; Source: PLACE"
Argentina,205 600,"Region: National; Method: Literature review"
Armenia,16 100,"Region: National; Method: Unique object and service multiplier, wisdom of the crowds and SS-PSE"
Australia,263 500,"Region: National; Method: Direct estimate based on population survey; Source: ABS census data and Australian Study of Health and Relationships 2"
Azerbaijan,23 900,"Region: National; Method: Service and unique object multiplier and SS-PSE; Source: Sentinel surveillance"
Bahamas,2800,"Region: New Provindence; Method: Methods contributing to the median include: Median of multiplier (using two different sources), wisdom of the crowds and literature review; Source: Multiplier methods used Adam4Adam.com and C-Change survey data"
Bangladesh,101 700,"Region: National; Method: Mapping and extrapolation; Source: Size Estimation Survey of Key Populations in Bangladesh, 2015"
Barbados,2600,"Region: National; Method: Multiplier"
Belarus,32 000,"Region: National; Method: Unknown; Source: Отчет "
Benin,5800,"Region: National; Method: Wisdom of the masses and association membership"
Bolivia (Plurinational State of),30 300,"Region: National; Method: Programmatic mapping; Source: Mapeo Programático y Social"
Bosnia and Herzegovina,6900,"Region: National; Method: Multiplier and consensus meeting"
Botswana,2600,"Region: 12 health districts (Greater Gaborone, Greater Francistown, Boteti, Chobe,  Kgalagadi North, Ngamiland, Palapye, Selebi-Phikwe, Serowe,Kweneng West, Okavango and Tutume); Method: Service multiplier; Source: Mapping & Size Estimation of Select Key Populations in Botswana (2017)"
Brazil,2 037 700,"Region: National; Method: Household survey; Source: KAP study: PCAP 2013"
Bulgaria,57 800,"Region: National; Method: Expert opinion (3% of males 15-54)"
Burkina Faso,3500,"Region: Kadiogo, Houet, Comoe, Boulkiemde and others; Method: PLACE"
Burundi,9300,"Region: National; Method: PLACE; Source: PLACE"
Cabo Verde,700,"Region: Praia, Sao Vicente and Sal; Method: Enumeration; Source: Etude socio comportamentale et de prevalence VIH en hommes ayant de sexe avec des hommes"
Cambodia,88 000,"Region: National; Method: Triangulation and consensus; Source: Based on IBBS 2019 and data triangulation with national  prevention database that used UIC"
Cameroon,7000,"Region: National; Method: Programmatic mapping; Source: Cartographie programmatique et estimation de taille des Travailleuses de Sexe, des Hommes ayant des rapports sexuels avec des Hommes, les Usagers de Drogue et les Adolescent(e)s et jeunes vulnérables au VIH au Cameroun"
Canada,349 800,"Region: National; Method: % of male adult population; Source: Literature review, Canadian Community Health Survey"
Central African Republic,3000,"Region: Capitale (Bangui), préfectures (Berberati ; Bouar), sous-préfetures (Boali ; Carnot); Methods: Wisdom of the masses, unique object multiplier and social event; Source: Enquête  sur la cartographie, l'estimation de la taille des professionnelles de sexe  et des hommes ayant des rapports sexuels avec d'autres hommes à Bangui, Boali, Bouar, Carnot et Berberati en République Centrafricaine en 2019"
Colombia,300 000,"Region:  Bogotá, Cali y Medellín; Method: Unique object multiplier and capture-recapture.; Source: Comportamiento sexual y prevalencia de VIH en hombres que tienen relaciones sexuales con hombres en tres ciudades de Colombia: Bogotá, Medellín y Santiago de Cali, 2019"
Comoros,590,"Region: National; Method: Programmatic mapping; Source: Rapport de l'enquête cartographie et estimation des TS et HSH en Union des Comores"
Congo,1300,"Region: Brazzaville and Pointe-Noire; Method: Programmatic mapping; Source: La cartographie programmatique des populations clés les PS, HSH et CDI les plus exposées à l'infection du VIH en République du Congo"
Costa Rica,10 100,"Region: Gran Área Metropolitana; Method: Unique object multiplier; Source: Encuesta seroprevalencia"
Croatia,29 500,"Region: National; Method: Multiplier; Source: EMIS survey and Marcus et all, 2013"
Cuba,279 200,"Region: National; Method: Enumeration; Source: Encuesta de Indicadores de Prevención del vih/sida 2017"
