Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Afghanistan,83 ,22 , 180,85 ,24 , 180,51 ,15 , 110,66 ,20 , 140,67 ,22 , 140,70 ,24 , 140,69 ,24 , 140,80 ,29 , 160,83 ,31 , 160,98 ,38 , 190,100 ,40 , 200,130 ,49 , 240,130 ,52 , 260,130 ,51 , 250,130 ,49 , 240,120 ,45 , 220,110 ,41 , 210,92 ,34 , 180,98 ,36 , 190
Albania,0 ,0 , 0,0 ,0 , 1,0 ,0 , 0,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,0 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 1,1 ,0 , 2,1 ,0 , 2,1 ,1 , 2,1 ,1 , 2,1 ,0 , 2,1 ,1 , 2,1 ,1 , 2,1 ,1 , 2
Algeria,11 ,6 , 18,13 ,7 , 21,9 ,6 , 12,12 ,6 , 19,14 ,7 , 22,17 ,9 , 27,18 ,10 , 29,24 ,13 , 39,24 ,13 , 39,29 ,15 , 47,34 ,18 , 54,40 ,21 , 64,44 ,24 , 71,43 ,23 , 69,46 ,25 , 74,49 ,26 , 79,50 ,27 , 81,48 ,26 , 77,53 ,28 , 85
Andorra,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Angola,4800 ,1500 , 9800,4900 ,1600 , 9900,3000 ,940 , 6300,3400 ,1100 , 7100,4400 ,1400 , 9000,5200 ,1700 , 11 000,4300 ,1500 , 8600,3000 ,1800 , 4500,6800 ,2300 , 14 000,3500 ,2100 , 5300,8600 ,3000 , 17 000,5500 ,3300 , 8300,9400 ,3400 , 18 000,8500 ,3000 , 17 000,9100 ,3200 , 18 000,8200 ,2800 , 16 000,8700 ,3000 , 17 000,9100 ,3100 , 18 000,3700 ,2400 , 5300
Antigua and Barbuda,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,0 , 1,1 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,1 ,1 , 1,1 ,0 , 1,0 ,0 , 1,1 ,0 , 2,0 ,0 , 1,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0
Argentina,140 ,66 , 230,140 ,68 , 240,89 ,43 , 150,98 ,47 , 170,110 ,52 , 190,110 ,51 , 180,99 ,48 , 170,130 ,61 , 210,120 ,63 , 190,95 ,46 , 160,94 ,46 , 160,140 ,69 , 240,130 ,63 , 220,130 ,62 , 210,120 ,60 , 210,120 ,60 , 210,150 ,80 , 250,140 ,71 , 220,150 ,76 , 240
Armenia,4 ,1 , 10,6 ,1 , 14,5 ,1 , 11,7 ,2 , 16,9 ,2 , 20,16 ,4 , 34,13 ,4 , 29,16 ,5 , 34,15 ,4 , 33,15 ,4 , 32,5 ,3 , 9,11 ,7 , 16,17 ,11 , 24,17 ,11 , 25,22 ,15 , 31,27 ,18 , 39,15 ,9 , 21,17 ,11 , 25,20 ,13 , 28
Australia,16 ,5 , 33,14 ,4 , 29,14 ,4 , 30,14 ,4 , 30,8 ,2 , 18,9 ,3 , 20,10 ,3 , 22,7 ,2 , 14,8 ,2 , 17,8 ,2 , 17,9 ,3 , 19,8 ,2 , 18,3 ,1 , 5,6 ,3 , 9,4 ,2 , 6,5 ,2 , 8,4 ,2 , 7,5 ,3 , 8,5 ,2 , 8
Austria,13 ,6 , 22,10 ,5 , 18,11 ,5 , 19,11 ,5 , 19,5 ,2 , 9,6 ,3 , 11,5 ,2 , 9,4 ,2 , 7,4 ,2 , 6,3 ,2 , 6,4 ,2 , 7,4 ,2 , 7,4 ,2 , 7,3 ,1 , 5,3 ,1 , 4,2 ,1 , 4,4 ,2 , 7,3 ,2 , 5,2 ,1 , 4
