States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,1.17 ,0.53 , 2.20,1.63 ,0.88 , 2.88,2.17 ,1.29 , 3.67,2.77 ,1.71 , 4.35,3.40 ,2.17 , 5.08,4.02 ,2.67 , 5.80,4.59 ,3.19 , 6.44,5.05 ,3.53 , 6.95,5.39 ,3.88 , 7.39,5.58 ,4.04 , 7.48,5.62 ,4.23 , 7.39,5.53 ,4.25 , 7.08,5.34 ,4.24 , 6.75,5.08 ,4.04 , 6.44,4.73 ,3.73 , 5.91,4.20 ,3.26 , 5.29,3.52 ,2.66 , 4.47,2.66 ,1.95 , 3.49,1.88 ,1.30 , 2.57,1.41 ,1.00 , 1.95,1.10 ,0.79 , 1.52,0.87 ,0.64 , 1.20,0.71 ,0.55 , 0.98,0.58 ,0.45 , 0.79,0.48 ,0.38 , 0.66,0.46 ,0.35 , 0.63,0.38 ,0.29 , 0.52,0.36 ,0.28 , 0.52,0.41 ,0.31 , 0.62,0.36 ,0.27 , 0.52
Afar,0.33 ,0.09 , 1.34,0.43 ,0.13 , 1.65,0.55 ,0.18 , 1.89,0.68 ,0.24 , 1.98,0.81 ,0.31 , 1.99,0.93 ,0.39 , 2.10,1.05 ,0.47 , 2.08,1.14 ,0.54 , 2.08,1.21 ,0.63 , 2.08,1.26 ,0.71 , 2.07,1.29 ,0.76 , 2.00,1.28 ,0.78 , 1.88,1.26 ,0.80 , 1.81,1.23 ,0.79 , 1.75,1.18 ,0.78 , 1.64,1.11 ,0.75 , 1.56,1.02 ,0.71 , 1.43,0.91 ,0.63 , 1.27,0.80 ,0.55 , 1.13,0.71 ,0.48 , 1.01,0.64 ,0.43 , 0.90,0.57 ,0.39 , 0.82,0.53 ,0.36 , 0.75,0.49 ,0.33 , 0.69,0.47 ,0.32 , 0.67,0.43 ,0.29 , 0.61,0.38 ,0.24 , 0.54,0.32 ,0.20 , 0.47,0.30 ,0.18 , 0.44,0.28 ,0.17 , 0.42
Amhara,0.42 ,0.20 , 0.87,0.53 ,0.28 , 1.05,0.65 ,0.37 , 1.22,0.76 ,0.45 , 1.38,0.87 ,0.54 , 1.48,0.97 ,0.61 , 1.55,1.06 ,0.69 , 1.63,1.13 ,0.76 , 1.68,1.18 ,0.82 , 1.73,1.21 ,0.85 , 1.72,1.22 ,0.88 , 1.68,1.21 ,0.88 , 1.63,1.18 ,0.88 , 1.59,1.15 ,0.86 , 1.52,1.09 ,0.82 , 1.43,0.98 ,0.73 , 1.31,0.84 ,0.62 , 1.15,0.66 ,0.46 , 0.96,0.50 ,0.33 , 0.76,0.41 ,0.27 , 0.63,0.34 ,0.23 , 0.54,0.29 ,0.19 , 0.46,0.24 ,0.16 , 0.39,0.20 ,0.13 , 0.33,0.18 ,0.12 , 0.31,0.18 ,0.11 , 0.30,0.16 ,0.10 , 0.28,0.16 ,0.10 , 0.28,0.16 ,0.10 , 0.27,0.16 ,0.10 , 0.27
Beneshangul Gumuz,0.16 ,0.05 , 0.36,0.21 ,0.07 , 0.45,0.26 ,0.10 , 0.52,0.32 ,0.14 , 0.59,0.38 ,0.18 , 0.66,0.43 ,0.22 , 0.72,0.48 ,0.26 , 0.78,0.53 ,0.30 , 0.81,0.57 ,0.34 , 0.85,0.60 ,0.38 , 0.87,0.62 ,0.41 , 0.88,0.63 ,0.43 , 0.87,0.63 ,0.46 , 0.88,0.62 ,0.45 , 0.86,0.61 ,0.45 , 0.84,0.57 ,0.43 , 0.80,0.51 ,0.39 , 0.73,0.44 ,0.31 , 0.64,0.36 ,0.24 , 0.55,0.31 ,0.20 , 0.48,0.27 ,0.17 , 0.43,0.24 ,0.14 , 0.39,0.21 ,0.12 , 0.35,0.19 ,0.11 , 0.32,0.19 ,0.10 , 0.32,0.18 ,0.10 , 0.31,0.18 ,0.10 , 0.29,0.14 ,0.09 , 0.23,0.10 ,0.06 , 0.17,0.10 ,0.06 , 0.16
Dire Dawa,1.08 ,0.32 , 3.19,1.36 ,0.41 , 3.61,1.65 ,0.58 , 4.03,1.94 ,0.70 , 4.38,2.22 ,0.89 , 4.66,2.47 ,1.08 , 4.80,2.69 ,1.22 , 4.92,2.87 ,1.39 , 4.91,2.98 ,1.56 , 4.86,3.05 ,1.67 , 4.85,3.06 ,1.71 , 4.70,3.03 ,1.85 , 4.58,2.97 ,1.91 , 4.44,2.88 ,1.89 , 4.26,2.75 ,1.88 , 4.02,2.52 ,1.78 , 3.66,2.23 ,1.57 , 3.18,1.83 ,1.23 , 2.56,1.44 ,0.95 , 2.07,1.19 ,0.82 , 1.77,1.01 ,0.67 , 1.50,0.86 ,0.56 , 1.30,0.74 ,0.47 , 1.14,0.66 ,0.42 , 1.02,0.67 ,0.43 , 1.01,0.66 ,0.42 , 1.00,0.66 ,0.42 , 1.01,0.58 ,0.38 , 0.89,0.50 ,0.32 , 0.81,0.56 ,0.34 , 0.89
Gambella,1.16 ,0.33 , 3.61,1.50 ,0.47 , 4.24,1.88 ,0.63 , 4.78,2.28 ,0.85 , 5.27,2.69 ,1.13 , 5.85,3.07 ,1.42 , 6.04,3.43 ,1.72 , 6.23,3.75 ,2.01 , 6.31,4.01 ,2.28 , 6.31,4.20 ,2.53 , 6.37,4.31 ,2.74 , 6.32,4.36 ,2.89 , 6.24,4.35 ,2.96 , 6.11,4.28 ,3.05 , 6.02,4.17 ,3.06 , 5.77,4.01 ,2.97 , 5.50,3.80 ,2.85 , 5.14,3.51 ,2.62 , 4.70,3.21 ,2.33 , 4.31,2.96 ,2.14 , 3.99,2.72 ,1.95 , 3.66,2.51 ,1.77 , 3.39,2.33 ,1.65 , 3.12,2.19 ,1.55 , 2.92,2.14 ,1.54 , 2.86,1.99 ,1.42 , 2.62,1.64 ,1.15 , 2.21,0.93 ,0.65 , 1.26,0.53 ,0.37 , 0.73,0.37 ,0.26 , 0.51
Harari,0.34 ,0.06 , 1.26,0.43 ,0.09 , 1.54,0.54 ,0.11 , 1.84,0.65 ,0.15 , 2.02,0.77 ,0.21 , 2.23,0.89 ,0.30 , 2.34,1.01 ,0.37 , 2.41,1.11 ,0.44 , 2.53,1.21 ,0.52 , 2.55,1.29 ,0.61 , 2.55,1.35 ,0.66 , 2.59,1.39 ,0.72 , 2.55,1.42 ,0.77 , 2.41,1.42 ,0.82 , 2.31,1.38 ,0.82 , 2.18,1.22 ,0.75 , 1.87,0.99 ,0.62 , 1.50,0.72 ,0.43 , 1.12,0.55 ,0.34 , 0.88,0.45 ,0.31 , 0.70,0.38 ,0.27 , 0.57,0.34 ,0.25 , 0.49,0.33 ,0.25 , 0.45,0.32 ,0.25 , 0.45,0.28 ,0.23 , 0.40,0.23 ,0.18 , 0.33,0.18 ,0.14 , 0.27,0.17 ,0.13 , 0.30,0.20 ,0.13 , 0.34,0.18 ,0.12 , 0.30
Oromiya,0.33 ,0.15 , 0.69,0.40 ,0.19 , 0.75,0.46 ,0.23 , 0.82,0.52 ,0.28 , 0.89,0.56 ,0.33 , 0.92,0.60 ,0.35 , 0.94,0.63 ,0.39 , 0.96,0.64 ,0.41 , 0.96,0.65 ,0.43 , 0.96,0.64 ,0.44 , 0.93,0.63 ,0.44 , 0.90,0.61 ,0.44 , 0.87,0.58 ,0.42 , 0.81,0.55 ,0.40 , 0.77,0.52 ,0.38 , 0.73,0.46 ,0.34 , 0.66,0.39 ,0.28 , 0.56,0.31 ,0.21 , 0.46,0.24 ,0.15 , 0.36,0.19 ,0.12 , 0.30,0.16 ,0.10 , 0.26,0.14 ,0.09 , 0.22,0.12 ,0.08 , 0.19,0.09 ,0.06 , 0.16,0.08 ,0.05 , 0.15,0.07 ,0.05 , 0.13,0.07 ,0.04 , 0.13,0.07 ,0.05 , 0.12,0.06 ,0.04 , 0.10,0.05 ,0.03 , 0.09
SNNPR,0.19 ,0.07 , 0.42,0.23 ,0.08 , 0.48,0.28 ,0.11 , 0.53,0.32 ,0.14 , 0.59,0.36 ,0.17 , 0.64,0.39 ,0.21 , 0.66,0.42 ,0.24 , 0.67,0.44 ,0.27 , 0.68,0.46 ,0.29 , 0.68,0.47 ,0.31 , 0.68,0.47 ,0.32 , 0.67,0.46 ,0.33 , 0.65,0.45 ,0.34 , 0.63,0.44 ,0.33 , 0.60,0.42 ,0.31 , 0.57,0.38 ,0.28 , 0.52,0.34 ,0.24 , 0.46,0.28 ,0.19 , 0.39,0.22 ,0.14 , 0.32,0.18 ,0.12 , 0.27,0.15 ,0.10 , 0.23,0.13 ,0.08 , 0.20,0.11 ,0.07 , 0.17,0.10 ,0.06 , 0.15,0.09 ,0.05 , 0.15,0.09 ,0.05 , 0.14,0.09 ,0.05 , 0.14,0.08 ,0.05 , 0.13,0.07 ,0.04 , 0.11,0.07 ,0.04 , 0.11
Somali,0.08 ,0.02 , 0.24,0.10 ,0.03 , 0.29,0.12 ,0.03 , 0.32,0.14 ,0.04 , 0.34,0.16 ,0.06 , 0.37,0.18 ,0.07 , 0.38,0.20 ,0.08 , 0.39,0.21 ,0.09 , 0.40,0.22 ,0.11 , 0.40,0.22 ,0.12 , 0.39,0.22 ,0.13 , 0.37,0.22 ,0.13 , 0.35,0.21 ,0.13 , 0.34,0.20 ,0.13 , 0.32,0.19 ,0.12 , 0.30,0.18 ,0.11 , 0.28,0.16 ,0.10 , 0.25,0.14 ,0.09 , 0.22,0.12 ,0.07 , 0.19,0.10 ,0.06 , 0.17,0.09 ,0.05 , 0.15,0.08 ,0.04 , 0.14,0.07 ,0.04 , 0.12,0.06 ,0.03 , 0.11,0.06 ,0.03 , 0.11,0.06 ,0.03 , 0.10,0.05 ,0.03 , 0.09,0.04 ,0.02 , 0.08,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.07
