States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,<1000 ,<500 , 1500,1200 ,<1000 , 2300,1800 ,<1000 , 3300,2500 ,1300 , 4300,3300 ,1800 , 5400,4200 ,2500 , 6600,5000 ,3200 , 7500,5800 ,3800 , 8300,6400 ,4300 , 8700,6800 ,4700 , 8900,7100 ,5000 , 9000,7100 ,5300 , 9000,7100 ,5400 , 8800,6900 ,5400 , 8600,6500 ,5100 , 8200,5800 ,4500 , 7400,4800 ,3600 , 6300,3500 ,2500 , 4800,2300 ,1500 , 3400,1600 ,1000 , 2500,1200 ,<1000 , 1900,<1000 ,<1000 , 1500,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Afar,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Amhara,<1000 ,<500 , 1300,<1000 ,<500 , 1800,1100 ,<1000 , 2400,1500 ,<1000 , 3100,2000 ,1100 , 3800,2500 ,1400 , 4500,3100 ,1900 , 5200,3700 ,2300 , 5900,4300 ,2800 , 6500,4900 ,3200 , 7300,5400 ,3600 , 7800,5900 ,3900 , 8400,6200 ,4200 , 8800,6500 ,4600 , 8900,6600 ,4700 , 8800,6200 ,4400 , 8300,5400 ,3800 , 7400,4100 ,2800 , 5800,2900 ,1700 , 4500,2200 ,1300 , 3600,1800 ,1100 , 3100,1600 ,<1000 , 2700,1400 ,<1000 , 2400,1200 ,<1000 , 2300,1200 ,<1000 , 2300,1200 ,<1000 , 2200,1100 ,<1000 , 2000,1000 ,<1000 , 1800,<1000 ,<1000 , 1800,<1000 ,<1000 , 1800
Beneshangul Gumuz,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Dire Dawa,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Gambella,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Harari,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Oromiya,<1000 ,<500 , 2100,1300 ,<1000 , 2800,1700 ,<1000 , 3600,2300 ,1000 , 4500,2900 ,1400 , 5400,3600 ,1900 , 6400,4300 ,2400 , 7300,5000 ,3000 , 8300,5600 ,3400 , 9000,6200 ,3900 , 9400,6700 ,4300 , 9800,7100 ,4800 , 10 000,7300 ,5100 , 11 000,7500 ,5400 , 11 000,7500 ,5400 , 10 000,7100 ,5100 , 10 000,6400 ,4600 , 9200,5200 ,3500 , 7800,4000 ,2500 , 6300,3200 ,1900 , 5400,2700 ,1500 , 4600,2300 ,1200 , 4100,2000 ,1100 , 3700,2100 ,1100 , 3900,2200 ,1100 , 4000,2100 ,1100 , 3900,1900 ,1000 , 3600,1600 ,<1000 , 3200,1500 ,<1000 , 3000,1500 ,<1000 , 3200
SNNPR,<500 ,<100 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1600,<1000 ,<500 , 1900,1200 ,<1000 , 2300,1500 ,<1000 , 2600,1700 ,<1000 , 2900,1900 ,1100 , 3100,2100 ,1200 , 3200,2300 ,1500 , 3400,2500 ,1600 , 3600,2600 ,1800 , 3600,2700 ,1900 , 3700,2700 ,2000 , 3600,2600 ,1900 , 3500,2300 ,1700 , 3200,1900 ,1300 , 2700,1500 ,<1000 , 2200,1200 ,<1000 , 1900,1000 ,<1000 , 1600,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1300
Somali,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
