States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,42 ,28 , 53,62 ,42 , 78,93 ,65 , 100,100 ,68 , 100,93 ,64 , 100,100 ,79 , 100,92 ,64 , 100,90 ,62 , 100,100 ,77 , 100,98 ,67 , 100
Afar,19 ,13 , 27,29 ,20 , 39,11 ,7 , 14,24 ,17 , 32,50 ,34 , 66,60 ,41 , 81,58 ,40 , 77,37 ,25 , 49,56 ,40 , 76,100 ,71 , 100
Amhara,24 ,17 , 32,37 ,27 , 49,60 ,43 , 76,73 ,52 , 96,69 ,50 , 87,75 ,54 , 97,76 ,54 , 98,68 ,48 , 87,94 ,67 , 100,78 ,56 , 100
Beneshangul Gumuz,23 ,15 , 33,35 ,24 , 49,49 ,33 , 69,46 ,31 , 64,66 ,44 , 91,66 ,45 , 92,67 ,45 , 91,57 ,38 , 78,55 ,37 , 76,54 ,35 , 74
Dire Dawa,47 ,34 , 63,72 ,52 , 94,100 ,82 , 100,100 ,73 , 100,100 ,81 , 100,100 ,78 , 100,82 ,60 , 100,91 ,66 , 100,73 ,53 , 99,74 ,53 , 100
Gambella,22 ,15 , 29,34 ,24 , 47,44 ,30 , 57,28 ,20 , 38,30 ,21 , 41,77 ,53 , 100,71 ,50 , 97,80 ,57 , 100,67 ,47 , 91,75 ,53 , 100
Harari,48 ,37 , 59,73 ,55 , 88,66 ,50 , 80,76 ,57 , 93,70 ,52 , 86,88 ,66 , 100,81 ,59 , 100,89 ,63 , 100,96 ,66 , 100,78 ,52 , 100
Oromiya,22 ,15 , 31,34 ,23 , 48,45 ,31 , 62,64 ,44 , 88,75 ,52 , 100,71 ,48 , 98,65 ,45 , 91,68 ,47 , 92,87 ,60 , 100,73 ,51 , 100
SNNPR,25 ,17 , 33,39 ,26 , 51,55 ,37 , 71,77 ,52 , 98,55 ,38 , 71,79 ,55 , 100,68 ,47 , 87,56 ,39 , 72,69 ,48 , 91,31 ,22 , 41
Somali,3 ,2 , 5,4 ,3 , 7,8 ,5 , 13,17 ,11 , 28,15 ,9 , 25,55 ,33 , 87,32 ,19 , 51,44 ,26 , 70,19 ,11 , 30,23 ,14 , 37
Tigray,24 ,18 , 33,36 ,26 , 48,100 ,76 , 100,83 ,60 , 100,100 ,74 , 100,97 ,70 , 100,78 ,56 , 100,78 ,55 , 100,88 ,61 , 100,82 ,56 , 100
National,26 ,18,34,39 ,27,52,61 ,43,82,72 ,50,96,74 ,51,99,81 ,56,100,73 ,51,97,70 ,48,93,87 ,61,100,74 ,52,99
