States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,19.48 ,12.68 , 29.35,21.35 ,14.14 , 31.87,20.66 ,13.56 , 30.24,17.78 ,12.24 , 26.55,12.92 ,9.04 , 19.76,9.47 ,6.70 , 14.11,6.34 ,4.25 , 9.31,4.87 ,3.39 , 6.78,3.97 ,2.90 , 5.29,3.21 ,2.45 , 4.16,2.88 ,2.19 , 3.67,2.43 ,1.79 , 3.06,2.27 ,1.65 , 2.81,2.01 ,1.43 , 2.51,1.82 ,1.29 , 2.30,1.58 ,1.10 , 2.01,1.40 ,0.98 , 1.85,1.48 ,1.03 , 1.96,1.26 ,0.86 , 1.69,1.19 ,0.82 , 1.64,1.12 ,0.75 , 1.58,0.99 ,0.65 , 1.45,0.89 ,0.59 , 1.35,0.81 ,0.51 , 1.27,0.72 ,0.46 , 1.17,0.61 ,0.38 , 1.03,0.57 ,0.33 , 1.00,0.55 ,0.32 , 1.02,0.48 ,0.26 , 0.93,0.44 ,0.23 , 0.88
Afar,4.67 ,2.00 , 9.12,4.67 ,2.36 , 8.04,4.55 ,2.46 , 7.57,4.23 ,2.44 , 6.88,3.55 ,2.17 , 5.68,3.06 ,1.93 , 4.84,2.49 ,1.64 , 3.97,2.29 ,1.60 , 3.75,1.84 ,1.29 , 2.81,1.72 ,1.24 , 2.52,1.66 ,1.20 , 2.34,1.55 ,1.14 , 2.08,1.37 ,1.02 , 1.80,1.34 ,0.99 , 1.73,1.16 ,0.85 , 1.50,1.11 ,0.82 , 1.45,1.02 ,0.74 , 1.35,0.90 ,0.65 , 1.22,1.00 ,0.70 , 1.37,0.93 ,0.65 , 1.29,0.84 ,0.57 , 1.15,0.79 ,0.53 , 1.08,0.74 ,0.48 , 1.06,0.69 ,0.41 , 1.04,0.65 ,0.38 , 0.98,0.60 ,0.35 , 0.91,0.55 ,0.31 , 0.84,0.49 ,0.27 , 0.77,0.46 ,0.25 , 0.76,0.43 ,0.23 , 0.76
Amhara,5.32 ,3.30 , 8.36,5.59 ,3.70 , 8.59,5.80 ,4.01 , 8.57,5.38 ,3.63 , 7.82,4.85 ,3.26 , 6.93,4.30 ,2.96 , 5.99,3.77 ,2.58 , 5.24,3.19 ,2.22 , 4.41,2.80 ,1.98 , 3.80,2.35 ,1.70 , 3.17,2.05 ,1.51 , 2.79,1.85 ,1.36 , 2.53,1.67 ,1.24 , 2.23,1.45 ,1.07 , 1.92,1.25 ,0.93 , 1.66,1.12 ,0.83 , 1.48,1.04 ,0.76 , 1.37,0.95 ,0.69 , 1.28,0.86 ,0.63 , 1.16,0.80 ,0.58 , 1.09,0.73 ,0.53 , 1.02,0.66 ,0.47 , 0.93,0.60 ,0.42 , 0.85,0.55 ,0.36 , 0.80,0.50 ,0.32 , 0.75,0.46 ,0.28 , 0.70,0.42 ,0.24 , 0.65,0.38 ,0.21 , 0.60,0.36 ,0.19 , 0.56,0.33 ,0.18 , 0.54
Beneshangul Gumuz,2.32 ,0.97 , 3.72,2.77 ,1.33 , 4.39,2.91 ,1.70 , 4.47,2.96 ,1.90 , 4.22,2.83 ,1.80 , 3.98,2.52 ,1.67 , 3.59,2.28 ,1.45 , 3.34,2.12 ,1.33 , 3.43,1.79 ,1.16 , 3.04,1.52 ,0.99 , 2.33,1.31 ,0.88 , 2.00,1.12 ,0.77 , 1.65,1.06 ,0.72 , 1.54,0.95 ,0.64 , 1.36,0.82 ,0.56 , 1.19,0.74 ,0.50 , 1.07,0.77 ,0.52 , 1.12,0.70 ,0.47 , 1.02,0.65 ,0.43 , 0.95,0.62 ,0.40 , 0.93,0.57 ,0.37 , 0.87,0.54 ,0.34 , 0.82,0.51 ,0.31 , 0.77,0.49 ,0.29 , 0.75,0.47 ,0.27 , 0.74,0.44 ,0.24 , 0.70,0.41 ,0.22 , 0.67,0.32 ,0.15 , 0.57,0.30 ,0.13 , 0.53,0.29 ,0.12 , 0.53
Dire Dawa,12.96 ,5.97 , 24.87,12.66 ,6.43 , 23.01,11.50 ,6.12 , 20.02,10.32 ,5.70 , 17.31,8.44 ,5.10 , 13.69,7.04 ,4.55 , 10.85,6.91 ,4.68 , 10.07,6.42 ,4.54 , 9.05,4.75 ,3.49 , 6.47,4.75 ,3.51 , 6.21,4.25 ,3.19 , 5.47,3.62 ,2.77 , 4.69,3.58 ,2.72 , 4.61,3.21 ,2.48 , 4.16,3.26 ,2.49 , 4.17,2.84 ,2.15 , 3.60,2.62 ,1.98 , 3.36,2.52 ,1.88 , 3.29,2.33 ,1.70 , 3.06,2.12 ,1.52 , 2.83,1.90 ,1.22 , 2.53,1.78 ,1.14 , 2.46,1.68 ,1.02 , 2.43,1.60 ,0.95 , 2.46,1.51 ,0.89 , 2.46,1.41 ,0.82 , 2.39,1.28 ,0.72 , 2.34,1.14 ,0.62 , 2.22,1.08 ,0.55 , 2.17,1.02 ,0.50 , 2.09
Gambella,17.34 ,7.07 , 32.22,17.82 ,8.74 , 29.66,18.56 ,10.79 , 29.20,17.57 ,11.11 , 27.34,15.60 ,10.15 , 24.63,13.49 ,8.68 , 20.50,12.76 ,8.17 , 19.21,11.44 ,7.44 , 16.74,9.99 ,6.71 , 14.03,8.56 ,5.76 , 11.73,7.74 ,5.31 , 10.35,6.91 ,4.83 , 9.26,6.06 ,4.29 , 8.19,5.32 ,3.79 , 7.17,5.05 ,3.66 , 6.88,4.89 ,3.51 , 6.57,4.49 ,3.19 , 5.94,4.24 ,2.98 , 5.71,3.86 ,2.70 , 5.27,3.66 ,2.55 , 5.05,3.57 ,2.46 , 4.92,3.40 ,2.31 , 4.68,3.24 ,2.19 , 4.51,3.07 ,2.04 , 4.39,2.88 ,1.89 , 4.22,2.69 ,1.71 , 3.96,2.43 ,1.49 , 3.72,1.86 ,1.03 , 3.10,1.64 ,0.85 , 2.99,1.60 ,0.82 , 3.09
Harari,4.57 ,1.37 , 12.09,5.15 ,1.88 , 11.79,5.29 ,2.29 , 11.52,5.71 ,2.75 , 11.24,5.68 ,2.99 , 10.48,5.58 ,3.19 , 9.53,5.19 ,3.30 , 8.35,4.60 ,3.03 , 7.00,4.59 ,3.19 , 6.63,4.17 ,3.06 , 5.69,3.82 ,2.87 , 4.98,3.49 ,2.74 , 4.41,3.18 ,2.54 , 3.84,3.10 ,2.45 , 3.75,2.89 ,2.24 , 3.44,2.75 ,2.04 , 3.30,2.54 ,1.80 , 3.10,2.44 ,1.70 , 3.07,2.28 ,1.49 , 2.97,2.11 ,1.33 , 2.82,2.09 ,1.23 , 2.96,2.02 ,1.14 , 2.99,1.97 ,1.09 , 3.03,1.66 ,0.86 , 2.68,1.43 ,0.74 , 2.41,1.23 ,0.60 , 2.19,1.02 ,0.48 , 2.02,1.01 ,0.45 , 2.01,0.95 ,0.39 , 2.02,0.87 ,0.35 , 1.98
Oromiya,4.04 ,2.58 , 6.47,3.93 ,2.65 , 5.83,3.70 ,2.58 , 5.49,3.26 ,2.23 , 4.92,2.80 ,1.89 , 4.32,2.17 ,1.43 , 3.26,1.81 ,1.20 , 2.64,1.58 ,1.08 , 2.31,1.38 ,0.95 , 1.97,1.14 ,0.79 , 1.61,1.04 ,0.73 , 1.47,0.85 ,0.61 , 1.19,0.78 ,0.57 , 1.11,0.68 ,0.50 , 0.98,0.70 ,0.51 , 1.02,0.58 ,0.41 , 0.84,0.56 ,0.39 , 0.82,0.51 ,0.36 , 0.76,0.46 ,0.32 , 0.69,0.45 ,0.31 , 0.66,0.40 ,0.28 , 0.60,0.37 ,0.25 , 0.56,0.35 ,0.22 , 0.52,0.25 ,0.15 , 0.47,0.24 ,0.14 , 0.44,0.22 ,0.13 , 0.41,0.21 ,0.12 , 0.37,0.19 ,0.11 , 0.34,0.18 ,0.10 , 0.32,0.16 ,0.10 , 0.30
SNNPR,2.25 ,1.12 , 3.70,2.36 ,1.40 , 3.72,2.26 ,1.53 , 3.53,2.12 ,1.49 , 3.26,1.89 ,1.28 , 2.86,1.68 ,1.13 , 2.52,1.46 ,1.01 , 2.24,1.20 ,0.82 , 1.75,1.07 ,0.74 , 1.53,0.92 ,0.66 , 1.27,0.78 ,0.56 , 1.08,0.71 ,0.51 , 0.95,0.64 ,0.47 , 0.86,0.51 ,0.38 , 0.69,0.47 ,0.34 , 0.65,0.41 ,0.29 , 0.56,0.41 ,0.29 , 0.57,0.36 ,0.25 , 0.51,0.32 ,0.22 , 0.45,0.30 ,0.21 , 0.43,0.25 ,0.17 , 0.36,0.22 ,0.15 , 0.34,0.21 ,0.13 , 0.32,0.19 ,0.12 , 0.31,0.18 ,0.11 , 0.28,0.16 ,0.10 , 0.26,0.15 ,0.09 , 0.25,0.14 ,0.08 , 0.23,0.13 ,0.07 , 0.23,0.12 ,0.07 , 0.21
Somali,1.01 ,0.39 , 2.05,1.06 ,0.51 , 2.14,0.94 ,0.49 , 1.76,0.80 ,0.44 , 1.56,0.79 ,0.43 , 1.51,0.66 ,0.37 , 1.19,0.55 ,0.32 , 0.96,0.44 ,0.26 , 0.72,0.45 ,0.27 , 0.70,0.35 ,0.21 , 0.53,0.32 ,0.20 , 0.49,0.26 ,0.16 , 0.41,0.26 ,0.16 , 0.41,0.24 ,0.14 , 0.37,0.21 ,0.13 , 0.34,0.21 ,0.13 , 0.35,0.19 ,0.11 , 0.31,0.16 ,0.09 , 0.27,0.13 ,0.08 , 0.23,0.12 ,0.06 , 0.20,0.11 ,0.06 , 0.18,0.10 ,0.05 , 0.17,0.09 ,0.04 , 0.16,0.09 ,0.04 , 0.16,0.08 ,0.04 , 0.15,0.08 ,0.04 , 0.15,0.07 ,0.03 , 0.14,0.06 ,0.03 , 0.14,0.06 ,0.03 , 0.13,0.06 ,0.02 , 0.13
