States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,12.73 ,8.49 , 19.38,13.99 ,9.24 , 20.87,13.67 ,8.98 , 19.34,11.98 ,8.29 , 18.08,9.07 ,6.57 , 13.70,6.99 ,5.06 , 9.92,5.08 ,3.76 , 7.26,4.14 ,3.17 , 5.70,3.53 ,2.81 , 4.55,2.97 ,2.37 , 3.74,2.63 ,2.09 , 3.23,2.22 ,1.76 , 2.71,2.00 ,1.56 , 2.43,1.74 ,1.35 , 2.14,1.53 ,1.18 , 1.85,1.34 ,1.02 , 1.65,1.19 ,0.88 , 1.48,1.20 ,0.87 , 1.54,0.99 ,0.71 , 1.30,0.94 ,0.66 , 1.22,0.87 ,0.61 , 1.18,0.74 ,0.50 , 1.07,0.62 ,0.41 , 0.94,0.56 ,0.36 , 0.88,0.52 ,0.33 , 0.87,0.45 ,0.28 , 0.75,0.43 ,0.26 , 0.76,0.41 ,0.25 , 0.74,0.35 ,0.21 , 0.67,0.32 ,0.18 , 0.63
Afar,2.81 ,1.17 , 5.58,2.83 ,1.42 , 4.83,2.79 ,1.61 , 4.62,2.64 ,1.57 , 4.21,2.29 ,1.44 , 3.60,2.03 ,1.28 , 3.14,1.72 ,1.12 , 2.60,1.60 ,1.07 , 2.44,1.34 ,0.92 , 2.00,1.26 ,0.89 , 1.85,1.20 ,0.87 , 1.68,1.12 ,0.83 , 1.50,1.00 ,0.75 , 1.30,0.96 ,0.72 , 1.24,0.85 ,0.63 , 1.10,0.81 ,0.59 , 1.05,0.74 ,0.55 , 0.97,0.66 ,0.48 , 0.87,0.70 ,0.51 , 0.93,0.66 ,0.47 , 0.89,0.58 ,0.40 , 0.78,0.53 ,0.36 , 0.72,0.53 ,0.36 , 0.72,0.49 ,0.29 , 0.69,0.44 ,0.25 , 0.65,0.40 ,0.22 , 0.59,0.37 ,0.21 , 0.57,0.34 ,0.20 , 0.54,0.30 ,0.17 , 0.51,0.25 ,0.14 , 0.43
Amhara,2.84 ,1.76 , 4.44,3.03 ,2.01 , 4.56,3.19 ,2.20 , 4.59,3.04 ,2.12 , 4.33,2.82 ,1.95 , 3.96,2.58 ,1.80 , 3.54,2.33 ,1.64 , 3.16,2.05 ,1.46 , 2.73,1.85 ,1.33 , 2.47,1.61 ,1.20 , 2.15,1.42 ,1.07 , 1.88,1.29 ,0.98 , 1.74,1.16 ,0.87 , 1.56,1.02 ,0.77 , 1.38,0.89 ,0.67 , 1.19,0.79 ,0.60 , 1.06,0.73 ,0.55 , 0.98,0.67 ,0.50 , 0.90,0.59 ,0.44 , 0.80,0.56 ,0.41 , 0.76,0.50 ,0.37 , 0.69,0.45 ,0.32 , 0.64,0.39 ,0.28 , 0.57,0.35 ,0.23 , 0.54,0.34 ,0.22 , 0.52,0.30 ,0.18 , 0.47,0.28 ,0.16 , 0.44,0.26 ,0.15 , 0.43,0.23 ,0.12 , 0.38,0.23 ,0.11 , 0.37
Beneshangul Gumuz,1.34 ,0.56 , 2.19,1.61 ,0.77 , 2.54,1.71 ,0.96 , 2.59,1.77 ,1.13 , 2.52,1.72 ,1.11 , 2.44,1.58 ,1.06 , 2.20,1.47 ,1.00 , 2.08,1.40 ,0.93 , 2.02,1.22 ,0.83 , 1.85,1.08 ,0.74 , 1.60,0.95 ,0.66 , 1.40,0.84 ,0.59 , 1.19,0.79 ,0.55 , 1.11,0.71 ,0.49 , 1.00,0.63 ,0.44 , 0.89,0.57 ,0.40 , 0.80,0.57 ,0.40 , 0.81,0.52 ,0.36 , 0.76,0.48 ,0.31 , 0.70,0.45 ,0.30 , 0.66,0.42 ,0.27 , 0.62,0.38 ,0.25 , 0.58,0.35 ,0.22 , 0.54,0.34 ,0.20 , 0.52,0.31 ,0.17 , 0.49,0.29 ,0.16 , 0.46,0.27 ,0.15 , 0.45,0.22 ,0.11 , 0.39,0.21 ,0.09 , 0.37,0.20 ,0.09 , 0.37
Dire Dawa,7.73 ,3.44 , 14.65,7.60 ,3.87 , 13.41,6.99 ,3.85 , 11.89,6.36 ,3.59 , 10.70,5.33 ,3.17 , 8.49,4.55 ,2.91 , 6.98,4.48 ,2.98 , 6.57,4.19 ,2.85 , 5.94,3.23 ,2.27 , 4.44,3.19 ,2.31 , 4.29,2.88 ,2.13 , 3.78,2.48 ,1.86 , 3.27,2.42 ,1.85 , 3.13,2.18 ,1.67 , 2.83,2.17 ,1.66 , 2.86,1.90 ,1.44 , 2.47,1.74 ,1.31 , 2.24,1.66 ,1.24 , 2.18,1.47 ,1.07 , 1.98,1.36 ,0.98 , 1.84,1.21 ,0.81 , 1.70,1.10 ,0.71 , 1.57,1.00 ,0.62 , 1.47,0.96 ,0.58 , 1.48,0.91 ,0.54 , 1.48,0.85 ,0.51 , 1.47,0.80 ,0.46 , 1.45,0.71 ,0.39 , 1.35,0.69 ,0.37 , 1.36,0.66 ,0.33 , 1.31
Gambella,10.38 ,4.13 , 19.15,10.79 ,5.10 , 18.19,11.34 ,6.46 , 18.07,10.92 ,7.01 , 17.72,9.94 ,6.72 , 15.76,8.86 ,6.06 , 13.30,8.51 ,5.90 , 12.44,7.81 ,5.46 , 10.90,7.01 ,4.99 , 9.55,6.19 ,4.44 , 8.21,5.63 ,4.07 , 7.50,5.06 ,3.69 , 6.70,4.49 ,3.24 , 6.00,3.97 ,2.88 , 5.33,3.70 ,2.67 , 5.00,3.56 ,2.56 , 4.75,3.28 ,2.35 , 4.34,3.08 ,2.21 , 4.09,2.81 ,1.94 , 3.71,2.62 ,1.83 , 3.51,2.49 ,1.72 , 3.40,2.31 ,1.57 , 3.15,2.16 ,1.45 , 2.99,2.11 ,1.42 , 3.00,1.98 ,1.31 , 2.83,1.70 ,1.08 , 2.55,1.57 ,0.96 , 2.40,1.21 ,0.67 , 2.01,1.12 ,0.59 , 1.98,1.08 ,0.55 , 1.99
Harari,2.55 ,0.73 , 6.60,2.89 ,1.04 , 6.71,3.00 ,1.22 , 6.52,3.27 ,1.53 , 6.62,3.29 ,1.74 , 6.29,3.27 ,1.86 , 5.59,3.09 ,1.92 , 5.01,2.79 ,1.83 , 4.28,2.79 ,1.91 , 4.06,2.56 ,1.83 , 3.57,2.36 ,1.76 , 3.17,2.16 ,1.65 , 2.75,1.97 ,1.57 , 2.42,1.91 ,1.54 , 2.33,1.78 ,1.41 , 2.16,1.69 ,1.31 , 2.04,1.56 ,1.15 , 1.89,1.49 ,1.04 , 1.85,1.40 ,0.95 , 1.80,1.32 ,0.87 , 1.78,1.27 ,0.77 , 1.75,1.19 ,0.68 , 1.76,1.19 ,0.66 , 1.82,1.00 ,0.54 , 1.59,0.89 ,0.45 , 1.44,0.75 ,0.36 , 1.31,0.64 ,0.30 , 1.22,0.62 ,0.28 , 1.25,0.57 ,0.25 , 1.29,0.54 ,0.22 , 1.28
Oromiya,2.23 ,1.40 , 3.55,2.22 ,1.51 , 3.38,2.14 ,1.50 , 3.27,1.95 ,1.39 , 2.90,1.74 ,1.22 , 2.59,1.43 ,1.01 , 2.12,1.24 ,0.89 , 1.81,1.12 ,0.80 , 1.59,1.00 ,0.70 , 1.39,0.86 ,0.60 , 1.20,0.78 ,0.55 , 1.08,0.66 ,0.47 , 0.93,0.60 ,0.44 , 0.85,0.53 ,0.38 , 0.74,0.52 ,0.37 , 0.74,0.44 ,0.31 , 0.62,0.41 ,0.29 , 0.58,0.37 ,0.26 , 0.54,0.33 ,0.23 , 0.48,0.32 ,0.22 , 0.47,0.28 ,0.19 , 0.42,0.26 ,0.17 , 0.38,0.24 ,0.15 , 0.35,0.17 ,0.10 , 0.32,0.16 ,0.09 , 0.29,0.15 ,0.09 , 0.28,0.15 ,0.08 , 0.25,0.13 ,0.07 , 0.24,0.12 ,0.07 , 0.21,0.11 ,0.06 , 0.20
SNNPR,1.27 ,0.62 , 2.14,1.35 ,0.78 , 2.17,1.33 ,0.90 , 2.03,1.28 ,0.91 , 1.90,1.17 ,0.85 , 1.73,1.07 ,0.76 , 1.56,0.97 ,0.70 , 1.39,0.83 ,0.60 , 1.17,0.75 ,0.54 , 1.06,0.67 ,0.48 , 0.90,0.58 ,0.43 , 0.79,0.53 ,0.38 , 0.71,0.48 ,0.35 , 0.63,0.40 ,0.29 , 0.53,0.36 ,0.26 , 0.49,0.32 ,0.23 , 0.43,0.30 ,0.22 , 0.42,0.27 ,0.19 , 0.37,0.23 ,0.16 , 0.32,0.22 ,0.15 , 0.31,0.18 ,0.12 , 0.26,0.16 ,0.11 , 0.23,0.14 ,0.09 , 0.22,0.13 ,0.07 , 0.20,0.13 ,0.08 , 0.20,0.11 ,0.06 , 0.17,0.11 ,0.06 , 0.17,0.10 ,0.06 , 0.16,0.09 ,0.05 , 0.15,0.09 ,0.05 , 0.15
Somali,0.59 ,0.22 , 1.21,0.62 ,0.29 , 1.20,0.57 ,0.30 , 1.05,0.50 ,0.27 , 0.89,0.49 ,0.27 , 0.88,0.43 ,0.24 , 0.72,0.37 ,0.22 , 0.60,0.31 ,0.18 , 0.48,0.31 ,0.18 , 0.45,0.25 ,0.15 , 0.37,0.23 ,0.14 , 0.35,0.20 ,0.12 , 0.30,0.19 ,0.12 , 0.29,0.17 ,0.11 , 0.28,0.16 ,0.10 , 0.25,0.16 ,0.10 , 0.25,0.14 ,0.08 , 0.23,0.12 ,0.07 , 0.20,0.11 ,0.06 , 0.17,0.09 ,0.05 , 0.15,0.09 ,0.05 , 0.15,0.08 ,0.04 , 0.13,0.07 ,0.04 , 0.13,0.07 ,0.04 , 0.12,0.06 ,0.03 , 0.11,0.05 ,0.02 , 0.10,0.05 ,0.02 , 0.10,0.04 ,0.02 , 0.09,0.04 ,0.02 , 0.09,0.04 ,0.02 , 0.08
