States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,16.86 ,10.98 , 26.04,18.85 ,12.49 , 28.27,18.49 ,12.03 , 26.96,16.10 ,10.98 , 24.35,11.81 ,8.04 , 18.55,8.70 ,5.96 , 13.33,5.83 ,4.03 , 8.69,4.48 ,3.18 , 6.44,3.64 ,2.68 , 4.92,2.92 ,2.14 , 3.86,2.60 ,1.93 , 3.39,2.17 ,1.56 , 2.75,2.00 ,1.43 , 2.56,1.75 ,1.22 , 2.22,1.57 ,1.10 , 2.04,1.34 ,0.96 , 1.75,1.18 ,0.81 , 1.58,1.24 ,0.84 , 1.68,1.04 ,0.70 , 1.42,0.98 ,0.65 , 1.34,0.92 ,0.59 , 1.27,0.81 ,0.51 , 1.17,0.72 ,0.46 , 1.11,0.65 ,0.40 , 1.03,0.58 ,0.35 , 0.95,0.50 ,0.29 , 0.82,0.46 ,0.26 , 0.78,0.44 ,0.25 , 0.78,0.39 ,0.20 , 0.73,0.35 ,0.17 , 0.68
Afar,4.04 ,1.71 , 7.95,4.15 ,2.03 , 7.12,4.14 ,2.29 , 7.08,3.94 ,2.20 , 6.37,3.38 ,1.98 , 5.55,2.96 ,1.82 , 4.63,2.44 ,1.54 , 3.89,2.26 ,1.53 , 3.59,1.83 ,1.25 , 2.80,1.73 ,1.21 , 2.54,1.66 ,1.18 , 2.32,1.56 ,1.14 , 2.12,1.39 ,1.04 , 1.85,1.35 ,0.99 , 1.76,1.17 ,0.86 , 1.52,1.12 ,0.81 , 1.45,1.03 ,0.76 , 1.39,0.91 ,0.64 , 1.21,1.01 ,0.71 , 1.39,0.94 ,0.65 , 1.29,0.84 ,0.57 , 1.17,0.79 ,0.53 , 1.13,0.75 ,0.49 , 1.07,0.69 ,0.41 , 1.03,0.65 ,0.39 , 0.98,0.60 ,0.35 , 0.92,0.55 ,0.31 , 0.85,0.49 ,0.27 , 0.77,0.46 ,0.25 , 0.79,0.42 ,0.22 , 0.76
Amhara,4.66 ,2.81 , 7.35,5.04 ,3.27 , 7.58,5.35 ,3.63 , 8.12,5.05 ,3.36 , 7.43,4.64 ,3.02 , 6.81,4.18 ,2.83 , 5.77,3.70 ,2.52 , 5.19,3.16 ,2.26 , 4.38,2.80 ,1.96 , 3.84,2.37 ,1.72 , 3.22,2.07 ,1.47 , 2.78,1.88 ,1.36 , 2.54,1.71 ,1.22 , 2.31,1.48 ,1.06 , 1.96,1.29 ,0.92 , 1.69,1.15 ,0.82 , 1.48,1.07 ,0.79 , 1.43,0.98 ,0.72 , 1.31,0.89 ,0.65 , 1.20,0.83 ,0.61 , 1.15,0.76 ,0.54 , 1.06,0.68 ,0.48 , 0.96,0.62 ,0.43 , 0.89,0.57 ,0.38 , 0.84,0.52 ,0.33 , 0.78,0.48 ,0.29 , 0.72,0.43 ,0.25 , 0.67,0.40 ,0.22 , 0.61,0.37 ,0.20 , 0.58,0.35 ,0.18 , 0.54
Beneshangul Gumuz,2.46 ,1.02 , 3.94,2.96 ,1.43 , 4.74,3.12 ,1.77 , 4.76,3.19 ,2.03 , 4.66,3.04 ,1.96 , 4.28,2.71 ,1.80 , 3.92,2.46 ,1.58 , 3.67,2.29 ,1.48 , 3.50,1.93 ,1.24 , 3.18,1.64 ,1.07 , 2.62,1.42 ,0.94 , 2.17,1.21 ,0.83 , 1.76,1.14 ,0.77 , 1.64,1.02 ,0.69 , 1.46,0.89 ,0.61 , 1.28,0.80 ,0.53 , 1.15,0.84 ,0.56 , 1.24,0.76 ,0.51 , 1.12,0.70 ,0.45 , 1.05,0.68 ,0.44 , 1.00,0.62 ,0.40 , 0.95,0.59 ,0.38 , 0.90,0.56 ,0.34 , 0.85,0.54 ,0.32 , 0.84,0.51 ,0.29 , 0.82,0.48 ,0.27 , 0.76,0.45 ,0.24 , 0.72,0.35 ,0.17 , 0.61,0.32 ,0.15 , 0.59,0.31 ,0.14 , 0.56
Dire Dawa,12.42 ,5.67 , 24.12,12.19 ,6.17 , 22.14,11.11 ,6.04 , 19.48,9.98 ,5.71 , 16.99,8.15 ,5.02 , 13.57,6.78 ,4.33 , 10.67,6.65 ,4.49 , 9.95,6.15 ,4.35 , 8.91,4.53 ,3.27 , 6.23,4.51 ,3.26 , 6.02,4.02 ,2.99 , 5.33,3.41 ,2.55 , 4.47,3.37 ,2.54 , 4.39,3.00 ,2.25 , 3.87,3.04 ,2.22 , 3.92,2.64 ,1.98 , 3.42,2.43 ,1.83 , 3.15,2.34 ,1.69 , 3.08,2.17 ,1.56 , 2.96,1.96 ,1.40 , 2.72,1.76 ,1.11 , 2.45,1.66 ,1.06 , 2.35,1.56 ,0.96 , 2.31,1.50 ,0.88 , 2.25,1.41 ,0.83 , 2.24,1.31 ,0.77 , 2.20,1.20 ,0.68 , 2.14,1.07 ,0.57 , 2.07,1.01 ,0.52 , 2.02,0.96 ,0.48 , 1.92
Gambella,18.27 ,7.16 , 34.69,18.86 ,9.14 , 32.33,19.64 ,11.52 , 33.04,18.58 ,11.84 , 31.46,16.44 ,10.74 , 26.25,14.16 ,9.07 , 21.09,13.34 ,8.59 , 19.98,11.90 ,7.77 , 17.43,10.35 ,6.91 , 14.42,8.83 ,5.94 , 11.87,7.96 ,5.47 , 10.73,7.08 ,4.91 , 9.56,6.20 ,4.48 , 8.38,5.43 ,3.86 , 7.40,5.14 ,3.68 , 7.14,4.98 ,3.53 , 6.91,4.56 ,3.28 , 6.15,4.31 ,3.04 , 5.96,3.93 ,2.71 , 5.42,3.73 ,2.58 , 5.15,3.64 ,2.49 , 5.09,3.47 ,2.35 , 4.90,3.31 ,2.25 , 4.78,3.14 ,2.09 , 4.56,2.95 ,1.91 , 4.38,2.76 ,1.77 , 4.22,2.50 ,1.50 , 3.88,1.92 ,1.09 , 3.28,1.69 ,0.87 , 3.02,1.65 ,0.84 , 3.12
Harari,4.20 ,1.23 , 11.31,4.84 ,1.73 , 10.95,5.07 ,2.07 , 11.24,5.56 ,2.65 , 11.44,5.62 ,2.96 , 10.42,5.57 ,3.27 , 9.77,5.22 ,3.32 , 8.53,4.66 ,3.04 , 7.32,4.66 ,3.15 , 7.00,4.25 ,3.02 , 5.84,3.90 ,2.84 , 5.21,3.56 ,2.68 , 4.50,3.24 ,2.55 , 4.00,3.16 ,2.44 , 3.87,2.93 ,2.28 , 3.54,2.78 ,2.08 , 3.39,2.57 ,1.85 , 3.20,2.47 ,1.68 , 3.20,2.30 ,1.53 , 3.06,2.14 ,1.37 , 2.97,2.12 ,1.25 , 3.00,2.04 ,1.12 , 2.96,2.00 ,1.06 , 3.07,1.69 ,0.86 , 2.72,1.46 ,0.72 , 2.51,1.26 ,0.60 , 2.26,1.05 ,0.49 , 2.07,1.04 ,0.47 , 2.07,0.97 ,0.41 , 2.13,0.89 ,0.35 , 2.04
Oromiya,4.71 ,2.98 , 7.52,4.68 ,3.12 , 7.25,4.47 ,3.10 , 6.86,3.99 ,2.70 , 6.06,3.49 ,2.33 , 5.49,2.73 ,1.81 , 4.14,2.29 ,1.54 , 3.41,2.02 ,1.39 , 2.96,1.77 ,1.22 , 2.55,1.47 ,1.03 , 2.11,1.35 ,0.97 , 1.92,1.10 ,0.79 , 1.59,1.02 ,0.73 , 1.48,0.89 ,0.64 , 1.27,0.92 ,0.66 , 1.31,0.75 ,0.54 , 1.10,0.73 ,0.52 , 1.07,0.67 ,0.48 , 0.97,0.61 ,0.43 , 0.90,0.59 ,0.41 , 0.87,0.53 ,0.37 , 0.80,0.49 ,0.33 , 0.73,0.46 ,0.30 , 0.69,0.33 ,0.20 , 0.61,0.31 ,0.19 , 0.58,0.29 ,0.17 , 0.53,0.27 ,0.16 , 0.48,0.25 ,0.14 , 0.44,0.23 ,0.14 , 0.42,0.22 ,0.13 , 0.39
SNNPR,2.35 ,1.19 , 3.97,2.49 ,1.49 , 3.88,2.40 ,1.63 , 3.83,2.26 ,1.59 , 3.44,2.02 ,1.37 , 3.16,1.80 ,1.21 , 2.71,1.57 ,1.09 , 2.42,1.29 ,0.90 , 1.91,1.15 ,0.80 , 1.68,0.99 ,0.70 , 1.42,0.85 ,0.60 , 1.18,0.77 ,0.54 , 1.05,0.69 ,0.50 , 0.93,0.55 ,0.40 , 0.74,0.51 ,0.36 , 0.69,0.45 ,0.31 , 0.63,0.45 ,0.32 , 0.62,0.39 ,0.28 , 0.57,0.35 ,0.24 , 0.50,0.33 ,0.22 , 0.47,0.27 ,0.18 , 0.39,0.25 ,0.16 , 0.37,0.23 ,0.14 , 0.35,0.21 ,0.13 , 0.33,0.19 ,0.12 , 0.31,0.18 ,0.10 , 0.29,0.17 ,0.10 , 0.27,0.16 ,0.09 , 0.26,0.15 ,0.08 , 0.24,0.13 ,0.07 , 0.23
Somali,1.09 ,0.43 , 2.24,1.17 ,0.56 , 2.31,1.07 ,0.55 , 2.02,0.92 ,0.49 , 1.77,0.92 ,0.49 , 1.74,0.79 ,0.43 , 1.39,0.66 ,0.38 , 1.10,0.53 ,0.32 , 0.83,0.54 ,0.33 , 0.82,0.42 ,0.26 , 0.64,0.39 ,0.24 , 0.58,0.32 ,0.19 , 0.49,0.32 ,0.19 , 0.50,0.29 ,0.17 , 0.46,0.26 ,0.16 , 0.41,0.26 ,0.16 , 0.43,0.23 ,0.13 , 0.38,0.20 ,0.11 , 0.33,0.16 ,0.09 , 0.28,0.14 ,0.08 , 0.24,0.13 ,0.06 , 0.22,0.12 ,0.06 , 0.21,0.11 ,0.05 , 0.20,0.10 ,0.05 , 0.19,0.10 ,0.05 , 0.18,0.09 ,0.04 , 0.18,0.08 ,0.04 , 0.17,0.08 ,0.03 , 0.17,0.07 ,0.03 , 0.16,0.07 ,0.03 , 0.16
