States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,19.85 ,12.88 , 30.35,22.32 ,14.93 , 33.54,22.04 ,14.44 , 32.32,19.33 ,12.98 , 28.40,14.29 ,9.89 , 21.68,10.62 ,7.47 , 15.67,7.18 ,4.91 , 10.68,5.57 ,4.00 , 7.72,4.58 ,3.32 , 6.08,3.72 ,2.82 , 4.89,3.36 ,2.57 , 4.29,2.84 ,2.12 , 3.54,2.66 ,1.93 , 3.34,2.36 ,1.68 , 2.96,2.15 ,1.52 , 2.73,1.85 ,1.30 , 2.36,1.65 ,1.14 , 2.15,1.75 ,1.21 , 2.30,1.49 ,1.04 , 2.02,1.41 ,0.97 , 1.95,1.33 ,0.91 , 1.87,1.18 ,0.77 , 1.71,1.05 ,0.69 , 1.62,0.95 ,0.59 , 1.50,0.85 ,0.53 , 1.38,0.73 ,0.44 , 1.28,0.67 ,0.40 , 1.19,0.65 ,0.37 , 1.21,0.57 ,0.31 , 1.12,0.52 ,0.26 , 1.04
Afar,4.76 ,1.96 , 9.36,4.91 ,2.42 , 8.43,4.91 ,2.73 , 8.27,4.68 ,2.68 , 7.59,4.01 ,2.41 , 6.44,3.52 ,2.21 , 5.63,2.90 ,1.85 , 4.69,2.68 ,1.83 , 4.30,2.17 ,1.49 , 3.32,2.05 ,1.48 , 3.00,1.97 ,1.43 , 2.75,1.84 ,1.37 , 2.45,1.64 ,1.23 , 2.17,1.60 ,1.15 , 2.06,1.38 ,1.01 , 1.82,1.32 ,0.95 , 1.71,1.21 ,0.89 , 1.65,1.07 ,0.75 , 1.43,1.18 ,0.83 , 1.64,1.11 ,0.76 , 1.52,0.99 ,0.67 , 1.35,0.93 ,0.62 , 1.29,0.88 ,0.57 , 1.25,0.82 ,0.48 , 1.23,0.77 ,0.45 , 1.14,0.71 ,0.42 , 1.06,0.65 ,0.37 , 0.99,0.58 ,0.32 , 0.93,0.54 ,0.30 , 0.94,0.50 ,0.27 , 0.88
Amhara,5.46 ,3.31 , 8.80,5.90 ,3.86 , 8.85,6.25 ,4.31 , 9.42,5.91 ,3.95 , 8.58,5.42 ,3.63 , 7.85,4.88 ,3.36 , 6.74,4.32 ,2.93 , 5.90,3.68 ,2.63 , 5.06,3.26 ,2.28 , 4.44,2.75 ,2.03 , 3.75,2.41 ,1.76 , 3.25,2.18 ,1.60 , 2.95,1.98 ,1.46 , 2.67,1.71 ,1.24 , 2.28,1.49 ,1.07 , 1.96,1.32 ,0.96 , 1.74,1.23 ,0.91 , 1.66,1.13 ,0.81 , 1.51,1.02 ,0.74 , 1.39,0.95 ,0.69 , 1.33,0.87 ,0.62 , 1.23,0.78 ,0.55 , 1.09,0.71 ,0.50 , 1.02,0.65 ,0.44 , 0.95,0.60 ,0.38 , 0.90,0.54 ,0.33 , 0.83,0.49 ,0.28 , 0.78,0.45 ,0.26 , 0.72,0.42 ,0.22 , 0.67,0.40 ,0.21 , 0.64
Beneshangul Gumuz,2.83 ,1.19 , 4.55,3.41 ,1.69 , 5.36,3.60 ,2.07 , 5.57,3.69 ,2.37 , 5.36,3.53 ,2.23 , 4.98,3.15 ,2.10 , 4.49,2.87 ,1.85 , 4.21,2.67 ,1.68 , 4.18,2.25 ,1.43 , 3.83,1.91 ,1.26 , 3.07,1.65 ,1.09 , 2.54,1.41 ,0.96 , 2.08,1.33 ,0.90 , 1.94,1.19 ,0.80 , 1.70,1.04 ,0.70 , 1.47,0.93 ,0.62 , 1.32,0.97 ,0.65 , 1.43,0.88 ,0.60 , 1.30,0.82 ,0.53 , 1.23,0.78 ,0.50 , 1.16,0.72 ,0.46 , 1.10,0.68 ,0.43 , 1.02,0.64 ,0.39 , 0.97,0.62 ,0.37 , 0.95,0.59 ,0.34 , 0.93,0.55 ,0.30 , 0.87,0.51 ,0.27 , 0.84,0.40 ,0.19 , 0.70,0.37 ,0.16 , 0.68,0.36 ,0.15 , 0.66
Dire Dawa,14.44 ,6.42 , 27.80,14.25 ,7.29 , 25.79,13.04 ,7.13 , 23.05,11.78 ,6.58 , 19.70,9.67 ,5.79 , 16.00,8.09 ,5.19 , 12.55,7.97 ,5.36 , 11.66,7.41 ,5.23 , 10.39,5.48 ,3.93 , 7.39,5.49 ,4.00 , 7.16,4.92 ,3.67 , 6.44,4.19 ,3.17 , 5.45,4.15 ,3.21 , 5.42,3.72 ,2.78 , 4.72,3.78 ,2.85 , 4.79,3.29 ,2.49 , 4.16,3.03 ,2.28 , 3.88,2.92 ,2.19 , 3.81,2.71 ,1.99 , 3.62,2.45 ,1.75 , 3.34,2.20 ,1.44 , 3.03,2.07 ,1.33 , 2.91,1.95 ,1.18 , 2.83,1.86 ,1.12 , 2.78,1.76 ,1.03 , 2.81,1.63 ,0.95 , 2.80,1.49 ,0.84 , 2.69,1.33 ,0.72 , 2.55,1.26 ,0.64 , 2.53,1.19 ,0.59 , 2.36
Gambella,20.70 ,8.26 , 38.74,21.49 ,10.68 , 36.02,22.52 ,13.04 , 36.26,21.46 ,13.69 , 34.18,19.13 ,12.44 , 30.17,16.59 ,10.64 , 24.91,15.74 ,10.09 , 23.06,14.12 ,9.13 , 20.73,12.34 ,8.26 , 17.16,10.57 ,7.22 , 14.60,9.57 ,6.53 , 12.74,8.54 ,5.88 , 11.47,7.50 ,5.29 , 10.12,6.58 ,4.68 , 8.87,6.24 ,4.38 , 8.53,6.05 ,4.28 , 8.23,5.54 ,3.97 , 7.52,5.23 ,3.69 , 7.12,4.77 ,3.34 , 6.56,4.52 ,3.12 , 6.19,4.40 ,3.00 , 6.08,4.19 ,2.80 , 5.79,3.99 ,2.69 , 5.61,3.78 ,2.51 , 5.46,3.55 ,2.31 , 5.18,3.31 ,2.10 , 4.96,2.99 ,1.81 , 4.58,2.30 ,1.26 , 3.88,2.02 ,1.03 , 3.63,1.97 ,0.97 , 3.72
Harari,4.92 ,1.47 , 13.15,5.70 ,2.09 , 12.95,5.97 ,2.54 , 13.08,6.57 ,3.10 , 12.95,6.65 ,3.46 , 12.44,6.62 ,3.83 , 11.45,6.22 ,3.89 , 10.12,5.57 ,3.66 , 8.50,5.59 ,3.86 , 8.15,5.11 ,3.76 , 6.95,4.70 ,3.49 , 6.22,4.31 ,3.32 , 5.34,3.93 ,3.11 , 4.79,3.84 ,3.04 , 4.62,3.58 ,2.79 , 4.28,3.40 ,2.53 , 4.07,3.15 ,2.27 , 3.83,3.02 ,2.07 , 3.86,2.82 ,1.87 , 3.72,2.62 ,1.66 , 3.58,2.59 ,1.54 , 3.60,2.50 ,1.44 , 3.66,2.45 ,1.36 , 3.71,2.06 ,1.09 , 3.30,1.78 ,0.89 , 3.03,1.53 ,0.72 , 2.71,1.27 ,0.59 , 2.50,1.25 ,0.56 , 2.47,1.17 ,0.49 , 2.54,1.07 ,0.43 , 2.39
Oromiya,5.45 ,3.51 , 8.76,5.40 ,3.67 , 8.21,5.16 ,3.57 , 7.75,4.60 ,3.13 , 6.98,4.02 ,2.68 , 6.19,3.14 ,2.08 , 4.73,2.63 ,1.78 , 3.88,2.32 ,1.58 , 3.40,2.03 ,1.40 , 2.91,1.68 ,1.16 , 2.38,1.54 ,1.10 , 2.17,1.26 ,0.91 , 1.79,1.17 ,0.84 , 1.65,1.01 ,0.74 , 1.46,1.05 ,0.75 , 1.52,0.86 ,0.61 , 1.25,0.83 ,0.58 , 1.22,0.76 ,0.54 , 1.11,0.69 ,0.47 , 1.02,0.67 ,0.46 , 0.99,0.60 ,0.41 , 0.91,0.56 ,0.37 , 0.83,0.52 ,0.33 , 0.79,0.37 ,0.22 , 0.70,0.35 ,0.21 , 0.66,0.33 ,0.19 , 0.60,0.31 ,0.18 , 0.55,0.28 ,0.16 , 0.50,0.26 ,0.15 , 0.48,0.24 ,0.14 , 0.44
SNNPR,2.71 ,1.37 , 4.52,2.87 ,1.69 , 4.52,2.77 ,1.88 , 4.42,2.62 ,1.86 , 4.01,2.34 ,1.59 , 3.61,2.08 ,1.40 , 3.10,1.82 ,1.27 , 2.82,1.49 ,1.04 , 2.25,1.33 ,0.92 , 1.92,1.15 ,0.81 , 1.63,0.98 ,0.70 , 1.37,0.89 ,0.63 , 1.21,0.80 ,0.59 , 1.08,0.64 ,0.46 , 0.86,0.59 ,0.41 , 0.79,0.51 ,0.36 , 0.72,0.51 ,0.36 , 0.71,0.45 ,0.32 , 0.63,0.40 ,0.27 , 0.57,0.38 ,0.26 , 0.53,0.31 ,0.21 , 0.45,0.28 ,0.18 , 0.42,0.26 ,0.17 , 0.40,0.24 ,0.15 , 0.38,0.22 ,0.13 , 0.35,0.20 ,0.12 , 0.32,0.19 ,0.11 , 0.31,0.18 ,0.10 , 0.29,0.17 ,0.09 , 0.27,0.15 ,0.08 , 0.26
Somali,1.25 ,0.49 , 2.52,1.35 ,0.63 , 2.67,1.23 ,0.65 , 2.29,1.06 ,0.57 , 2.07,1.06 ,0.57 , 2.01,0.90 ,0.50 , 1.60,0.76 ,0.44 , 1.28,0.61 ,0.36 , 0.98,0.62 ,0.37 , 0.95,0.48 ,0.30 , 0.74,0.44 ,0.27 , 0.67,0.36 ,0.23 , 0.57,0.36 ,0.22 , 0.56,0.33 ,0.20 , 0.52,0.29 ,0.18 , 0.46,0.30 ,0.18 , 0.48,0.26 ,0.15 , 0.43,0.23 ,0.13 , 0.37,0.19 ,0.10 , 0.32,0.16 ,0.09 , 0.27,0.15 ,0.07 , 0.25,0.14 ,0.07 , 0.24,0.13 ,0.06 , 0.23,0.12 ,0.06 , 0.21,0.11 ,0.05 , 0.21,0.10 ,0.05 , 0.20,0.09 ,0.04 , 0.19,0.09 ,0.04 , 0.19,0.08 ,0.04 , 0.18,0.08 ,0.03 , 0.18
