States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,12.23 ,1.80 , 21.78,12.94 ,2.10 , 22.41,12.31 ,2.11 , 21.10,10.45 ,1.80 , 18.52,7.52 ,1.23 , 13.25,5.50 ,0.88 , 9.52,3.65 ,0.57 , 6.24,2.78 ,0.44 , 4.50,2.25 ,0.36 , 3.44,1.79 ,0.27 , 2.60,1.60 ,0.24 , 2.28,1.33 ,0.22 , 1.95,1.23 ,0.20 , 1.74,1.08 ,0.17 , 1.57,0.98 ,0.16 , 1.42,0.84 ,0.13 , 1.23,0.75 ,0.12 , 1.10,0.79 ,0.13 , 1.16,0.67 ,0.11 , 1.01,0.63 ,0.11 , 0.98,0.59 ,0.10 , 0.93,0.52 ,0.08 , 0.84,0.46 ,0.07 , 0.79,0.42 ,0.07 , 0.76,0.37 ,0.06 , 0.69,0.32 ,0.05 , 0.62,0.30 ,0.04 , 0.60,0.29 ,0.04 , 0.59,0.26 ,0.04 , 0.56,0.23 ,0.04 , 0.56
Afar,2.90 ,0.55 , 6.20,2.88 ,0.55 , 6.09,2.73 ,0.53 , 5.31,2.47 ,0.43 , 4.57,2.02 ,0.34 , 3.65,1.70 ,0.28 , 3.01,1.40 ,0.23 , 2.51,1.28 ,0.20 , 2.22,1.02 ,0.16 , 1.73,0.96 ,0.14 , 1.54,0.92 ,0.13 , 1.45,0.86 ,0.11 , 1.33,0.77 ,0.11 , 1.19,0.75 ,0.10 , 1.16,0.65 ,0.09 , 1.01,0.63 ,0.09 , 0.97,0.57 ,0.09 , 0.90,0.51 ,0.08 , 0.82,0.56 ,0.09 , 0.94,0.53 ,0.08 , 0.84,0.47 ,0.07 , 0.77,0.44 ,0.07 , 0.71,0.41 ,0.06 , 0.69,0.38 ,0.06 , 0.66,0.36 ,0.06 , 0.63,0.33 ,0.05 , 0.58,0.30 ,0.05 , 0.52,0.27 ,0.04 , 0.48,0.25 ,0.04 , 0.46,0.23 ,0.04 , 0.44
Amhara,3.23 ,0.50 , 5.83,3.39 ,0.51 , 5.83,3.52 ,0.52 , 5.49,3.29 ,0.47 , 5.46,2.99 ,0.50 , 4.79,2.69 ,0.53 , 4.46,2.24 ,0.39 , 3.71,1.85 ,0.34 , 3.02,1.61 ,0.29 , 2.54,1.33 ,0.23 , 2.07,1.15 ,0.21 , 1.79,1.03 ,0.18 , 1.58,0.92 ,0.17 , 1.44,0.80 ,0.14 , 1.22,0.69 ,0.12 , 1.07,0.61 ,0.11 , 0.95,0.57 ,0.10 , 0.86,0.52 ,0.09 , 0.81,0.47 ,0.08 , 0.74,0.44 ,0.08 , 0.70,0.40 ,0.07 , 0.65,0.36 ,0.06 , 0.58,0.33 ,0.06 , 0.53,0.30 ,0.05 , 0.51,0.27 ,0.05 , 0.47,0.25 ,0.05 , 0.44,0.23 ,0.04 , 0.39,0.21 ,0.04 , 0.38,0.20 ,0.04 , 0.36,0.18 ,0.04 , 0.34
Beneshangul Gumuz,1.19 ,0.21 , 2.28,1.37 ,0.26 , 2.59,1.42 ,0.28 , 2.48,1.42 ,0.27 , 2.44,1.35 ,0.23 , 2.27,1.19 ,0.21 , 2.01,1.08 ,0.19 , 1.77,1.00 ,0.16 , 1.80,0.84 ,0.13 , 1.61,0.71 ,0.11 , 1.30,0.62 ,0.10 , 1.06,0.53 ,0.08 , 0.89,0.50 ,0.08 , 0.86,0.45 ,0.07 , 0.74,0.39 ,0.06 , 0.65,0.35 ,0.06 , 0.60,0.37 ,0.06 , 0.63,0.33 ,0.06 , 0.57,0.31 ,0.06 , 0.52,0.30 ,0.05 , 0.52,0.27 ,0.05 , 0.47,0.26 ,0.04 , 0.44,0.24 ,0.04 , 0.42,0.23 ,0.04 , 0.41,0.22 ,0.04 , 0.40,0.21 ,0.04 , 0.38,0.19 ,0.03 , 0.36,0.15 ,0.03 , 0.30,0.14 ,0.02 , 0.29,0.14 ,0.02 , 0.29
Dire Dawa,7.33 ,1.30 , 17.16,7.05 ,1.17 , 15.73,6.39 ,1.11 , 13.28,5.75 ,0.95 , 11.27,4.74 ,0.90 , 8.71,3.99 ,0.73 , 6.97,3.88 ,0.73 , 6.88,3.60 ,0.65 , 6.09,2.65 ,0.47 , 4.35,2.64 ,0.46 , 4.06,2.36 ,0.40 , 3.55,2.00 ,0.34 , 3.03,1.97 ,0.33 , 2.91,1.76 ,0.30 , 2.61,1.79 ,0.31 , 2.71,1.55 ,0.27 , 2.33,1.43 ,0.24 , 2.15,1.37 ,0.23 , 2.05,1.27 ,0.21 , 1.97,1.15 ,0.19 , 1.80,1.03 ,0.18 , 1.64,0.96 ,0.16 , 1.64,0.90 ,0.15 , 1.58,0.86 ,0.14 , 1.67,0.81 ,0.13 , 1.62,0.76 ,0.12 , 1.54,0.69 ,0.11 , 1.45,0.62 ,0.09 , 1.38,0.59 ,0.09 , 1.38,0.56 ,0.08 , 1.32
Gambella,9.41 ,1.53 , 19.82,9.57 ,1.65 , 17.51,9.92 ,1.66 , 17.21,9.38 ,1.54 , 15.26,8.37 ,1.61 , 14.03,7.27 ,1.52 , 12.11,6.81 ,1.39 , 10.68,6.10 ,1.23 , 10.42,5.32 ,1.04 , 8.92,4.56 ,0.83 , 7.40,4.12 ,0.76 , 6.69,3.67 ,0.64 , 5.83,3.22 ,0.57 , 5.15,2.82 ,0.47 , 4.56,2.67 ,0.45 , 4.22,2.58 ,0.43 , 4.08,2.36 ,0.38 , 3.91,2.23 ,0.35 , 3.52,2.03 ,0.33 , 3.27,1.92 ,0.30 , 3.04,1.86 ,0.29 , 2.97,1.76 ,0.29 , 2.78,1.67 ,0.26 , 2.65,1.58 ,0.24 , 2.51,1.48 ,0.25 , 2.42,1.38 ,0.22 , 2.32,1.25 ,0.19 , 2.27,0.97 ,0.15 , 1.84,0.86 ,0.14 , 1.76,0.84 ,0.14 , 1.80
Harari,2.55 ,0.32 , 7.68,2.80 ,0.44 , 7.64,2.85 ,0.50 , 7.00,3.07 ,0.52 , 7.05,3.05 ,0.55 , 6.42,3.02 ,0.58 , 6.05,2.72 ,0.44 , 5.00,2.37 ,0.40 , 4.21,2.33 ,0.41 , 3.94,2.09 ,0.36 , 3.39,1.90 ,0.34 , 2.91,1.72 ,0.31 , 2.65,1.55 ,0.28 , 2.37,1.51 ,0.27 , 2.23,1.40 ,0.25 , 2.09,1.32 ,0.24 , 1.97,1.22 ,0.22 , 1.89,1.17 ,0.19 , 1.80,1.09 ,0.20 , 1.68,1.01 ,0.18 , 1.56,0.99 ,0.17 , 1.63,0.96 ,0.16 , 1.64,0.93 ,0.15 , 1.66,0.78 ,0.12 , 1.40,0.68 ,0.10 , 1.30,0.58 ,0.08 , 1.19,0.49 ,0.07 , 1.10,0.48 ,0.07 , 1.14,0.46 ,0.07 , 1.19,0.42 ,0.06 , 1.17
Oromiya,1.80 ,0.32 , 3.15,1.66 ,0.33 , 2.76,1.51 ,0.33 , 2.49,1.29 ,0.28 , 2.17,1.09 ,0.23 , 1.88,0.83 ,0.16 , 1.36,0.67 ,0.13 , 1.11,0.58 ,0.11 , 0.95,0.50 ,0.09 , 0.82,0.40 ,0.07 , 0.67,0.37 ,0.06 , 0.59,0.30 ,0.05 , 0.49,0.27 ,0.05 , 0.46,0.24 ,0.04 , 0.38,0.25 ,0.04 , 0.40,0.20 ,0.04 , 0.33,0.19 ,0.04 , 0.32,0.18 ,0.03 , 0.29,0.16 ,0.03 , 0.27,0.16 ,0.03 , 0.27,0.14 ,0.03 , 0.24,0.13 ,0.02 , 0.22,0.12 ,0.02 , 0.21,0.09 ,0.01 , 0.20,0.08 ,0.01 , 0.18,0.08 ,0.01 , 0.16,0.07 ,0.01 , 0.15,0.07 ,0.01 , 0.14,0.06 ,0.01 , 0.13,0.06 ,<0.01 , 0.12
SNNPR,1.15 ,0.22 , 2.20,1.18 ,0.24 , 2.18,1.13 ,0.22 , 1.97,1.06 ,0.20 , 1.75,0.95 ,0.18 , 1.60,0.85 ,0.15 , 1.46,0.72 ,0.12 , 1.24,0.59 ,0.10 , 0.94,0.53 ,0.09 , 0.82,0.45 ,0.08 , 0.70,0.39 ,0.06 , 0.60,0.35 ,0.06 , 0.57,0.31 ,0.05 , 0.50,0.25 ,0.04 , 0.40,0.23 ,0.03 , 0.36,0.20 ,0.03 , 0.31,0.20 ,0.03 , 0.32,0.18 ,0.03 , 0.29,0.16 ,0.03 , 0.26,0.15 ,0.02 , 0.25,0.12 ,0.02 , 0.22,0.11 ,0.02 , 0.19,0.10 ,0.02 , 0.18,0.09 ,0.01 , 0.18,0.09 ,0.01 , 0.17,0.08 ,0.01 , 0.15,0.08 ,0.01 , 0.14,0.07 ,<0.01 , 0.14,0.07 ,<0.01 , 0.13,0.06 ,<0.01 , 0.12
Somali,0.52 ,0.11 , 1.21,0.53 ,0.10 , 1.19,0.46 ,0.08 , 0.99,0.37 ,0.06 , 0.78,0.35 ,0.05 , 0.71,0.29 ,0.04 , 0.57,0.24 ,0.03 , 0.44,0.19 ,0.03 , 0.34,0.20 ,0.03 , 0.34,0.15 ,0.02 , 0.26,0.14 ,0.02 , 0.23,0.11 ,0.02 , 0.20,0.11 ,0.02 , 0.19,0.10 ,0.01 , 0.18,0.09 ,0.01 , 0.17,0.09 ,0.01 , 0.16,0.08 ,0.01 , 0.15,0.07 ,0.01 , 0.13,0.06 ,<0.01 , 0.11,0.05 ,<0.01 , 0.09,0.05 ,<0.01 , 0.08,0.04 ,<0.01 , 0.08,0.04 ,<0.01 , 0.08,0.04 ,<0.01 , 0.07,0.03 ,<0.01 , 0.07,0.03 ,<0.01 , 0.07,0.03 ,<0.01 , 0.07,0.03 ,<0.01 , 0.06,0.03 ,<0.01 , 0.06,0.02 ,<0.01 , 0.06
