States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,27.39 ,13.18 , 49.38,30.91 ,14.87 , 55.15,30.82 ,14.71 , 55.30,27.24 ,12.70 , 48.53,20.25 ,10.07 , 35.99,15.08 ,7.05 , 25.33,10.22 ,4.56 , 16.65,7.87 ,3.57 , 12.17,6.40 ,2.95 , 10.08,5.14 ,2.54 , 8.10,4.58 ,2.18 , 6.93,3.82 ,1.88 , 5.69,3.52 ,1.70 , 5.34,3.07 ,1.49 , 4.65,2.75 ,1.37 , 4.21,2.35 ,1.13 , 3.54,2.07 ,1.00 , 3.16,2.17 ,1.07 , 3.31,1.83 ,0.86 , 2.85,1.73 ,0.84 , 2.74,1.63 ,0.78 , 2.67,1.44 ,0.71 , 2.44,1.29 ,0.63 , 2.27,1.17 ,0.55 , 2.13,1.05 ,0.49 , 1.96,0.91 ,0.41 , 1.72,0.84 ,0.37 , 1.62,0.82 ,0.36 , 1.66,0.73 ,0.31 , 1.54,0.66 ,0.26 , 1.39
Afar,5.49 ,2.31 , 11.24,5.76 ,2.60 , 10.93,5.78 ,2.89 , 11.19,5.53 ,2.79 , 10.09,4.77 ,2.38 , 8.36,4.20 ,2.21 , 7.24,3.41 ,1.77 , 5.84,3.16 ,1.66 , 5.29,2.55 ,1.31 , 4.16,2.41 ,1.21 , 3.89,2.32 ,1.17 , 3.56,2.17 ,1.10 , 3.26,1.93 ,1.03 , 2.85,1.88 ,1.00 , 2.85,1.63 ,0.88 , 2.43,1.56 ,0.83 , 2.29,1.42 ,0.76 , 2.15,1.26 ,0.65 , 1.88,1.39 ,0.76 , 2.10,1.30 ,0.68 , 1.97,1.16 ,0.62 , 1.77,1.09 ,0.54 , 1.70,1.03 ,0.53 , 1.61,0.95 ,0.42 , 1.49,0.89 ,0.39 , 1.40,0.83 ,0.36 , 1.30,0.75 ,0.33 , 1.25,0.68 ,0.29 , 1.14,0.63 ,0.27 , 1.12,0.59 ,0.24 , 1.09
Amhara,6.38 ,3.47 , 10.71,6.81 ,3.63 , 11.14,7.22 ,3.86 , 11.63,6.83 ,3.72 , 10.60,6.28 ,3.29 , 9.35,5.67 ,3.04 , 8.87,4.98 ,2.61 , 7.82,4.25 ,2.22 , 6.68,3.76 ,1.99 , 5.72,3.17 ,1.66 , 4.84,2.77 ,1.45 , 4.33,2.51 ,1.33 , 3.92,2.28 ,1.18 , 3.52,1.97 ,1.02 , 2.93,1.71 ,0.87 , 2.56,1.53 ,0.76 , 2.20,1.42 ,0.71 , 2.10,1.30 ,0.65 , 1.93,1.18 ,0.58 , 1.76,1.10 ,0.54 , 1.67,1.00 ,0.50 , 1.54,0.90 ,0.43 , 1.43,0.82 ,0.40 , 1.31,0.75 ,0.37 , 1.27,0.69 ,0.33 , 1.17,0.63 ,0.29 , 1.12,0.57 ,0.27 , 1.05,0.52 ,0.24 , 0.97,0.49 ,0.22 , 0.93,0.46 ,0.20 , 0.86
Beneshangul Gumuz,3.39 ,1.32 , 6.17,4.06 ,1.77 , 6.60,4.29 ,2.07 , 6.77,4.39 ,2.23 , 6.63,4.21 ,2.28 , 6.33,3.77 ,1.74 , 5.72,3.41 ,1.61 , 5.58,3.17 ,1.53 , 5.63,2.67 ,1.36 , 4.95,2.27 ,1.16 , 4.16,1.96 ,1.04 , 3.45,1.68 ,0.89 , 2.81,1.58 ,0.81 , 2.51,1.42 ,0.73 , 2.23,1.23 ,0.62 , 1.91,1.10 ,0.55 , 1.72,1.16 ,0.59 , 1.81,1.05 ,0.54 , 1.69,0.97 ,0.47 , 1.60,0.93 ,0.45 , 1.52,0.86 ,0.40 , 1.39,0.81 ,0.36 , 1.30,0.76 ,0.34 , 1.25,0.74 ,0.32 , 1.24,0.70 ,0.30 , 1.20,0.66 ,0.28 , 1.15,0.61 ,0.26 , 1.10,0.48 ,0.19 , 0.94,0.44 ,0.16 , 0.90,0.43 ,0.16 , 0.88
Dire Dawa,17.36 ,6.60 , 37.11,17.13 ,6.95 , 34.50,15.70 ,7.27 , 31.69,14.20 ,6.54 , 27.48,11.67 ,5.68 , 21.53,9.76 ,4.62 , 16.94,9.53 ,4.54 , 15.45,8.80 ,4.29 , 13.90,6.47 ,3.38 , 10.41,6.44 ,3.25 , 9.73,5.73 ,3.07 , 8.55,4.85 ,2.60 , 7.51,4.78 ,2.60 , 7.19,4.26 ,2.31 , 6.50,4.31 ,2.37 , 6.60,3.73 ,2.01 , 5.96,3.43 ,1.85 , 5.42,3.30 ,1.77 , 5.23,3.06 ,1.59 , 5.06,2.77 ,1.44 , 4.50,2.49 ,1.29 , 4.00,2.34 ,1.28 , 4.07,2.21 ,1.15 , 3.81,2.11 ,1.06 , 3.76,2.00 ,1.00 , 3.75,1.86 ,0.91 , 3.63,1.70 ,0.79 , 3.34,1.52 ,0.70 , 3.32,1.45 ,0.64 , 3.16,1.37 ,0.60 , 3.13
Gambella,25.47 ,9.29 , 52.50,26.54 ,10.26 , 48.96,27.85 ,12.35 , 47.30,26.55 ,12.77 , 44.17,23.63 ,11.00 , 39.58,20.44 ,9.66 , 33.25,19.03 ,9.21 , 30.95,16.94 ,8.28 , 27.45,14.70 ,7.40 , 22.62,12.51 ,6.45 , 18.60,11.24 ,5.90 , 16.31,9.96 ,5.19 , 14.34,8.70 ,4.53 , 12.41,7.59 ,4.04 , 11.28,7.16 ,3.74 , 10.60,6.92 ,3.63 , 10.41,6.32 ,3.44 , 9.79,5.96 ,3.14 , 8.92,5.43 ,2.77 , 8.05,5.15 ,2.76 , 7.82,5.02 ,2.72 , 7.64,4.79 ,2.57 , 7.49,4.57 ,2.41 , 7.53,4.34 ,2.21 , 6.91,4.07 ,2.02 , 6.59,3.81 ,1.86 , 6.37,3.46 ,1.60 , 5.98,2.66 ,1.21 , 5.13,2.35 ,1.07 , 4.92,2.30 ,1.06 , 5.01
Harari,6.12 ,1.67 , 16.40,7.07 ,2.23 , 17.15,7.42 ,2.55 , 17.28,8.18 ,2.94 , 17.98,8.28 ,3.56 , 17.36,8.23 ,4.02 , 15.71,7.53 ,3.90 , 13.73,6.70 ,3.74 , 11.47,6.68 ,3.81 , 11.04,6.08 ,3.40 , 9.09,5.57 ,3.31 , 8.23,5.08 ,2.89 , 7.12,4.62 ,2.55 , 6.49,4.49 ,2.49 , 6.20,4.17 ,2.25 , 5.74,3.96 ,2.10 , 5.60,3.65 ,1.97 , 5.19,3.51 ,1.83 , 5.08,3.28 ,1.73 , 4.78,3.04 ,1.63 , 4.60,3.01 ,1.65 , 4.56,2.92 ,1.49 , 4.51,2.86 ,1.47 , 4.74,2.41 ,1.18 , 4.05,2.09 ,0.94 , 3.61,1.80 ,0.77 , 3.29,1.49 ,0.64 , 2.91,1.48 ,0.59 , 2.90,1.39 ,0.51 , 2.93,1.28 ,0.48 , 2.91
Oromiya,6.15 ,3.27 , 10.44,6.05 ,3.19 , 9.74,5.79 ,3.09 , 9.39,5.17 ,2.74 , 8.42,4.53 ,2.33 , 7.45,3.54 ,1.77 , 5.82,2.96 ,1.45 , 4.91,2.61 ,1.31 , 4.08,2.28 ,1.16 , 3.47,1.88 ,0.95 , 2.94,1.73 ,0.87 , 2.59,1.41 ,0.73 , 2.25,1.31 ,0.71 , 2.06,1.13 ,0.60 , 1.75,1.17 ,0.63 , 1.83,0.96 ,0.49 , 1.47,0.93 ,0.47 , 1.44,0.85 ,0.43 , 1.35,0.77 ,0.37 , 1.27,0.75 ,0.37 , 1.23,0.67 ,0.32 , 1.11,0.62 ,0.30 , 1.04,0.58 ,0.28 , 0.96,0.42 ,0.20 , 0.87,0.39 ,0.18 , 0.81,0.37 ,0.17 , 0.76,0.35 ,0.16 , 0.70,0.32 ,0.14 , 0.62,0.30 ,0.13 , 0.61,0.27 ,0.12 , 0.57
SNNPR,3.12 ,1.41 , 5.71,3.30 ,1.74 , 5.77,3.19 ,1.69 , 5.28,3.02 ,1.62 , 4.99,2.70 ,1.35 , 4.27,2.41 ,1.22 , 3.77,2.08 ,1.06 , 3.17,1.71 ,0.87 , 2.61,1.52 ,0.76 , 2.27,1.31 ,0.68 , 1.90,1.12 ,0.60 , 1.63,1.01 ,0.54 , 1.48,0.92 ,0.48 , 1.31,0.73 ,0.38 , 1.04,0.68 ,0.35 , 0.97,0.59 ,0.30 , 0.86,0.59 ,0.30 , 0.86,0.52 ,0.27 , 0.79,0.46 ,0.23 , 0.69,0.44 ,0.22 , 0.67,0.36 ,0.18 , 0.55,0.32 ,0.16 , 0.50,0.30 ,0.15 , 0.48,0.27 ,0.14 , 0.45,0.26 ,0.12 , 0.42,0.23 ,0.12 , 0.39,0.22 ,0.10 , 0.37,0.20 ,0.09 , 0.35,0.19 ,0.08 , 0.33,0.18 ,0.08 , 0.31
Somali,1.39 ,0.56 , 3.14,1.52 ,0.60 , 3.06,1.39 ,0.61 , 3.05,1.21 ,0.54 , 2.61,1.21 ,0.55 , 2.52,1.04 ,0.48 , 2.00,0.87 ,0.41 , 1.51,0.70 ,0.32 , 1.21,0.71 ,0.35 , 1.19,0.56 ,0.28 , 0.90,0.51 ,0.25 , 0.82,0.42 ,0.20 , 0.70,0.41 ,0.21 , 0.70,0.37 ,0.19 , 0.64,0.34 ,0.17 , 0.58,0.34 ,0.17 , 0.60,0.30 ,0.15 , 0.55,0.26 ,0.13 , 0.47,0.21 ,0.10 , 0.40,0.18 ,0.08 , 0.33,0.17 ,0.07 , 0.31,0.15 ,0.07 , 0.30,0.14 ,0.06 , 0.29,0.13 ,0.05 , 0.28,0.12 ,0.05 , 0.26,0.12 ,0.05 , 0.25,0.11 ,0.04 , 0.24,0.10 ,0.04 , 0.23,0.09 ,0.03 , 0.22,0.09 ,0.03 , 0.21
