States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,7900 ,3700 , 14 000,12 000 ,6600 , 20 000,17 000 ,10 000 , 27 000,24 000 ,16 000 , 36 000,31 000 ,21 000 , 45 000,38 000 ,27 000 , 54 000,46 000 ,33 000 , 63 000,53 000 ,38 000 , 71 000,59 000 ,43 000 , 79 000,65 000 ,48 000 , 87 000,70 000 ,51 000 , 92 000,74 000 ,53 000 , 97 000,77 000 ,56 000 , 100 000,79 000 ,57 000 , 100 000,80 000 ,57 000 , 100 000,80 000 ,56 000 , 100 000,78 000 ,54 000 , 100 000,75 000 ,52 000 , 95 000,70 000 ,48 000 , 90 000,65 000 ,44 000 , 85 000,60 000 ,41 000 , 78 000,54 000 ,37 000 , 70 000,50 000 ,34 000 , 64 000,46 000 ,31 000 , 59 000,42 000 ,29 000 , 54 000,40 000 ,27 000 , 50 000,38 000 ,26 000 , 47 000,36 000 ,25 000 , 45 000,36 000 ,24 000 , 44 000,35 000 ,24 000 , 43 000
Afar,<500 ,<100 , 1800,<1000 ,<200 , 2500,<1000 ,<500 , 3100,1200 ,<500 , 3900,1700 ,<1000 , 4600,2200 ,<1000 , 5200,2700 ,1200 , 6000,3300 ,1500 , 6600,3800 ,1900 , 7400,4400 ,2300 , 8200,5000 ,2700 , 8900,5500 ,3100 , 9500,5900 ,3400 , 10 000,6300 ,3800 , 10 000,6600 ,4100 , 10 000,6900 ,4200 , 11 000,7000 ,4300 , 11 000,7100 ,4500 , 11 000,7100 ,4500 , 11 000,7100 ,4500 , 11 000,7000 ,4400 , 10 000,6800 ,4500 , 10 000,6700 ,4300 , 9600,6500 ,4300 , 9100,6400 ,4300 , 8800,6400 ,4300 , 8600,6300 ,4300 , 8500,6300 ,4400 , 8400,6300 ,4400 , 8200,6300 ,4400 , 8100
Amhara,6500 ,2200 , 15 000,9900 ,4100 , 21 000,15 000 ,6600 , 30 000,20 000 ,10 000 , 39 000,27 000 ,15 000 , 50 000,35 000 ,21 000 , 63 000,44 000 ,28 000 , 74 000,53 000 ,34 000 , 85 000,62 000 ,39 000 , 96 000,71 000 ,46 000 , 100 000,79 000 ,52 000 , 110 000,87 000 ,58 000 , 130 000,94 000 ,63 000 , 140 000,100 000 ,68 000 , 150 000,110 000 ,72 000 , 160 000,110 000 ,76 000 , 160 000,110 000 ,77 000 , 160 000,110 000 ,78 000 , 160 000,110 000 ,79 000 , 160 000,110 000 ,78 000 , 160 000,110 000 ,74 000 , 150 000,110 000 ,74 000 , 140 000,100 000 ,74 000 , 140 000,98 000 ,72 000 , 130 000,94 000 ,68 000 , 130 000,91 000 ,66 000 , 120 000,87 000 ,64 000 , 110 000,85 000 ,62 000 , 110 000,83 000 ,60 000 , 110 000,81 000 ,60 000 , 100 000
Beneshangul Gumuz,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1300,<1000 ,<500 , 1600,1100 ,<500 , 2000,1300 ,<1000 , 2300,1600 ,<1000 , 2800,1900 ,<1000 , 3100,2200 ,1200 , 3500,2500 ,1500 , 3800,2800 ,1700 , 4200,3000 ,1900 , 4500,3200 ,2100 , 4800,3400 ,2200 , 4900,3500 ,2300 , 5100,3600 ,2400 , 5200,3700 ,2500 , 5300,3800 ,2500 , 5400,3800 ,2500 , 5400,3800 ,2600 , 5400,3800 ,2600 , 5400,3700 ,2500 , 5300,3600 ,2500 , 5100,3600 ,2400 , 5000,3500 ,2400 , 4800,3400 ,2300 , 4600,3400 ,2300 , 4500,3300 ,2300 , 4400,3300 ,2300 , 4300
Dire Dawa,<500 ,<100 , 1200,<500 ,<100 , 1600,<1000 ,<200 , 2000,<1000 ,<500 , 2500,1200 ,<500 , 3000,1500 ,<1000 , 3500,1800 ,<1000 , 3900,2100 ,<1000 , 4300,2400 ,1100 , 4900,2700 ,1200 , 5300,3000 ,1400 , 5800,3200 ,1600 , 6100,3400 ,1800 , 6400,3600 ,1900 , 6500,3800 ,2100 , 6400,3800 ,2100 , 6300,3900 ,2200 , 6400,3800 ,2300 , 6300,3800 ,2400 , 6100,3700 ,2400 , 5800,3500 ,2400 , 5400,3400 ,2300 , 5100,3300 ,2300 , 4900,3200 ,2200 , 4600,3100 ,2200 , 4300,3100 ,2100 , 4100,3000 ,2100 , 3900,2900 ,2100 , 3800,2800 ,2100 , 3600,2800 ,2100 , 3500
Gambella,<1000 ,<200 , 2300,<1000 ,<500 , 3200,1400 ,<500 , 4000,1900 ,<1000 , 5100,2500 ,<1000 , 6000,3100 ,1200 , 7200,3900 ,1600 , 8200,4600 ,2200 , 9400,5400 ,2800 , 10 000,6100 ,3400 , 11 000,6800 ,3900 , 12 000,7500 ,4400 , 13 000,8100 ,4900 , 13 000,8600 ,5400 , 14 000,9000 ,5800 , 14 000,9300 ,6200 , 14 000,9500 ,6500 , 14 000,9600 ,6400 , 14 000,9500 ,6300 , 13 000,9300 ,6200 , 13 000,9000 ,6100 , 12 000,8700 ,5900 , 12 000,8400 ,5700 , 11 000,8000 ,5500 , 11 000,7500 ,5200 , 10 000,7200 ,5000 , 9700,6900 ,4800 , 9200,6700 ,4700 , 8800,6500 ,4600 , 8400,6300 ,4500 , 8100
Harari,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1700,1000 ,<1000 , 1800,1100 ,<1000 , 1800,1100 ,<1000 , 1800,1100 ,<1000 , 1800,1200 ,<1000 , 1800,1200 ,<1000 , 1700,1300 ,<1000 , 1700,1300 ,<1000 , 1700,1300 ,1000 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1700,1500 ,1100 , 1800,1500 ,1100 , 1800
Oromiya,7100 ,1600 , 19 000,11 000 ,3600 , 30 000,16 000 ,6600 , 37 000,23 000 ,11 000 , 49 000,30 000 ,16 000 , 61 000,39 000 ,21 000 , 72 000,47 000 ,28 000 , 84 000,56 000 ,35 000 , 96 000,65 000 ,41 000 , 110 000,74 000 ,47 000 , 120 000,82 000 ,53 000 , 130 000,89 000 ,58 000 , 140 000,95 000 ,63 000 , 150 000,100 000 ,67 000 , 150 000,100 000 ,70 000 , 160 000,110 000 ,72 000 , 160 000,110 000 ,72 000 , 160 000,110 000 ,71 000 , 160 000,110 000 ,69 000 , 150 000,100 000 ,65 000 , 150 000,100 000 ,63 000 , 140 000,96 000 ,62 000 , 140 000,92 000 ,61 000 , 130 000,89 000 ,59 000 , 120 000,85 000 ,58 000 , 120 000,83 000 ,56 000 , 110 000,80 000 ,55 000 , 110 000,78 000 ,54 000 , 100 000,76 000 ,53 000 , 100 000,74 000 ,53 000 , 99 000
SNNPR,4200 ,1100 , 11 000,6000 ,1800 , 15 000,8200 ,2500 , 19 000,11 000 ,3700 , 23 000,14 000 ,5500 , 28 000,17 000 ,8100 , 32 000,21 000 ,11 000 , 38 000,24 000 ,13 000 , 42 000,28 000 ,16 000 , 48 000,31 000 ,19 000 , 51 000,35 000 ,21 000 , 55 000,37 000 ,23 000 , 58 000,40 000 ,25 000 , 61 000,42 000 ,27 000 , 63 000,44 000 ,28 000 , 65 000,45 000 ,30 000 , 67 000,46 000 ,31 000 , 67 000,46 000 ,31 000 , 66 000,45 000 ,31 000 , 64 000,44 000 ,30 000 , 63 000,43 000 ,29 000 , 59 000,41 000 ,28 000 , 57 000,40 000 ,26 000 , 54 000,38 000 ,26 000 , 51 000,36 000 ,25 000 , 48 000,35 000 ,24 000 , 46 000,33 000 ,23 000 , 43 000,32 000 ,23 000 , 40 000,31 000 ,22 000 , 39 000,30 000 ,21 000 , 37 000
Somali,<500 ,<100 , <1000,<500 ,<100 , 1300,<500 ,<100 , 1600,<1000 ,<200 , 2100,<1000 ,<500 , 2500,1200 ,<500 , 2900,1500 ,<1000 , 3500,1900 ,<1000 , 4000,2200 ,<1000 , 4400,2500 ,1200 , 4800,2800 ,1400 , 5200,3100 ,1600 , 5500,3300 ,1800 , 5900,3600 ,1900 , 6400,3700 ,2100 , 6600,3900 ,2200 , 6700,3900 ,2200 , 6600,4000 ,2300 , 6600,4000 ,2300 , 6600,4000 ,2400 , 6700,4000 ,2400 , 6500,3900 ,2300 , 6300,3800 ,2300 , 6100,3700 ,2300 , 5900,3700 ,2300 , 5700,3600 ,2300 , 5600,3500 ,2200 , 5400,3500 ,2200 , 5400,3400 ,2200 , 5300,3300 ,2100 , 5100
