States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,35 000 ,23 000 , 52 000,38 000 ,25 000 , 55 000,36 000 ,24 000 , 52 000,30 000 ,21 000 , 45 000,22 000 ,15 000 , 33 000,16 000 ,11 000 , 23 000,11 000 ,7200 , 15 000,8100 ,5700 , 11 000,6600 ,5000 , 8800,5300 ,4100 , 6900,4800 ,3600 , 6100,4000 ,3000 , 5000,3700 ,2700 , 4700,3300 ,2400 , 4100,3000 ,2200 , 3800,2600 ,1900 , 3400,2300 ,1700 , 3000,2500 ,1800 , 3300,2100 ,1500 , 2800,2000 ,1400 , 2800,1900 ,1300 , 2700,1700 ,1100 , 2500,1600 ,1000 , 2300,1400 ,<1000 , 2200,1300 ,<1000 , 2100,1100 ,<1000 , 1800,1000 ,<1000 , 1800,<1000 ,<1000 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1600
Afar,2100 ,<1000 , 4100,2200 ,1100 , 3700,2100 ,1200 , 3600,2000 ,1200 , 3300,1700 ,1000 , 2700,1500 ,<1000 , 2400,1200 ,<1000 , 2000,1200 ,<1000 , 1900,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000
Amhara,21 000 ,13 000 , 32 000,22 000 ,15 000 , 34 000,24 000 ,17 000 , 36 000,23 000 ,16 000 , 33 000,21 000 ,14 000 , 30 000,19 000 ,14 000 , 27 000,18 000 ,12 000 , 24 000,15 000 ,11 000 , 21 000,14 000 ,10 000 , 19 000,12 000 ,8900 , 16 000,11 000 ,8100 , 15 000,10 000 ,7600 , 14 000,9700 ,7200 , 13 000,8700 ,6500 , 11 000,7800 ,5900 , 10 000,7300 ,5400 , 9500,7000 ,5200 , 9200,6700 ,4900 , 8900,6300 ,4600 , 8400,6200 ,4500 , 8300,5800 ,4300 , 8100,5500 ,3900 , 7700,5200 ,3700 , 7400,4900 ,3300 , 7200,4700 ,3000 , 6900,4500 ,2700 , 6800,4200 ,2400 , 6600,4000 ,2200 , 6300,3900 ,2100 , 6000,3700 ,2000 , 6000
Beneshangul Gumuz,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Dire Dawa,1800 ,<1000 , 3500,1800 ,<1000 , 3200,1700 ,<1000 , 2800,1500 ,<1000 , 2400,1200 ,<1000 , 1900,1000 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Gambella,2100 ,<1000 , 3600,2200 ,1100 , 3500,2300 ,1400 , 3400,2100 ,1400 , 3300,1900 ,1300 , 2900,1700 ,1100 , 2500,1600 ,1000 , 2300,1400 ,<1000 , 2000,1300 ,<1000 , 1800,1100 ,<1000 , 1500,1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Harari,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Oromiya,23 000 ,15 000 , 36 000,23 000 ,15 000 , 34 000,22 000 ,15 000 , 33 000,20 000 ,14 000 , 30 000,18 000 ,12 000 , 28 000,14 000 ,9500 , 21 000,12 000 ,8200 , 18 000,11 000 ,7700 , 16 000,10 000 ,7000 , 14 000,8700 ,6100 , 12 000,8300 ,5900 , 12 000,7000 ,5100 , 9800,6800 ,4900 , 9500,6100 ,4500 , 8700,6600 ,4800 , 9500,5600 ,4000 , 8200,5700 ,4000 , 8300,5400 ,3800 , 8000,5100 ,3500 , 7600,5200 ,3500 , 7700,4900 ,3300 , 7200,4700 ,3100 , 7000,4600 ,2900 , 6800,3400 ,2100 , 6400,3400 ,2000 , 6200,3300 ,1900 , 6000,3200 ,1800 , 5700,3000 ,1700 , 5500,3000 ,1700 , 5400,2800 ,1700 , 5100
SNNPR,7700 ,3900 , 13 000,8300 ,4900 , 13 000,8200 ,5600 , 13 000,8000 ,5600 , 12 000,7300 ,5000 , 11 000,6700 ,4500 , 10 000,6000 ,4200 , 9300,5100 ,3500 , 7500,4700 ,3300 , 6800,4200 ,3000 , 5800,3700 ,2700 , 5100,3500 ,2500 , 4700,3300 ,2400 , 4500,2700 ,2000 , 3700,2600 ,1900 , 3600,2400 ,1700 , 3200,2500 ,1800 , 3400,2300 ,1600 , 3200,2100 ,1400 , 2900,2100 ,1400 , 2900,1700 ,1200 , 2600,1600 ,1100 , 2400,1600 ,1000 , 2400,1500 ,<1000 , 2400,1500 ,<1000 , 2300,1400 ,<1000 , 2200,1300 ,<1000 , 2200,1300 ,<1000 , 2100,1300 ,<1000 , 2100,1200 ,<1000 , 2100
Somali,1000 ,<500 , 2100,1100 ,<1000 , 2200,1000 ,<1000 , 1900,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1400,<1000 ,<500 , 1200,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
