States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,41 000 ,28 000 , 62 000,45 000 ,30 000 , 66 000,44 000 ,29 000 , 63 000,38 000 ,27 000 , 57 000,29 000 ,21 000 , 44 000,22 000 ,16 000 , 32 000,16 000 ,12 000 , 23 000,13 000 ,10 000 , 18 000,11 000 ,9200 , 15 000,9700 ,7900 , 12 000,8600 ,7000 , 11 000,7300 ,5900 , 8900,6600 ,5300 , 8000,5800 ,4500 , 6900,5100 ,4000 , 6200,4500 ,3400 , 5500,4000 ,2900 , 4900,4000 ,2900 , 5100,3300 ,2400 , 4400,3100 ,2200 , 4100,2900 ,2100 , 3900,2500 ,1700 , 3600,2100 ,1400 , 3200,1900 ,1200 , 3000,1800 ,1100 , 2900,1500 ,<1000 , 2600,1500 ,<1000 , 2600,1400 ,<1000 , 2600,1200 ,<1000 , 2300,1100 ,<1000 , 2200
Afar,2600 ,1100 , 5100,2600 ,1300 , 4400,2600 ,1500 , 4400,2600 ,1500 , 4100,2300 ,1400 , 3500,2000 ,1300 , 3200,1800 ,1200 , 2700,1700 ,1100 , 2600,1400 ,1000 , 2100,1400 ,<1000 , 2000,1400 ,<1000 , 1900,1300 ,<1000 , 1700,1200 ,<1000 , 1500,1200 ,<1000 , 1500,1100 ,<1000 , 1300,1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000
Amhara,26 000 ,16 000 , 41 000,29 000 ,19 000 , 43 000,31 000 ,22 000 , 45 000,31 000 ,21 000 , 43 000,29 000 ,20 000 , 41 000,28 000 ,19 000 , 38 000,26 000 ,18 000 , 35 000,24 000 ,17 000 , 32 000,22 000 ,16 000 , 29 000,20 000 ,15 000 , 26 000,18 000 ,14 000 , 24 000,17 000 ,13 000 , 23 000,16 000 ,12 000 , 21 000,14 000 ,11 000 , 19 000,13 000 ,9700 , 17 000,12 000 ,8900 , 16 000,11 000 ,8400 , 15 000,10 000 ,7900 , 14 000,9500 ,7100 , 13 000,9200 ,6800 , 12 000,8500 ,6300 , 12 000,7800 ,5700 , 11 000,7000 ,4900 , 10 000,6500 ,4300 , 9800,6300 ,4000 , 9500,5800 ,3500 , 9000,5500 ,3200 , 8700,5300 ,3000 , 8500,4800 ,2600 , 7700,4800 ,2400 , 7700
Beneshangul Gumuz,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<100 , <500,<500 ,<100 , <500
Dire Dawa,2300 ,1000 , 4200,2200 ,1200 , 3900,2100 ,1200 , 3500,1900 ,1100 , 3100,1600 ,<1000 , 2500,1400 ,<1000 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 1800,1100 ,<1000 , 1400,1100 ,<1000 , 1400,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Gambella,2600 ,1100 , 4600,2700 ,1300 , 4500,2900 ,1700 , 4600,2800 ,1900 , 4400,2600 ,1800 , 4000,2400 ,1700 , 3500,2300 ,1700 , 3300,2200 ,1500 , 3000,2000 ,1400 , 2600,1800 ,1300 , 2300,1600 ,1200 , 2100,1500 ,1100 , 1900,1400 ,1000 , 1700,1200 ,<1000 , 1600,1200 ,<1000 , 1500,1100 ,<1000 , 1500,1100 ,<1000 , 1400,1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Harari,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Oromiya,30 000 ,19 000 , 47 000,30 000 ,21 000 , 46 000,30 000 ,21 000 , 46 000,29 000 ,20 000 , 42 000,26 000 ,19 000 , 39 000,22 000 ,16 000 , 33 000,20 000 ,14 000 , 29 000,19 000 ,14 000 , 27 000,18 000 ,12 000 , 24 000,16 000 ,11 000 , 22 000,15 000 ,11 000 , 20 000,13 000 ,9300 , 18 000,12 000 ,9000 , 17 000,11 000 ,8100 , 16 000,11 000 ,8200 , 16 000,9900 ,7100 , 14 000,9600 ,6900 , 14 000,9100 ,6500 , 13 000,8400 ,5700 , 12 000,8300 ,5800 , 12 000,7600 ,5200 , 11 000,7100 ,4700 , 11 000,6700 ,4300 , 10 000,5100 ,3100 , 9400,4800 ,2800 , 8800,4800 ,2800 , 8700,4700 ,2700 , 8200,4400 ,2600 , 8000,4000 ,2300 , 7400,4000 ,2300 , 7100
SNNPR,10 000 ,4900 , 17 000,11 000 ,6400 , 18 000,11 000 ,7700 , 17 000,11 000 ,7900 , 17 000,11 000 ,7600 , 16 000,10 000 ,7100 , 15 000,9300 ,6700 , 13 000,8300 ,5900 , 12 000,7800 ,5600 , 11 000,7100 ,5200 , 9700,6500 ,4800 , 8800,6100 ,4400 , 8200,5700 ,4200 , 7500,4900 ,3600 , 6400,4600 ,3300 , 6200,4100 ,3000 , 5600,4100 ,2900 , 5600,3700 ,2600 , 5200,3300 ,2200 , 4600,3200 ,2200 , 4500,2800 ,1900 , 3900,2500 ,1600 , 3600,2300 ,1400 , 3500,2100 ,1200 , 3300,2100 ,1300 , 3300,1900 ,1100 , 3000,1900 ,1100 , 3000,1900 ,1100 , 3000,1700 ,<1000 , 2900,1800 ,1100 , 3000
Somali,1300 ,<500 , 2600,1400 ,<1000 , 2700,1300 ,<1000 , 2400,1200 ,<1000 , 2100,1200 ,<1000 , 2200,1100 ,<1000 , 1800,<1000 ,<1000 , 1600,<1000 ,<500 , 1300,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
