States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,2800 ,1900 , 4300,3500 ,2400 , 4900,4000 ,2800 , 5400,4300 ,3200 , 5600,4400 ,3300 , 5700,4400 ,3300 , 5500,4200 ,3200 , 5500,4100 ,3000 , 5200,3800 ,2800 , 4800,3500 ,2600 , 4500,3100 ,2100 , 4000,2600 ,1800 , 3500,2200 ,1500 , 2900,1900 ,1300 , 2400,1500 ,1000 , 2000,1400 ,<1000 , 1900,1200 ,<1000 , 1700,1100 ,<1000 , 1500,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500
Afar,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200
Amhara,4000 ,2400 , 6600,4900 ,3100 , 7700,5700 ,3800 , 8700,6300 ,4400 , 9300,6800 ,4700 , 9700,7100 ,5200 , 10 000,7300 ,5200 , 10 000,7300 ,5200 , 10 000,7200 ,4900 , 9800,7000 ,5000 , 9400,6500 ,4700 , 8700,6000 ,4400 , 8300,5600 ,4000 , 7600,5100 ,3600 , 7000,4500 ,3200 , 6100,4100 ,2900 , 5700,3700 ,2700 , 5200,3400 ,2400 , 4700,2900 ,2000 , 4100,2700 ,1800 , 3800,2400 ,1600 , 3400,2000 ,1200 , 3000,1500 ,<1000 , 2400,1300 ,<1000 , 2200,1300 ,<1000 , 2100,1100 ,<1000 , 2000,1100 ,<500 , 1900,1100 ,<500 , 1800,<1000 ,<500 , 1400,<1000 ,<500 , 1500
Beneshangul Gumuz,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200
Dire Dawa,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Gambella,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Harari,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Oromiya,5700 ,3300 , 9100,6400 ,4000 , 10 000,7000 ,4600 , 11 000,7400 ,5200 , 11 000,7500 ,5400 , 11 000,7400 ,5200 , 11 000,7200 ,5100 , 10 000,7100 ,5000 , 10 000,6900 ,4700 , 9600,6500 ,4500 , 9300,6100 ,4200 , 8800,5600 ,3900 , 8100,5200 ,3800 , 7500,4800 ,3400 , 7100,4500 ,3100 , 6400,4000 ,2800 , 5800,3700 ,2600 , 5300,3400 ,2300 , 4900,3000 ,2000 , 4500,2900 ,1900 , 4300,2600 ,1600 , 3800,2200 ,1300 , 3400,2000 ,1000 , 3100,1500 ,<1000 , 2700,1300 ,<1000 , 2600,1300 ,<1000 , 2500,1400 ,<1000 , 2500,1200 ,<1000 , 2200,<1000 ,<500 , 1800,<1000 ,<500 , 1800
SNNPR,1900 ,<1000 , 3400,2200 ,1100 , 3700,2500 ,1500 , 3900,2700 ,1800 , 4000,2800 ,2000 , 4200,2900 ,2000 , 4200,2900 ,2100 , 4200,2800 ,2000 , 4000,2800 ,2000 , 3900,2700 ,1900 , 3700,2500 ,1800 , 3400,2300 ,1600 , 3200,2200 ,1500 , 3000,2000 ,1400 , 2700,1800 ,1300 , 2400,1600 ,1100 , 2200,1500 ,1000 , 2100,1400 ,<1000 , 1900,1100 ,<1000 , 1600,1100 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<200 , <1000,<1000 ,<500 , <1000
Somali,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
