States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,19 000 ,13 000 , 29 000,21 000 ,14 000 , 31 000,21 000 ,14 000 , 30 000,18 000 ,12 000 , 26 000,13 000 ,9000 , 20 000,9500 ,6800 , 14 000,6400 ,4400 , 9400,4900 ,3500 , 6700,4000 ,3000 , 5300,3200 ,2500 , 4200,2900 ,2200 , 3700,2400 ,1800 , 3000,2300 ,1700 , 2800,2000 ,1500 , 2500,1800 ,1300 , 2300,1600 ,1100 , 2000,1400 ,<1000 , 1800,1500 ,1000 , 2000,1300 ,<1000 , 1600,1200 ,<1000 , 1600,1100 ,<1000 , 1600,1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<500 ,<500 , <1000
Afar,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<1000 , 1600,<1000 ,<1000 , 1500,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Amhara,11 000 ,6700 , 18 000,12 000 ,8100 , 18 000,13 000 ,9200 , 20 000,13 000 ,8800 , 19 000,12 000 ,8300 , 18 000,11 000 ,7700 , 16 000,10 000 ,7100 , 14 000,9100 ,6500 , 13 000,8300 ,5900 , 11 000,7300 ,5400 , 9800,6600 ,4900 , 8800,6200 ,4600 , 8300,5800 ,4300 , 7800,5200 ,3800 , 6900,4700 ,3400 , 6100,4400 ,3200 , 5600,4200 ,3200 , 5700,4000 ,2900 , 5300,3800 ,2800 , 5100,3700 ,2700 , 5000,3500 ,2500 , 4900,3300 ,2300 , 4500,3100 ,2200 , 4400,2900 ,2000 , 4300,2800 ,1800 , 4200,2700 ,1600 , 4000,2500 ,1400 , 3900,2400 ,1400 , 3700,2300 ,1200 , 3600,2200 ,1200 , 3600
Beneshangul Gumuz,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Dire Dawa,1100 ,<500 , 2000,1000 ,<1000 , 1800,<1000 ,<1000 , 1600,<1000 ,<1000 , 1400,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Gambella,1200 ,<1000 , 2100,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1100 ,<1000 , 1700,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Harari,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Oromiya,15 000 ,9800 , 24 000,16 000 ,11 000 , 23 000,15 000 ,11 000 , 23 000,14 000 ,9500 , 21 000,13 000 ,8500 , 20 000,10 000 ,6800 , 15 000,8900 ,6000 , 13 000,8200 ,5600 , 12 000,7400 ,5100 , 10 000,6400 ,4400 , 8900,6100 ,4400 , 8500,5200 ,3800 , 7200,5000 ,3600 , 7000,4500 ,3300 , 6400,4800 ,3500 , 7000,4100 ,3000 , 6000,4200 ,3000 , 6100,4000 ,2800 , 5700,3800 ,2600 , 5600,3800 ,2600 , 5600,3600 ,2500 , 5400,3500 ,2300 , 5100,3400 ,2200 , 5100,2500 ,1500 , 4700,2500 ,1500 , 4600,2400 ,1400 , 4300,2400 ,1400 , 4200,2200 ,1300 , 4000,2200 ,1300 , 4000,2100 ,1200 , 3800
SNNPR,4700 ,2400 , 7800,5200 ,3100 , 8100,5100 ,3500 , 8100,5000 ,3500 , 7600,4600 ,3100 , 7100,4200 ,2800 , 6300,3800 ,2700 , 5900,3200 ,2300 , 4800,3000 ,2100 , 4300,2700 ,1900 , 3700,2300 ,1700 , 3300,2200 ,1600 , 3000,2100 ,1500 , 2800,1700 ,1300 , 2300,1600 ,1200 , 2200,1500 ,1100 , 2100,1500 ,1100 , 2100,1400 ,<1000 , 2000,1300 ,<1000 , 1800,1300 ,<1000 , 1800,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300
Somali,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500
