States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,19 000 ,13 000 , 29 000,20 000 ,13 000 , 31 000,20 000 ,13 000 , 29 000,17 000 ,12 000 , 26 000,13 000 ,8900 , 20 000,9700 ,7000 , 14 000,7100 ,5300 , 10 000,5900 ,4500 , 8200,5100 ,4000 , 6700,4300 ,3400 , 5600,3800 ,3000 , 4900,3200 ,2500 , 4100,2900 ,2300 , 3600,2500 ,1900 , 3200,2300 ,1700 , 2900,2000 ,1500 , 2500,1800 ,1300 , 2300,1800 ,1300 , 2300,1500 ,1000 , 2000,1400 ,<1000 , 1800,1300 ,<1000 , 1700,1100 ,<1000 , 1600,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<500 ,<500 , 1000
Afar,1500 ,<1000 , 2900,1500 ,<1000 , 2500,1500 ,<1000 , 2400,1400 ,<1000 , 2200,1200 ,<1000 , 1800,1100 ,<1000 , 1700,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Amhara,13 000 ,7800 , 20 000,14 000 ,9000 , 20 000,14 000 ,10 000 , 21 000,14 000 ,9800 , 20 000,13 000 ,9300 , 19 000,12 000 ,8600 , 17 000,12 000 ,8000 , 15 000,10 000 ,7400 , 14 000,9800 ,7000 , 13 000,8800 ,6500 , 12 000,8100 ,6000 , 11 000,7500 ,5700 , 10 000,7000 ,5200 , 9400,6300 ,4700 , 8600,5700 ,4300 , 7600,5200 ,3800 , 7000,4900 ,3700 , 6500,4600 ,3400 , 6200,4200 ,3100 , 5600,4000 ,3000 , 5500,3700 ,2600 , 5100,3400 ,2400 , 4700,3000 ,2100 , 4400,2800 ,1800 , 4300,2700 ,1700 , 4100,2500 ,1600 , 4000,2400 ,1400 , 3800,2300 ,1300 , 3700,2000 ,1100 , 3300,2100 ,1100 , 3400
Beneshangul Gumuz,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Dire Dawa,1000 ,<500 , 1900,1000 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Gambella,1200 ,<500 , 2100,1200 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 1900,1200 ,<1000 , 1800,1100 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500
Harari,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<200 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Oromiya,11 000 ,6700 , 17 000,11 000 ,7300 , 17 000,11 000 ,7700 , 16 000,10 000 ,7200 , 15 000,9400 ,6800 , 14 000,8100 ,5800 , 12 000,7400 ,5300 , 11 000,6900 ,5000 , 9700,6500 ,4500 , 9100,5800 ,4000 , 8000,5500 ,3900 , 7700,4900 ,3500 , 6900,4600 ,3200 , 6400,4200 ,2900 , 5900,4100 ,2900 , 5800,3600 ,2500 , 5100,3500 ,2500 , 5000,3300 ,2300 , 4700,3000 ,2000 , 4300,2900 ,2000 , 4300,2700 ,1800 , 3900,2500 ,1600 , 3600,2300 ,1500 , 3500,1700 ,1000 , 3200,1600 ,<1000 , 3000,1600 ,<1000 , 2900,1600 ,<1000 , 2900,1500 ,<1000 , 2700,1300 ,<1000 , 2400,1300 ,<1000 , 2400
SNNPR,4200 ,1900 , 6900,4600 ,2700 , 7200,4600 ,3200 , 7200,4600 ,3300 , 7000,4400 ,3100 , 6500,4200 ,3000 , 6200,3900 ,2800 , 5800,3500 ,2500 , 4800,3300 ,2400 , 4700,3100 ,2200 , 4100,2800 ,2000 , 3700,2600 ,1900 , 3500,2400 ,1800 , 3200,2100 ,1500 , 2800,2000 ,1400 , 2600,1800 ,1300 , 2400,1800 ,1200 , 2400,1600 ,1100 , 2200,1400 ,<1000 , 1900,1400 ,<1000 , 1900,1200 ,<1000 , 1700,1100 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<500 , 1300,<1000 ,<1000 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200
Somali,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500
