States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,52 194,62 119,67 426,74 419,84 545,85 928,84 345,91 805,92 112,104 579
Afar,1736,2066,2242,2475,2811,3400,4291,4508,4683,5066
Amhara,65 091,77 468,84 086,92 807,105 436,115 530,124 193,128 539,133 537,144 286
Beneshangul Gumuz,1300,1548,1679,1854,2106,2250,3808,3897,4048,4045
Dire Dawa,2877,3424,3716,4102,4660,5309,6349,6402,6651,7254
Gambella,966,1149,1247,1376,1563,2118,6314,5471,5684,6644
Harari,2380,2833,3075,3394,3856,4441,3789,4719,4903,4763
Oromiya,44 657,53 149,57 689,63 673,72 336,80 135,97 042,98 270,102 091,112 189
SNNPR,16 079,19 137,20 771,22 926,26 045,28 198,29 508,30 573,31 761,38 661
Somali,995,1183,1285,1418,1610,1692,2061,1694,1758,1924
Tigray,21 034,25 034,27 173,29 992,34 072,35 453,37 077,39 700,41 244,43 850
National,209 309,249 110,270 389,298 436,339 040,364 454,398 777,415 578,428 472,473 261
