States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,54 975,65 541,71 207,78 468,89 455,89 666,88 155,95 624,95 063,107 581
Afar,1781,2122,2303,2541,2891,3496,4404,4597,4803,5209
Amhara,68 973,82 246,89 364,98 460,112 290,122 313,130 517,134 609,139 843,150 241
Beneshangul Gumuz,1388,1656,1798,1982,2261,2386,4026,4077,4235,4251
Dire Dawa,3046,3633,3947,4349,4959,5629,6615,6651,6910,7459
Gambella,1017,1212,1317,1451,1654,2226,6721,5909,6192,7152
Harari,2550,3042,3306,3641,4156,4700,3995,4962,5155,5012
Oromiya,48 193,57 501,62 497,68 822,78 580,84 979,103 190,104 497,108 560,118 848
SNNPR,16 977,20 242,21 992,24 234,27 632,29 902,31 790,33 110,34 348,40 902
Somali,1037,1234,1342,1479,1683,1794,2168,1735,1801,1982
Tigray,22 396,26 711,29 026,31 976,36 056,37 437,39 061,41 684,43 073,45 934
National,222 333,265 140,288 099,317 403,361 617,384 528,420 642,437 455,449 983,494 571
