States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,2781,3422,3781,4049,4910,3738,3810,3819,2951,3002
Afar,45,56,61,66,80,96,113,89,120,143
Amhara,3882,4778,5278,5653,6854,6783,6324,6070,6306,5955
Beneshangul Gumuz,88,108,119,128,155,136,218,180,187,206
Dire Dawa,170,209,231,247,300,320,266,249,259,205
Gambella,51,63,70,75,91,108,407,438,508,508
Harari,170,209,231,247,300,259,206,243,252,249
Oromiya,3536,4352,4808,5149,6244,4844,6148,6227,6469,6659
SNNPR,898,1106,1221,1308,1586,1704,2282,2537,2587,2241
Somali,42,51,57,61,73,102,107,41,43,58
Tigray,1362,1677,1853,1984,1984,1984,1984,1984,1829,2084
National,13 025,16 031,17 710,18 967,22 577,20 074,21 865,21 877,21 511,21 310
