States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,32 263,38 642,40 031,45 649,51 826,54 064,52 600,56 209,57 745,63 577
Afar,1073,1285,1331,1518,1723,2109,2703,2802,2911,3157
Amhara,40 235,48 190,49 922,56 928,64 632,72 664,78 240,81 339,84 502,89 315
Beneshangul Gumuz,804,963,997,1137,1291,1411,2425,2456,2551,2511
Dire Dawa,1778,2130,2206,2516,2856,3458,4101,4250,4415,4622
Gambella,597,715,740,844,958,1453,2484,3321,3450,4186
Harari,1471,1762,1826,2082,2364,3069,2656,2998,3115,3073
Oromiya,27 604,33 062,34 250,39 057,44 342,50 123,59 373,61 397,63 784,70 460
SNNPR,9939,11 904,12 332,14 063,15 966,17 641,17 070,18 864,19 597,23 912
Somali,615,736,763,870,987,1098,1319,1063,1102,1211
Tigray,13 002,15 573,16 133,18 397,20 886,22 959,24 001,24 461,25 412,27 840
National,129 381,154 962,160 531,183 061,207 831,230 049,246 972,259 160,268 584,293 864
