States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Addis Ababa,19 931,23 477,27 395,28 770,32 719,31 864,31 745,35 596,34 367,41 002
Afar,663,781,911,957,1088,1291,1588,1706,1772,1909
Amhara,24 856,29 278,34 164,35 879,40 804,42 866,45 953,47 200,49 035,54 971
Beneshangul Gumuz,496,585,682,717,815,839,1383,1441,1497,1534
Dire Dawa,1098,1294,1510,1586,1803,1851,2248,2152,2236,2632
Gambella,369,434,507,532,605,665,3830,2150,2234,2458
Harari,909,1071,1249,1312,1492,1372,1133,1721,1788,1690
Oromiya,17 053,20 087,23 439,24 616,27 994,30 012,37 669,36 873,38 307,41 729
SNNPR,6140,7232,8439,8863,10 080,10 557,12 438,11 709,12 164,14 749
Somali,380,447,522,548,623,594,742,631,656,713
Tigray,8032,9461,11 040,11 595,13 186,12 494,13 076,15 239,15 832,16 010
National,79 927,94 147,109 858,115 375,131 209,134 405,151 805,156 418,159 888,179 397
