States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,46 ,37 , 57,55 ,44 , 67,60 ,48 , 73,66 ,53 , 80,74 ,60 , 90,76 ,61 , 92,75 ,60 , 90,81 ,66 , 99,82 ,67 , 100,94 ,76 , 100
Afar,14 ,11 , 18,17 ,13 , 22,18 ,14 , 23,20 ,15 , 26,23 ,18 , 29,28 ,21 , 35,35 ,27 , 44,37 ,28 , 47,39 ,29 , 49,42 ,32 , 53
Amhara,38 ,30 , 48,44 ,35 , 56,47 ,37 , 59,51 ,40 , 64,57 ,45 , 70,62 ,48 , 76,65 ,51 , 80,67 ,52 , 82,69 ,54 , 85,74 ,57 , 91
Beneshangul Gumuz,24 ,18 , 32,28 ,21 , 37,30 ,22 , 39,32 ,24 , 42,36 ,28 , 47,38 ,29 , 49,64 ,49 , 82,65 ,49 , 84,66 ,50 , 88,65 ,48 , 87
Dire Dawa,27 ,22 , 34,32 ,25 , 40,34 ,27 , 42,38 ,30 , 46,43 ,34 , 52,48 ,38 , 59,58 ,46 , 71,58 ,46 , 72,60 ,47 , 76,65 ,52 , 85
Gambella,7 ,5 , 9,9 ,7 , 11,10 ,7 , 12,11 ,8 , 14,12 ,9 , 16,17 ,13 , 22,51 ,39 , 65,44 ,34 , 56,45 ,35 , 58,52 ,40 , 68
Harari,55 ,45 , 64,63 ,52 , 73,67 ,55 , 77,72 ,58 , 83,79 ,63 , 94,90 ,70 , 100,75 ,59 , 91,92 ,72 , 100,94 ,73 , 100,91 ,69 , 100
Oromiya,32 ,24 , 43,37 ,28 , 50,40 ,30 , 53,43 ,32 , 58,49 ,37 , 65,54 ,40 , 71,65 ,49 , 85,65 ,49 , 85,67 ,50 , 88,73 ,55 , 96
SNNPR,28 ,21 , 36,33 ,25 , 43,36 ,27 , 46,39 ,30 , 50,44 ,34 , 56,47 ,37 , 61,49 ,39 , 63,51 ,40 , 65,53 ,42 , 67,65 ,51 , 82
Somali,16 ,11 , 25,19 ,13 , 30,21 ,14 , 33,24 ,16 , 36,28 ,18 , 41,29 ,20 , 44,36 ,25 , 54,30 ,20 , 45,32 ,21 , 47,35 ,24 , 53
Tigray,47 ,37 , 61,54 ,43 , 70,57 ,45 , 74,62 ,49 , 80,69 ,54 , 89,70 ,56 , 91,73 ,57 , 93,76 ,59 , 99,78 ,60 , 100,82 ,63 , 100
National,36 ,28,46,42 ,33,54,45 ,35,58,50 ,38,63,56 ,43,71,60 ,46,76,65 ,50,82,67 ,52,85,69 ,53,87,76 ,59,96
