States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,44 ,36 , 54,53 ,43 , 65,58 ,47 , 71,65 ,52 , 79,74 ,60 , 91,75 ,60 , 91,74 ,60 , 91,81 ,65 , 99,81 ,65 , 99,93 ,75 , 100
Afar,12 ,9 , 16,15 ,11 , 20,16 ,12 , 21,18 ,14 , 23,21 ,16 , 27,25 ,19 , 33,32 ,25 , 41,34 ,25 , 43,36 ,26 , 45,39 ,29 , 49
Amhara,35 ,27 , 45,41 ,33 , 53,44 ,35 , 56,49 ,38 , 61,55 ,43 , 69,60 ,46 , 74,63 ,49 , 78,65 ,50 , 80,67 ,52 , 84,72 ,56 , 90
Beneshangul Gumuz,21 ,16 , 30,25 ,19 , 35,27 ,20 , 37,30 ,22 , 40,34 ,26 , 45,36 ,27 , 47,61 ,45 , 78,61 ,45 , 80,63 ,46 , 83,63 ,45 , 83
Dire Dawa,26 ,21 , 33,31 ,25 , 39,34 ,27 , 42,38 ,30 , 46,43 ,34 , 52,49 ,39 , 60,57 ,46 , 70,58 ,46 , 72,60 ,47 , 76,65 ,51 , 84
Gambella,6 ,5 , 8,8 ,6 , 10,9 ,7 , 11,10 ,7 , 13,11 ,9 , 15,16 ,12 , 20,49 ,37 , 62,43 ,33 , 55,45 ,34 , 58,51 ,39 , 66
Harari,55 ,45 , 63,63 ,51 , 72,67 ,54 , 77,72 ,58 , 84,80 ,64 , 95,89 ,70 , 100,75 ,59 , 91,92 ,71 , 100,94 ,72 , 100,91 ,69 , 100
Oromiya,29 ,21 , 39,34 ,25 , 46,37 ,28 , 50,41 ,30 , 55,47 ,35 , 63,51 ,38 , 68,62 ,46 , 82,63 ,47 , 83,65 ,48 , 87,71 ,53 , 96
SNNPR,25 ,19 , 33,30 ,23 , 39,33 ,25 , 42,36 ,28 , 47,41 ,32 , 53,45 ,35 , 58,48 ,38 , 62,50 ,39 , 64,53 ,41 , 67,63 ,49 , 81
Somali,14 ,9 , 22,17 ,11 , 26,19 ,13 , 29,21 ,14 , 32,25 ,16 , 37,27 ,18 , 40,33 ,22 , 50,27 ,18 , 40,28 ,19 , 42,31 ,21 , 48
Tigray,43 ,34 , 58,50 ,40 , 67,54 ,43 , 71,59 ,47 , 77,66 ,52 , 86,68 ,53 , 88,70 ,54 , 91,74 ,57 , 96,76 ,58 , 100,81 ,61 , 100
National,33 ,25,43,40 ,30,51,43 ,33,55,47 ,36,61,54 ,41,69,57 ,44,74,63 ,48,81,65 ,50,84,67 ,51,86,74 ,57,95
