States,2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,... ,... , ...,... ,... , ...,84 ,66 , 100
Afar,35 ,26 , 44,40 ,30 , 50,42 ,31 , 52
Amhara,63 ,49 , 77,64 ,51 , 80,70 ,54 , 87
Beneshangul Gumuz,58 ,44 , 75,61 ,45 , 81,59 ,43 , 78
Dire Dawa,61 ,49 , 76,63 ,50 , 80,67 ,53 , 86
Gambella,... ,... , ...,40 ,31 , 51,53 ,41 , 68
Oromiya,... ,... , ...,55 ,42 , 73,62 ,47 , 81
SNNPR,43 ,33 , 54,... ,... , ...,60 ,47 , 76
Somali,28 ,19 , 42,30 ,20 , 45,33 ,22 , 50
Tigray,... ,... , ...,... ,... , ...,75 ,57 , 98
National,... ,...,...,62 ,48,80,68 ,52,86
