States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,86 ,69 , 100,88 ,70 , 100,89 ,72 , 100,90 ,73 , 100,94 ,76 , 100
Afar,58 ,44 , 75,62 ,47 , 79,63 ,48 , 80,65 ,48 , 82,66 ,49 , 83
Amhara,68 ,53 , 84,72 ,56 , 88,74 ,58 , 92,77 ,60 , 96,79 ,61 , 99
Beneshangul Gumuz,64 ,48 , 83,68 ,51 , 88,71 ,52 , 92,73 ,53 , 96,75 ,54 , 100
Dire Dawa,81 ,64 , 99,82 ,66 , 100,84 ,66 , 100,84 ,66 , 100,83 ,66 , 100
Gambella,62 ,47 , 79,69 ,52 , 88,72 ,55 , 92,75 ,57 , 96,76 ,58 , 99
Harari,92 ,72 , 100,91 ,71 , 100,93 ,72 , 100,94 ,72 , 100,94 ,72 , 100
Oromiya,65 ,48 , 87,71 ,53 , 94,75 ,55 , 99,78 ,58 , 100,80 ,60 , 100
SNNPR,61 ,47 , 78,65 ,51 , 84,69 ,54 , 88,72 ,56 , 92,74 ,57 , 94
Somali,41 ,27 , 62,45 ,30 , 68,48 ,31 , 71,49 ,33 , 73,50 ,33 , 77
Tigray,78 ,61 , 100,80 ,62 , 100,82 ,63 , 100,83 ,63 , 100,86 ,65 , 100
National,70 ,54,90,74 ,57,95,77 ,59,99,79 ,61,100,82 ,63,100
