States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,110 000 ,73 000 , 170 000,140 000 ,98 000 , 210 000,170 000 ,120 000 , 240 000,200 000 ,140 000 , 260 000,210 000 ,150 000 , 260 000,210 000 ,160 000 , 260 000,200 000 ,160 000 , 250 000,200 000 ,150 000 , 240 000,190 000 ,140 000 , 230 000,170 000 ,140 000 , 210 000,160 000 ,130 000 , 200 000,150 000 ,110 000 , 180 000,130 000 ,100 000 , 170 000,120 000 ,91 000 , 150 000,110 000 ,81 000 , 140 000,100 000 ,72 000 , 130 000,94 000 ,67 000 , 120 000,89 000 ,65 000 , 110 000,86 000 ,64 000 , 110 000,84 000 ,63 000 , 110 000,82 000 ,61 000 , 100 000,81 000 ,60 000 , 100 000,80 000 ,58 000 , 98 000,78 000 ,58 000 , 96 000,77 000 ,57 000 , 94 000,75 000 ,55 000 , 93 000,73 000 ,53 000 , 90 000,70 000 ,50 000 , 87 000,68 000 ,48 000 , 84 000,65 000 ,46 000 , 81 000
Afar,7800 ,2400 , 21 000,9600 ,3500 , 22 000,11 000 ,4800 , 23 000,13 000 ,6300 , 24 000,14 000 ,7400 , 24 000,15 000 ,8300 , 23 000,15 000 ,9000 , 22 000,15 000 ,9300 , 22 000,15 000 ,9500 , 22 000,15 000 ,9600 , 21 000,14 000 ,9900 , 21 000,14 000 ,9700 , 20 000,14 000 ,9600 , 20 000,13 000 ,9400 , 19 000,13 000 ,9000 , 18 000,12 000 ,8700 , 17 000,12 000 ,8300 , 16 000,11 000 ,8000 , 16 000,11 000 ,7900 , 15 000,11 000 ,7800 , 15 000,11 000 ,7800 , 14 000,10 000 ,7700 , 14 000,10 000 ,7600 , 14 000,10 000 ,7400 , 13 000,9900 ,7200 , 13 000,9700 ,7000 , 13 000,9600 ,6900 , 12 000,9500 ,6700 , 12 000,9300 ,6600 , 12 000,9200 ,6500 , 12 000
Amhara,79 000 ,45 000 , 140 000,98 000 ,59 000 , 160 000,120 000 ,74 000 , 180 000,130 000 ,89 000 , 200 000,150 000 ,100 000 , 210 000,160 000 ,110 000 , 230 000,170 000 ,120 000 , 230 000,170 000 ,130 000 , 240 000,180 000 ,130 000 , 240 000,180 000 ,130 000 , 240 000,180 000 ,130 000 , 230 000,170 000 ,130 000 , 230 000,170 000 ,130 000 , 230 000,160 000 ,120 000 , 220 000,160 000 ,120 000 , 220 000,150 000 ,110 000 , 210 000,150 000 ,110 000 , 210 000,150 000 ,110 000 , 200 000,150 000 ,110 000 , 200 000,150 000 ,120 000 , 200 000,150 000 ,120 000 , 200 000,150 000 ,120 000 , 200 000,150 000 ,120 000 , 200 000,150 000 ,120 000 , 190 000,160 000 ,120 000 , 190 000,150 000 ,120 000 , 190 000,150 000 ,120 000 , 190 000,150 000 ,120 000 , 190 000,150 000 ,110 000 , 190 000,150 000 ,110 000 , 190 000
Beneshangul Gumuz,1800 ,<1000 , 3400,2400 ,<1000 , 4200,3000 ,1300 , 4900,3500 ,1900 , 5600,4100 ,2300 , 6100,4500 ,2800 , 6500,4900 ,3300 , 7100,5200 ,3700 , 7200,5400 ,3900 , 7400,5500 ,4100 , 7400,5500 ,4000 , 7500,5400 ,4000 , 7600,5300 ,3900 , 7500,5200 ,3800 , 7400,5100 ,3700 , 7200,5000 ,3600 , 7000,4900 ,3500 , 6900,4800 ,3500 , 6800,4800 ,3500 , 6800,4800 ,3500 , 6700,4900 ,3600 , 6700,4900 ,3600 , 6600,5000 ,3700 , 6600,5000 ,3700 , 6700,5000 ,3700 , 6700,5000 ,3600 , 6600,5000 ,3600 , 6600,4900 ,3500 , 6500,4900 ,3400 , 6600,4900 ,3400 , 6600
Dire Dawa,8200 ,3200 , 18 000,9600 ,4000 , 19 000,11 000 ,4900 , 20 000,12 000 ,5800 , 19 000,12 000 ,6500 , 19 000,12 000 ,7000 , 20 000,13 000 ,7700 , 20 000,13 000 ,7900 , 19 000,12 000 ,7900 , 19 000,12 000 ,8000 , 18 000,12 000 ,8000 , 17 000,11 000 ,8000 , 16 000,11 000 ,7900 , 15 000,10 000 ,7600 , 14 000,9900 ,7400 , 13 000,9500 ,7200 , 13 000,9200 ,7000 , 12 000,9000 ,6900 , 12 000,8900 ,6900 , 12 000,8900 ,6900 , 11 000,8800 ,6800 , 11 000,8800 ,6800 , 11 000,8800 ,6900 , 11 000,8700 ,6800 , 11 000,8700 ,6800 , 11 000,8500 ,6700 , 10 000,8400 ,6500 , 10 000,8300 ,6300 , 10 000,8100 ,6200 , 10 000,8000 ,6100 , 10 000
Gambella,7700 ,2400 , 18 000,9500 ,3500 , 19 000,11 000 ,4800 , 22 000,13 000 ,6400 , 22 000,14 000 ,7800 , 22 000,15 000 ,9400 , 23 000,16 000 ,11 000 , 23 000,16 000 ,11 000 , 22 000,16 000 ,12 000 , 22 000,16 000 ,12 000 , 22 000,16 000 ,11 000 , 22 000,16 000 ,11 000 , 21 000,15 000 ,11 000 , 20 000,15 000 ,10 000 , 19 000,14 000 ,9900 , 18 000,14 000 ,9700 , 18 000,13 000 ,9400 , 17 000,13 000 ,9300 , 17 000,12 000 ,9100 , 16 000,12 000 ,8800 , 16 000,12 000 ,8600 , 15 000,12 000 ,8500 , 15 000,11 000 ,8500 , 15 000,11 000 ,8400 , 14 000,11 000 ,8200 , 14 000,11 000 ,8000 , 14 000,11 000 ,8000 , 14 000,10 000 ,7900 , 14 000,10 000 ,7900 , 14 000,11 000 ,7900 , 14 000
Harari,1100 ,<500 , 3200,1300 ,<500 , 3800,1600 ,<500 , 4200,1900 ,<1000 , 4600,2200 ,<1000 , 4900,2400 ,1100 , 5000,2700 ,1300 , 5100,2800 ,1500 , 5300,3000 ,1700 , 5300,3100 ,2000 , 5300,3200 ,2100 , 5100,3200 ,2300 , 5000,3300 ,2300 , 4800,3300 ,2400 , 4600,3300 ,2500 , 4500,3300 ,2600 , 4300,3300 ,2700 , 4200,3400 ,2800 , 4200,3500 ,2900 , 4300,3600 ,3000 , 4300,3700 ,3000 , 4300,3800 ,3100 , 4400,3900 ,3100 , 4500,4000 ,3200 , 4600,4000 ,3200 , 4700,4000 ,3100 , 4800,4000 ,3100 , 4800,4000 ,3100 , 4900,4000 ,3100 , 5100,4000 ,3000 , 5300
Oromiya,92 000 ,49 000 , 160 000,110 000 ,65 000 , 180 000,130 000 ,80 000 , 190 000,140 000 ,94 000 , 220 000,150 000 ,100 000 , 230 000,160 000 ,110 000 , 230 000,160 000 ,120 000 , 230 000,160 000 ,120 000 , 230 000,160 000 ,120 000 , 230 000,160 000 ,120 000 , 230 000,160 000 ,110 000 , 230 000,150 000 ,110 000 , 220 000,140 000 ,110 000 , 210 000,140 000 ,100 000 , 200 000,130 000 ,97 000 , 190 000,130 000 ,93 000 , 180 000,130 000 ,90 000 , 180 000,120 000 ,87 000 , 170 000,120 000 ,88 000 , 170 000,120 000 ,89 000 , 170 000,120 000 ,91 000 , 170 000,130 000 ,93 000 , 170 000,130 000 ,94 000 , 170 000,130 000 ,94 000 , 170 000,130 000 ,94 000 , 170 000,120 000 ,93 000 , 170 000,120 000 ,91 000 , 170 000,120 000 ,90 000 , 160 000,120 000 ,89 000 , 160 000,120 000 ,87 000 , 160 000
SNNPR,32 000 ,12 000 , 61 000,39 000 ,17 000 , 70 000,45 000 ,23 000 , 76 000,51 000 ,30 000 , 82 000,56 000 ,37 000 , 86 000,60 000 ,41 000 , 88 000,62 000 ,47 000 , 90 000,64 000 ,48 000 , 90 000,64 000 ,49 000 , 90 000,64 000 ,49 000 , 90 000,63 000 ,48 000 , 90 000,62 000 ,46 000 , 86 000,60 000 ,44 000 , 84 000,58 000 ,43 000 , 80 000,56 000 ,41 000 , 76 000,54 000 ,39 000 , 73 000,53 000 ,38 000 , 71 000,52 000 ,37 000 , 69 000,51 000 ,37 000 , 68 000,51 000 ,37 000 , 67 000,51 000 ,38 000 , 67 000,51 000 ,38 000 , 67 000,51 000 ,39 000 , 66 000,50 000 ,39 000 , 65 000,50 000 ,38 000 , 64 000,49 000 ,37 000 , 64 000,48 000 ,37 000 , 62 000,48 000 ,36 000 , 61 000,46 000 ,35 000 , 60 000,45 000 ,34 000 , 58 000
Somali,4100 ,1100 , 10 000,5000 ,1600 , 11 000,5900 ,2200 , 12 000,6500 ,2800 , 13 000,7100 ,3500 , 13 000,7500 ,4000 , 13 000,7700 ,4500 , 13 000,7800 ,4700 , 13 000,7800 ,4900 , 13 000,7700 ,4800 , 12 000,7500 ,4700 , 12 000,7300 ,4600 , 11 000,7000 ,4500 , 11 000,6800 ,4300 , 10 000,6500 ,4100 , 10 000,6300 ,3900 , 9700,6000 ,3800 , 9500,5800 ,3700 , 9100,5600 ,3600 , 8800,5500 ,3500 , 8500,5300 ,3400 , 8200,5200 ,3300 , 7900,5100 ,3200 , 7700,4900 ,3100 , 7300,4800 ,3100 , 7100,4600 ,3000 , 6900,4500 ,3000 , 6800,4400 ,2900 , 6600,4300 ,2800 , 6400,4200 ,2700 , 6300
