States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,130 000 ,83 000 , 190 000,170 000 ,110 000 , 240 000,200 000 ,140 000 , 280 000,230 000 ,170 000 , 310 000,250 000 ,180 000 , 330 000,260 000 ,200 000 , 330 000,260 000 ,200 000 , 320 000,250 000 ,190 000 , 310 000,240 000 ,190 000 , 300 000,230 000 ,180 000 , 280 000,220 000 ,170 000 , 270 000,200 000 ,160 000 , 250 000,190 000 ,150 000 , 230 000,180 000 ,140 000 , 220 000,160 000 ,130 000 , 200 000,150 000 ,120 000 , 190 000,140 000 ,110 000 , 170 000,130 000 ,110 000 , 160 000,130 000 ,100 000 , 160 000,130 000 ,100 000 , 150 000,120 000 ,100 000 , 150 000,120 000 ,100 000 , 150 000,120 000 ,98 000 , 150 000,120 000 ,97 000 , 150 000,120 000 ,96 000 , 150 000,120 000 ,96 000 , 140 000,120 000 ,95 000 , 140 000,120 000 ,95 000 , 140 000,120 000 ,94 000 , 140 000,120 000 ,93 000 , 140 000
Afar,9000 ,2800 , 24 000,11 000 ,4100 , 25 000,13 000 ,5700 , 26 000,15 000 ,7300 , 28 000,16 000 ,8600 , 28 000,17 000 ,9500 , 27 000,18 000 ,11 000 , 27 000,18 000 ,11 000 , 27 000,18 000 ,11 000 , 26 000,18 000 ,12 000 , 26 000,18 000 ,12 000 , 26 000,18 000 ,12 000 , 25 000,17 000 ,12 000 , 24 000,17 000 ,12 000 , 23 000,16 000 ,12 000 , 23 000,16 000 ,11 000 , 22 000,15 000 ,11 000 , 21 000,15 000 ,11 000 , 20 000,15 000 ,11 000 , 20 000,15 000 ,11 000 , 19 000,14 000 ,11 000 , 19 000,14 000 ,11 000 , 19 000,14 000 ,11 000 , 19 000,14 000 ,11 000 , 18 000,14 000 ,10 000 , 18 000,14 000 ,10 000 , 18 000,14 000 ,10 000 , 17 000,14 000 ,10 000 , 17 000,13 000 ,10 000 , 17 000,13 000 ,9900 , 17 000
Amhara,93 000 ,53 000 , 160 000,120 000 ,70 000 , 190 000,140 000 ,87 000 , 220 000,160 000 ,110 000 , 240 000,180 000 ,130 000 , 260 000,200 000 ,140 000 , 280 000,210 000 ,160 000 , 290 000,220 000 ,160 000 , 300 000,220 000 ,170 000 , 300 000,230 000 ,170 000 , 300 000,230 000 ,170 000 , 300 000,220 000 ,170 000 , 290 000,220 000 ,170 000 , 290 000,210 000 ,160 000 , 290 000,210 000 ,160 000 , 280 000,200 000 ,150 000 , 270 000,200 000 ,150 000 , 270 000,200 000 ,150 000 , 260 000,200 000 ,150 000 , 260 000,200 000 ,160 000 , 260 000,200 000 ,160 000 , 260 000,200 000 ,160 000 , 260 000,200 000 ,160 000 , 260 000,200 000 ,160 000 , 260 000,200 000 ,160 000 , 260 000,210 000 ,160 000 , 250 000,210 000 ,160 000 , 250 000,210 000 ,160 000 , 260 000,210 000 ,160 000 , 260 000,210 000 ,160 000 , 260 000
Beneshangul Gumuz,2200 ,<1000 , 4200,2800 ,1200 , 5000,3600 ,1600 , 5900,4300 ,2200 , 6700,5000 ,2700 , 7400,5500 ,3400 , 8000,6000 ,4000 , 8700,6400 ,4600 , 9100,6700 ,5000 , 9300,6900 ,5100 , 9400,7000 ,5200 , 9500,7000 ,5200 , 9600,7000 ,5300 , 9700,6900 ,5200 , 9500,6700 ,5000 , 9300,6600 ,4800 , 9100,6500 ,4700 , 9000,6400 ,4700 , 8900,6400 ,4700 , 8800,6400 ,4700 , 8900,6500 ,4800 , 8900,6500 ,4800 , 8900,6600 ,4800 , 8800,6600 ,4900 , 8700,6600 ,5000 , 8700,6600 ,5000 , 8600,6700 ,5000 , 8600,6700 ,4900 , 8700,6700 ,4900 , 8900,6800 ,4900 , 9000
Dire Dawa,9600 ,3800 , 21 000,11 000 ,4700 , 22 000,13 000 ,5800 , 23 000,14 000 ,6800 , 23 000,15 000 ,7500 , 24 000,15 000 ,8100 , 24 000,15 000 ,8800 , 24 000,16 000 ,9400 , 24 000,15 000 ,9600 , 23 000,15 000 ,9800 , 22 000,15 000 ,10 000 , 21 000,14 000 ,10 000 , 21 000,14 000 ,10 000 , 20 000,13 000 ,9900 , 18 000,13 000 ,9700 , 18 000,12 000 ,9400 , 17 000,12 000 ,9300 , 16 000,12 000 ,9200 , 16 000,12 000 ,9200 , 15 000,12 000 ,9100 , 15 000,12 000 ,9200 , 14 000,12 000 ,9200 , 14 000,12 000 ,9200 , 14 000,12 000 ,9200 , 14 000,12 000 ,9300 , 14 000,12 000 ,9200 , 14 000,12 000 ,9200 , 14 000,12 000 ,9200 , 14 000,12 000 ,9100 , 15 000,12 000 ,9100 , 15 000
Gambella,9000 ,2900 , 21 000,11 000 ,4100 , 23 000,13 000 ,5600 , 25 000,15 000 ,7300 , 26 000,17 000 ,9200 , 27 000,18 000 ,12 000 , 28 000,19 000 ,13 000 , 29 000,20 000 ,14 000 , 29 000,21 000 ,15 000 , 29 000,21 000 ,15 000 , 29 000,21 000 ,15 000 , 28 000,20 000 ,15 000 , 27 000,20 000 ,15 000 , 26 000,19 000 ,15 000 , 26 000,19 000 ,14 000 , 25 000,18 000 ,14 000 , 24 000,18 000 ,13 000 , 23 000,17 000 ,13 000 , 22 000,17 000 ,12 000 , 21 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 20 000,15 000 ,12 000 , 20 000,15 000 ,11 000 , 19 000,15 000 ,11 000 , 19 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000,14 000 ,10 000 , 18 000,14 000 ,10 000 , 17 000,14 000 ,11 000 , 18 000,14 000 ,11 000 , 18 000
Harari,1200 ,<500 , 3700,1600 ,<500 , 4400,1900 ,<1000 , 5000,2200 ,<1000 , 5500,2600 ,1100 , 5800,2900 ,1200 , 5900,3200 ,1500 , 6300,3400 ,1800 , 6500,3600 ,2000 , 6500,3800 ,2400 , 6400,3900 ,2600 , 6200,4000 ,2700 , 6000,4000 ,2900 , 5800,4100 ,3000 , 5700,4100 ,3100 , 5600,4100 ,3200 , 5400,4100 ,3300 , 5300,4300 ,3400 , 5300,4400 ,3600 , 5300,4500 ,3700 , 5300,4700 ,3900 , 5400,4800 ,3900 , 5500,5000 ,4100 , 5700,5100 ,4100 , 5900,5200 ,4100 , 6100,5300 ,4100 , 6300,5300 ,4200 , 6500,5400 ,4200 , 6700,5500 ,4200 , 6900,5500 ,4200 , 7100
Oromiya,110 000 ,57 000 , 190 000,130 000 ,76 000 , 210 000,160 000 ,97 000 , 240 000,170 000 ,110 000 , 270 000,190 000 ,130 000 , 270 000,200 000 ,140 000 , 280 000,200 000 ,150 000 , 300 000,210 000 ,150 000 , 300 000,210 000 ,160 000 , 300 000,210 000 ,160 000 , 290 000,200 000 ,150 000 , 280 000,200 000 ,140 000 , 280 000,190 000 ,140 000 , 270 000,190 000 ,140 000 , 260 000,180 000 ,130 000 , 250 000,180 000 ,130 000 , 240 000,170 000 ,120 000 , 240 000,170 000 ,120 000 , 230 000,170 000 ,120 000 , 230 000,170 000 ,120 000 , 230 000,170 000 ,120 000 , 230 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 230 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000,170 000 ,120 000 , 220 000
SNNPR,39 000 ,14 000 , 74 000,47 000 ,20 000 , 84 000,55 000 ,27 000 , 94 000,63 000 ,36 000 , 100 000,69 000 ,45 000 , 110 000,74 000 ,51 000 , 110 000,78 000 ,57 000 , 110 000,81 000 ,62 000 , 120 000,82 000 ,64 000 , 120 000,83 000 ,64 000 , 120 000,83 000 ,63 000 , 120 000,82 000 ,61 000 , 110 000,80 000 ,60 000 , 110 000,78 000 ,58 000 , 110 000,75 000 ,56 000 , 100 000,73 000 ,54 000 , 98 000,71 000 ,53 000 , 94 000,69 000 ,52 000 , 91 000,69 000 ,51 000 , 89 000,68 000 ,51 000 , 89 000,68 000 ,51 000 , 88 000,68 000 ,51 000 , 87 000,67 000 ,52 000 , 87 000,67 000 ,52 000 , 86 000,67 000 ,52 000 , 86 000,66 000 ,52 000 , 85 000,66 000 ,51 000 , 85 000,66 000 ,51 000 , 84 000,65 000 ,50 000 , 83 000,65 000 ,50 000 , 83 000
Somali,4700 ,1300 , 12 000,5800 ,1900 , 13 000,6800 ,2500 , 14 000,7600 ,3200 , 15 000,8300 ,4000 , 16 000,8900 ,4600 , 16 000,9200 ,5300 , 15 000,9400 ,5700 , 16 000,9500 ,5900 , 15 000,9500 ,6000 , 15 000,9400 ,5900 , 15 000,9200 ,6000 , 14 000,9000 ,5800 , 14 000,8800 ,5700 , 14 000,8500 ,5500 , 13 000,8200 ,5400 , 13 000,8000 ,5100 , 12 000,7800 ,5000 , 12 000,7600 ,4900 , 12 000,7400 ,4800 , 11 000,7300 ,4700 , 11 000,7200 ,4700 , 11 000,7100 ,4700 , 11 000,7000 ,4600 , 10 000,6800 ,4600 , 10 000,6700 ,4400 , 10 000,6600 ,4400 , 9900,6500 ,4300 , 9700,6400 ,4300 , 9600,6300 ,4200 , 9600
