States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,58 000 ,38 000 , 88 000,77 000 ,52 000 , 110 000,95 000 ,67 000 , 130 000,110 000 ,79 000 , 140 000,120 000 ,85 000 , 150 000,120 000 ,91 000 , 150 000,120 000 ,91 000 , 150 000,110 000 ,89 000 , 140 000,110 000 ,87 000 , 140 000,100 000 ,81 000 , 130 000,96 000 ,74 000 , 120 000,89 000 ,68 000 , 110 000,82 000 ,62 000 , 100 000,75 000 ,57 000 , 96 000,69 000 ,51 000 , 88 000,63 000 ,47 000 , 82 000,59 000 ,42 000 , 76 000,56 000 ,41 000 , 72 000,54 000 ,40 000 , 69 000,53 000 ,40 000 , 67 000,52 000 ,40 000 , 65 000,51 000 ,39 000 , 64 000,50 000 ,38 000 , 62 000,50 000 ,37 000 , 61 000,49 000 ,36 000 , 61 000,48 000 ,35 000 , 60 000,46 000 ,34 000 , 58 000,45 000 ,33 000 , 56 000,43 000 ,32 000 , 55 000,42 000 ,31 000 , 53 000
Afar,2900 ,<1000 , 7300,3700 ,1400 , 8000,4600 ,2000 , 8900,5300 ,2600 , 9500,5900 ,3100 , 9700,6300 ,3600 , 9700,6600 ,4100 , 9700,6900 ,4300 , 9800,6900 ,4500 , 9900,7000 ,4700 , 10 000,6900 ,4700 , 9800,6900 ,4800 , 9700,6800 ,4800 , 9500,6700 ,4800 , 9400,6500 ,4800 , 9200,6400 ,4700 , 9000,6300 ,4600 , 8800,6100 ,4500 , 8500,6100 ,4400 , 8300,6100 ,4500 , 8200,6100 ,4500 , 8100,6100 ,4500 , 8000,6100 ,4400 , 7900,6100 ,4400 , 7800,6000 ,4400 , 7700,5900 ,4300 , 7500,5900 ,4300 , 7500,5900 ,4200 , 7400,5800 ,4100 , 7400,5700 ,4100 , 7300
Amhara,39 000 ,22 000 , 67 000,50 000 ,30 000 , 81 000,61 000 ,38 000 , 93 000,72 000 ,48 000 , 100 000,81 000 ,57 000 , 110 000,89 000 ,64 000 , 120 000,95 000 ,69 000 , 130 000,99 000 ,74 000 , 130 000,100 000 ,75 000 , 140 000,100 000 ,77 000 , 140 000,100 000 ,77 000 , 140 000,100 000 ,76 000 , 140 000,100 000 ,75 000 , 140 000,98 000 ,73 000 , 130 000,96 000 ,71 000 , 130 000,93 000 ,70 000 , 130 000,92 000 ,69 000 , 130 000,91 000 ,69 000 , 120 000,92 000 ,70 000 , 120 000,93 000 ,71 000 , 120 000,94 000 ,73 000 , 120 000,95 000 ,73 000 , 120 000,96 000 ,74 000 , 120 000,97 000 ,75 000 , 120 000,97 000 ,76 000 , 120 000,97 000 ,75 000 , 120 000,97 000 ,74 000 , 120 000,96 000 ,73 000 , 120 000,95 000 ,71 000 , 120 000,94 000 ,70 000 , 120 000
Beneshangul Gumuz,1100 ,<500 , 2000,1400 ,<1000 , 2500,1800 ,<1000 , 3000,2200 ,1100 , 3400,2500 ,1400 , 3800,2800 ,1800 , 4100,3000 ,2100 , 4300,3200 ,2300 , 4500,3400 ,2500 , 4600,3400 ,2500 , 4600,3500 ,2500 , 4700,3500 ,2500 , 4800,3400 ,2400 , 4800,3400 ,2400 , 4700,3300 ,2300 , 4700,3200 ,2200 , 4600,3100 ,2200 , 4500,3100 ,2200 , 4400,3100 ,2200 , 4300,3100 ,2300 , 4300,3200 ,2300 , 4300,3200 ,2400 , 4300,3200 ,2400 , 4300,3200 ,2400 , 4300,3200 ,2400 , 4300,3200 ,2400 , 4300,3200 ,2400 , 4300,3200 ,2300 , 4300,3200 ,2300 , 4300,3200 ,2200 , 4300
Dire Dawa,4600 ,1800 , 9800,5400 ,2300 , 10 000,6100 ,2800 , 11 000,6700 ,3200 , 11 000,7000 ,3700 , 11 000,7200 ,4000 , 11 000,7400 ,4400 , 12 000,7400 ,4600 , 11 000,7300 ,4600 , 11 000,7200 ,4700 , 10 000,7000 ,4700 , 10 000,6700 ,4600 , 9500,6500 ,4600 , 9000,6200 ,4400 , 8500,5900 ,4400 , 8100,5700 ,4300 , 7600,5500 ,4200 , 7300,5400 ,4200 , 7100,5400 ,4200 , 7000,5300 ,4200 , 6800,5300 ,4100 , 6800,5300 ,4200 , 6600,5300 ,4100 , 6600,5300 ,4100 , 6500,5300 ,4100 , 6400,5200 ,4000 , 6300,5100 ,4000 , 6300,5100 ,3900 , 6300,5000 ,3800 , 6300,4900 ,3800 , 6400
Gambella,4300 ,1400 , 10 000,5400 ,2100 , 11 000,6500 ,2800 , 12 000,7500 ,3800 , 12 000,8200 ,4700 , 13 000,8800 ,5500 , 13 000,9200 ,6100 , 13 000,9500 ,6700 , 13 000,9700 ,7100 , 13 000,9700 ,7200 , 13 000,9600 ,7000 , 13 000,9400 ,6800 , 13 000,9200 ,6800 , 12 000,8900 ,6600 , 12 000,8600 ,6300 , 11 000,8400 ,6000 , 11 000,8100 ,5800 , 10 000,7900 ,5600 , 10 000,7700 ,5500 , 9800,7500 ,5400 , 9500,7300 ,5300 , 9300,7200 ,5300 , 9100,7100 ,5200 , 9000,6900 ,5200 , 8900,6800 ,5100 , 8700,6600 ,5000 , 8500,6500 ,5000 , 8400,6500 ,4900 , 8400,6500 ,4900 , 8400,6500 ,4900 , 8300
Harari,<1000 ,<200 , 1600,<1000 ,<200 , 1900,<1000 ,<500 , 2200,1000 ,<500 , 2500,1200 ,<1000 , 2700,1400 ,<1000 , 2800,1500 ,<1000 , 2900,1700 ,<1000 , 3100,1800 ,1000 , 3100,1900 ,1200 , 3100,1900 ,1300 , 3100,2000 ,1400 , 3000,2000 ,1400 , 3000,2000 ,1500 , 2900,2000 ,1500 , 2800,2000 ,1600 , 2700,2100 ,1700 , 2600,2100 ,1700 , 2600,2200 ,1800 , 2700,2300 ,1900 , 2700,2300 ,1900 , 2800,2400 ,1900 , 2800,2500 ,2000 , 2800,2500 ,2000 , 2900,2600 ,2000 , 3000,2600 ,2100 , 3000,2600 ,2000 , 3100,2600 ,2000 , 3200,2600 ,2000 , 3200,2600 ,2000 , 3300
Oromiya,58 000 ,31 000 , 100 000,71 000 ,43 000 , 110 000,84 000 ,53 000 , 130 000,95 000 ,62 000 , 140 000,100 000 ,71 000 , 150 000,110 000 ,77 000 , 160 000,110 000 ,81 000 , 160 000,110 000 ,84 000 , 160 000,110 000 ,85 000 , 160 000,110 000 ,83 000 , 160 000,110 000 ,80 000 , 160 000,110 000 ,78 000 , 150 000,100 000 ,74 000 , 150 000,100 000 ,71 000 , 140 000,97 000 ,70 000 , 140 000,94 000 ,65 000 , 130 000,91 000 ,63 000 , 130 000,90 000 ,62 000 , 130 000,89 000 ,62 000 , 120 000,89 000 ,63 000 , 120 000,90 000 ,64 000 , 120 000,90 000 ,65 000 , 120 000,91 000 ,66 000 , 120 000,90 000 ,66 000 , 120 000,89 000 ,66 000 , 120 000,88 000 ,65 000 , 120 000,87 000 ,64 000 , 120 000,86 000 ,62 000 , 120 000,85 000 ,61 000 , 120 000,83 000 ,60 000 , 110 000
SNNPR,19 000 ,7200 , 37 000,24 000 ,10 000 , 43 000,28 000 ,14 000 , 47 000,32 000 ,19 000 , 51 000,35 000 ,23 000 , 53 000,37 000 ,26 000 , 54 000,39 000 ,29 000 , 56 000,40 000 ,30 000 , 57 000,41 000 ,30 000 , 56 000,41 000 ,31 000 , 56 000,40 000 ,30 000 , 57 000,40 000 ,29 000 , 55 000,39 000 ,29 000 , 53 000,37 000 ,28 000 , 51 000,36 000 ,26 000 , 49 000,35 000 ,25 000 , 46 000,34 000 ,25 000 , 45 000,33 000 ,24 000 , 44 000,33 000 ,24 000 , 44 000,33 000 ,24 000 , 44 000,33 000 ,24 000 , 43 000,33 000 ,25 000 , 43 000,33 000 ,25 000 , 42 000,32 000 ,25 000 , 42 000,32 000 ,24 000 , 42 000,32 000 ,24 000 , 41 000,31 000 ,24 000 , 40 000,31 000 ,23 000 , 39 000,30 000 ,22 000 , 38 000,29 000 ,22 000 , 37 000
Somali,1900 ,<1000 , 4800,2500 ,<1000 , 5500,3000 ,1100 , 6100,3400 ,1500 , 6700,3700 ,1900 , 6800,4000 ,2300 , 6900,4200 ,2500 , 7000,4300 ,2700 , 7100,4400 ,2800 , 7000,4400 ,2800 , 6900,4400 ,2800 , 6800,4300 ,2800 , 6700,4300 ,2700 , 6500,4100 ,2600 , 6400,4000 ,2600 , 6300,3900 ,2500 , 6200,3800 ,2500 , 6000,3700 ,2400 , 5800,3600 ,2300 , 5700,3600 ,2300 , 5500,3500 ,2200 , 5400,3400 ,2200 , 5200,3400 ,2200 , 5100,3300 ,2100 , 4900,3200 ,2100 , 4800,3100 ,2000 , 4700,3100 ,2000 , 4600,3000 ,2000 , 4600,2900 ,1900 , 4400,2900 ,1900 , 4300
