States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,4600 ,1600 , 8800,6500 ,2300 , 12 000,8600 ,3100 , 15 000,11 000 ,4100 , 18 000,12 000 ,5000 , 22 000,14 000 ,5400 , 24 000,15 000 ,5900 , 27 000,16 000 ,6500 , 29 000,16 000 ,7000 , 30 000,17 000 ,7000 , 31 000,17 000 ,6900 , 31 000,17 000 ,6900 , 31 000,16 000 ,6900 , 31 000,16 000 ,6600 , 30 000,15 000 ,6200 , 28 000,15 000 ,6000 , 27 000,14 000 ,5900 , 26 000,14 000 ,6100 , 26 000,15 000 ,6400 , 27 000,15 000 ,6700 , 28 000,16 000 ,7000 , 28 000,17 000 ,7300 , 29 000,18 000 ,7700 , 31 000,19 000 ,8100 , 32 000,20 000 ,8600 , 34 000,21 000 ,9500 , 34 000,22 000 ,10 000 , 37 000,24 000 ,11 000 , 39 000,25 000 ,12 000 , 41 000,26 000 ,13 000 , 43 000
Afar,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<200 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1800,1100 ,<500 , 1900,1100 ,<1000 , 2000,1200 ,<1000 , 2200,1300 ,<1000 , 2300
Amhara,2200 ,<1000 , 5500,2900 ,<1000 , 6600,3600 ,1300 , 7600,4300 ,1500 , 8800,4900 ,1800 , 10 000,5500 ,2000 , 12 000,6000 ,2000 , 12 000,6400 ,2200 , 13 000,6600 ,2300 , 13 000,6800 ,2300 , 14 000,6900 ,2400 , 14 000,6900 ,2400 , 14 000,6800 ,2400 , 13 000,6800 ,2400 , 13 000,6600 ,2500 , 13 000,6600 ,2500 , 13 000,6700 ,2400 , 13 000,7000 ,2700 , 14 000,7600 ,3000 , 14 000,8300 ,3400 , 16 000,9100 ,4000 , 17 000,10 000 ,4500 , 19 000,11 000 ,5200 , 21 000,13 000 ,5800 , 24 000,14 000 ,6600 , 26 000,16 000 ,7300 , 29 000,18 000 ,8300 , 32 000,20 000 ,10 000 , 36 000,22 000 ,12 000 , 39 000,25 000 ,14 000 , 42 000
Beneshangul Gumuz,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200
Dire Dawa,<500 ,<100 , <1000,<500 ,<100 , 1100,<500 ,<200 , 1300,<1000 ,<200 , 1300,<1000 ,<200 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1800,1100 ,<500 , 1900,1200 ,<1000 , 2000,1200 ,<1000 , 2200,1300 ,<1000 , 2300,1400 ,<1000 , 2500,1600 ,<1000 , 2700,1700 ,<1000 , 2800
Gambella,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , 1000,<1000 ,<200 , 1200,<1000 ,<200 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1700,1000 ,<500 , 1900,1100 ,<1000 , 2000
Harari,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100
Oromiya,3100 ,<1000 , 7500,3900 ,1200 , 9000,4700 ,1500 , 10 000,5400 ,1800 , 12 000,6000 ,2000 , 13 000,6400 ,2100 , 13 000,6700 ,2300 , 15 000,7000 ,2600 , 15 000,7100 ,2700 , 15 000,7200 ,2800 , 16 000,7200 ,2800 , 16 000,7100 ,2800 , 16 000,7000 ,2800 , 15 000,6900 ,2800 , 15 000,6700 ,2800 , 14 000,6700 ,2700 , 14 000,6700 ,2800 , 14 000,7000 ,2900 , 15 000,7500 ,3100 , 15 000,8100 ,3400 , 16 000,8900 ,3700 , 18 000,9900 ,4200 , 20 000,11 000 ,4700 , 21 000,12 000 ,5300 , 23 000,13 000 ,5900 , 25 000,15 000 ,6500 , 27 000,16 000 ,7300 , 31 000,18 000 ,8400 , 33 000,20 000 ,9600 , 35 000,22 000 ,11 000 , 38 000
SNNPR,1100 ,<500 , 3000,1400 ,<500 , 3500,1700 ,<500 , 4000,2000 ,<1000 , 4400,2200 ,<1000 , 4600,2400 ,<1000 , 5100,2600 ,<1000 , 5600,2700 ,<1000 , 6000,2800 ,1100 , 5900,2800 ,1100 , 6000,2800 ,1100 , 5900,2800 ,1000 , 5900,2700 ,1000 , 5900,2600 ,1000 , 5700,2600 ,<1000 , 5500,2500 ,<1000 , 5200,2500 ,<1000 , 5200,2600 ,<1000 , 5500,2800 ,1000 , 6000,3000 ,1100 , 6300,3300 ,1300 , 6800,3600 ,1500 , 7200,4000 ,1700 , 8000,4500 ,1900 , 8800,4900 ,2200 , 9500,5500 ,2600 , 10 000,6000 ,2900 , 11 000,6600 ,3300 , 12 000,7200 ,3700 , 13 000,7800 ,4200 , 14 000
Somali,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1300
