States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,65 000 ,42 000 , 96 000,87 000 ,59 000 , 120 000,110 000 ,76 000 , 150 000,120 000 ,89 000 , 170 000,130 000 ,99 000 , 180 000,140 000 ,110 000 , 180 000,140 000 ,110 000 , 180 000,140 000 ,110 000 , 170 000,140 000 ,110 000 , 170 000,130 000 ,100 000 , 160 000,120 000 ,98 000 , 150 000,120 000 ,92 000 , 140 000,110 000 ,86 000 , 130 000,100 000 ,81 000 , 130 000,94 000 ,72 000 , 120 000,87 000 ,67 000 , 110 000,81 000 ,62 000 , 100 000,78 000 ,60 000 , 96 000,75 000 ,59 000 , 93 000,74 000 ,59 000 , 91 000,73 000 ,58 000 , 89 000,73 000 ,58 000 , 89 000,72 000 ,58 000 , 88 000,72 000 ,58 000 , 88 000,72 000 ,58 000 , 87 000,71 000 ,57 000 , 87 000,71 000 ,56 000 , 87 000,71 000 ,56 000 , 87 000,70 000 ,55 000 , 87 000,70 000 ,55 000 , 86 000
Afar,3300 ,1100 , 8500,4300 ,1600 , 9300,5300 ,2300 , 10 000,6200 ,3100 , 11 000,6900 ,3600 , 12 000,7500 ,4200 , 12 000,7900 ,4700 , 12 000,8200 ,5100 , 12 000,8300 ,5300 , 12 000,8400 ,5600 , 12 000,8500 ,5700 , 12 000,8500 ,5900 , 12 000,8400 ,5800 , 11 000,8300 ,5900 , 11 000,8100 ,5900 , 11 000,8000 ,5800 , 11 000,7800 ,5800 , 11 000,7700 ,5700 , 10 000,7700 ,5700 , 10 000,7700 ,5700 , 10 000,7700 ,5700 , 10 000,7700 ,5800 , 10 000,7700 ,5900 , 10 000,7700 ,5900 , 10 000,7700 ,5700 , 10 000,7700 ,5700 , 9800,7600 ,5700 , 9700,7700 ,5700 , 9700,7700 ,5700 , 9700,7600 ,5600 , 9600
Amhara,45 000 ,25 000 , 78 000,58 000 ,34 000 , 95 000,71 000 ,44 000 , 110 000,84 000 ,55 000 , 120 000,95 000 ,66 000 , 140 000,110 000 ,75 000 , 150 000,110 000 ,84 000 , 160 000,120 000 ,89 000 , 160 000,120 000 ,91 000 , 170 000,130 000 ,93 000 , 170 000,130 000 ,94 000 , 170 000,130 000 ,94 000 , 170 000,120 000 ,94 000 , 160 000,120 000 ,93 000 , 160 000,120 000 ,90 000 , 160 000,120 000 ,89 000 , 160 000,110 000 ,88 000 , 160 000,110 000 ,88 000 , 150 000,110 000 ,88 000 , 150 000,120 000 ,90 000 , 150 000,120 000 ,92 000 , 150 000,120 000 ,94 000 , 150 000,120 000 ,95 000 , 150 000,120 000 ,95 000 , 150 000,120 000 ,95 000 , 150 000,120 000 ,96 000 , 150 000,120 000 ,95 000 , 150 000,120 000 ,96 000 , 150 000,120 000 ,97 000 , 160 000,120 000 ,98 000 , 160 000
Beneshangul Gumuz,1200 ,<500 , 2400,1700 ,<1000 , 2900,2100 ,<1000 , 3500,2500 ,1300 , 3900,2900 ,1700 , 4400,3300 ,2000 , 4800,3600 ,2400 , 5200,3900 ,2800 , 5400,4000 ,3000 , 5600,4200 ,3100 , 5700,4200 ,3100 , 5800,4200 ,3100 , 5700,4200 ,3100 , 5800,4200 ,3000 , 5700,4100 ,2900 , 5700,4000 ,2800 , 5500,3900 ,2800 , 5500,3900 ,2800 , 5400,3900 ,2800 , 5400,3900 ,2800 , 5400,3900 ,2900 , 5400,4000 ,2900 , 5400,4000 ,3000 , 5400,4000 ,3000 , 5400,4000 ,3000 , 5300,4100 ,3000 , 5300,4100 ,3000 , 5300,4100 ,3000 , 5400,4100 ,3000 , 5500,4200 ,3000 , 5600
Dire Dawa,5100 ,2000 , 11 000,6100 ,2600 , 12 000,7000 ,3200 , 12 000,7700 ,3700 , 12 000,8100 ,4100 , 13 000,8400 ,4600 , 13 000,8600 ,5000 , 13 000,8800 ,5300 , 13 000,8700 ,5500 , 13 000,8600 ,5500 , 13 000,8400 ,5600 , 12 000,8100 ,5700 , 12 000,7900 ,5700 , 11 000,7600 ,5500 , 11 000,7300 ,5400 , 10 000,7100 ,5300 , 9500,6800 ,5200 , 9100,6700 ,5200 , 8800,6600 ,5200 , 8700,6600 ,5200 , 8400,6600 ,5300 , 8300,6700 ,5300 , 8300,6700 ,5300 , 8300,6700 ,5300 , 8200,6700 ,5400 , 8200,6700 ,5400 , 8200,6700 ,5400 , 8300,6800 ,5400 , 8500,6800 ,5400 , 8600,6800 ,5400 , 8800
Gambella,4900 ,1600 , 11 000,6200 ,2200 , 12 000,7500 ,3200 , 14 000,8700 ,4100 , 15 000,9600 ,5200 , 15 000,10 000 ,6500 , 16 000,11 000 ,7300 , 16 000,11 000 ,8000 , 16 000,12 000 ,8500 , 16 000,12 000 ,8700 , 16 000,12 000 ,8800 , 16 000,12 000 ,8700 , 15 000,12 000 ,8500 , 15 000,11 000 ,8400 , 15 000,11 000 ,8100 , 14 000,11 000 ,7800 , 14 000,10 000 ,7600 , 13 000,10 000 ,7300 , 13 000,9700 ,7100 , 12 000,9400 ,6900 , 12 000,9200 ,6800 , 12 000,9000 ,6700 , 11 000,8800 ,6600 , 11 000,8700 ,6600 , 11 000,8500 ,6400 , 11 000,8300 ,6300 , 11 000,8200 ,6200 , 10 000,8100 ,6200 , 10 000,8100 ,6200 , 11 000,8200 ,6300 , 11 000
Harari,<1000 ,<200 , 1800,<1000 ,<200 , 2100,<1000 ,<500 , 2500,1200 ,<500 , 2800,1400 ,<1000 , 3000,1600 ,<1000 , 3300,1800 ,<1000 , 3500,1900 ,1000 , 3600,2100 ,1200 , 3600,2200 ,1400 , 3600,2300 ,1500 , 3500,2300 ,1600 , 3500,2400 ,1700 , 3400,2400 ,1800 , 3400,2400 ,1800 , 3300,2400 ,1900 , 3200,2500 ,2000 , 3200,2500 ,2100 , 3100,2600 ,2200 , 3200,2700 ,2300 , 3200,2800 ,2300 , 3300,2900 ,2400 , 3400,3000 ,2500 , 3400,3100 ,2500 , 3600,3100 ,2500 , 3700,3200 ,2500 , 3800,3200 ,2600 , 3900,3300 ,2600 , 4000,3300 ,2600 , 4200,3400 ,2600 , 4300
Oromiya,67 000 ,35 000 , 120 000,83 000 ,48 000 , 130 000,97 000 ,61 000 , 150 000,110 000 ,72 000 , 170 000,120 000 ,82 000 , 170 000,130 000 ,91 000 , 180 000,130 000 ,96 000 , 190 000,140 000 ,99 000 , 190 000,140 000 ,100 000 , 200 000,140 000 ,100 000 , 190 000,140 000 ,99 000 , 190 000,130 000 ,96 000 , 190 000,130 000 ,94 000 , 180 000,130 000 ,91 000 , 180 000,120 000 ,87 000 , 170 000,120 000 ,84 000 , 170 000,110 000 ,82 000 , 160 000,110 000 ,80 000 , 160 000,110 000 ,79 000 , 150 000,110 000 ,79 000 , 150 000,110 000 ,80 000 , 150 000,110 000 ,81 000 , 150 000,110 000 ,84 000 , 150 000,110 000 ,83 000 , 150 000,110 000 ,83 000 , 150 000,110 000 ,84 000 , 150 000,110 000 ,84 000 , 150 000,110 000 ,84 000 , 150 000,110 000 ,84 000 , 150 000,110 000 ,84 000 , 150 000
SNNPR,22 000 ,8300 , 43 000,28 000 ,12 000 , 49 000,33 000 ,16 000 , 55 000,37 000 ,22 000 , 60 000,41 000 ,27 000 , 63 000,44 000 ,31 000 , 65 000,47 000 ,34 000 , 67 000,49 000 ,37 000 , 69 000,50 000 ,38 000 , 69 000,50 000 ,38 000 , 70 000,50 000 ,38 000 , 70 000,49 000 ,37 000 , 69 000,48 000 ,37 000 , 67 000,47 000 ,35 000 , 64 000,46 000 ,34 000 , 62 000,44 000 ,33 000 , 59 000,43 000 ,32 000 , 57 000,42 000 ,31 000 , 55 000,42 000 ,31 000 , 54 000,41 000 ,31 000 , 54 000,41 000 ,31 000 , 53 000,41 000 ,31 000 , 53 000,41 000 ,32 000 , 53 000,41 000 ,32 000 , 52 000,41 000 ,32 000 , 52 000,41 000 ,32 000 , 51 000,40 000 ,31 000 , 51 000,40 000 ,31 000 , 51 000,40 000 ,31 000 , 50 000,39 000 ,31 000 , 50 000
Somali,2200 ,<1000 , 5500,2800 ,<1000 , 6200,3400 ,1300 , 7000,3900 ,1700 , 7700,4300 ,2100 , 8000,4700 ,2500 , 8000,4900 ,2900 , 8100,5100 ,3100 , 8200,5200 ,3300 , 8300,5300 ,3300 , 8200,5300 ,3300 , 8200,5200 ,3400 , 8100,5200 ,3300 , 7900,5100 ,3300 , 7800,4900 ,3200 , 7500,4800 ,3100 , 7400,4700 ,3000 , 7200,4600 ,3000 , 7200,4600 ,2900 , 6900,4500 ,2900 , 6800,4400 ,2900 , 6700,4400 ,2900 , 6600,4300 ,2900 , 6500,4300 ,2900 , 6400,4200 ,2800 , 6300,4100 ,2700 , 6200,4100 ,2700 , 6100,4000 ,2700 , 6000,4000 ,2700 , 6000,3900 ,2600 , 6000
