States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,54 000 ,34 000 , 82 000,67 000 ,46 000 , 97 000,79 000 ,57 000 , 110 000,87 000 ,64 000 , 120 000,90 000 ,68 000 , 120 000,90 000 ,69 000 , 110 000,86 000 ,66 000 , 110 000,82 000 ,61 000 , 100 000,76 000 ,56 000 , 96 000,70 000 ,50 000 , 88 000,63 000 ,45 000 , 82 000,57 000 ,40 000 , 74 000,52 000 ,35 000 , 67 000,47 000 ,31 000 , 61 000,42 000 ,28 000 , 55 000,38 000 ,25 000 , 50 000,35 000 ,23 000 , 46 000,33 000 ,22 000 , 43 000,32 000 ,21 000 , 41 000,31 000 ,21 000 , 40 000,30 000 ,21 000 , 38 000,30 000 ,20 000 , 37 000,29 000 ,20 000 , 36 000,29 000 ,19 000 , 35 000,28 000 ,19 000 , 34 000,27 000 ,18 000 , 33 000,26 000 ,17 000 , 32 000,25 000 ,17 000 , 31 000,24 000 ,16 000 , 30 000,23 000 ,15 000 , 29 000
Afar,4900 ,1500 , 14 000,5900 ,2100 , 14 000,6800 ,2800 , 14 000,7500 ,3600 , 14 000,8000 ,4300 , 14 000,8300 ,4700 , 14 000,8300 ,4900 , 13 000,8300 ,5100 , 12 000,8000 ,5000 , 12 000,7800 ,5000 , 11 000,7500 ,5000 , 11 000,7100 ,4900 , 10 000,6800 ,4700 , 9600,6400 ,4300 , 9100,6000 ,4100 , 8600,5700 ,3900 , 8100,5400 ,3600 , 7500,5100 ,3400 , 7100,4900 ,3300 , 6700,4700 ,3200 , 6400,4500 ,3100 , 6100,4400 ,3000 , 5800,4200 ,2900 , 5600,4100 ,2800 , 5400,3900 ,2700 , 5200,3800 ,2600 , 5000,3700 ,2500 , 4900,3600 ,2400 , 4700,3500 ,2300 , 4500,3400 ,2300 , 4400
Amhara,40 000 ,23 000 , 72 000,48 000 ,29 000 , 80 000,56 000 ,36 000 , 87 000,63 000 ,41 000 , 94 000,68 000 ,46 000 , 96 000,72 000 ,50 000 , 100 000,74 000 ,53 000 , 100 000,75 000 ,54 000 , 100 000,75 000 ,53 000 , 100 000,74 000 ,51 000 , 100 000,72 000 ,49 000 , 97 000,70 000 ,48 000 , 94 000,67 000 ,47 000 , 92 000,65 000 ,44 000 , 89 000,62 000 ,42 000 , 85 000,60 000 ,40 000 , 82 000,58 000 ,39 000 , 78 000,57 000 ,39 000 , 76 000,57 000 ,39 000 , 75 000,57 000 ,40 000 , 74 000,57 000 ,40 000 , 74 000,58 000 ,40 000 , 74 000,58 000 ,40 000 , 73 000,58 000 ,40 000 , 73 000,58 000 ,40 000 , 72 000,57 000 ,40 000 , 72 000,57 000 ,39 000 , 72 000,57 000 ,39 000 , 72 000,56 000 ,38 000 , 71 000,56 000 ,37 000 , 70 000
Beneshangul Gumuz,<1000 ,<500 , 1400,<1000 ,<500 , 1700,1200 ,<1000 , 1900,1400 ,<1000 , 2200,1600 ,<1000 , 2300,1700 ,1100 , 2500,1800 ,1200 , 2700,1900 ,1400 , 2700,2000 ,1400 , 2700,2000 ,1400 , 2700,2000 ,1400 , 2800,2000 ,1400 , 2700,1900 ,1400 , 2700,1900 ,1300 , 2700,1800 ,1300 , 2600,1800 ,1200 , 2500,1700 ,1200 , 2500,1700 ,1200 , 2400,1700 ,1200 , 2400,1700 ,1200 , 2400,1700 ,1200 , 2400,1700 ,1200 , 2400,1800 ,1200 , 2300,1800 ,1200 , 2400,1800 ,1200 , 2400,1800 ,1200 , 2300,1700 ,1200 , 2300,1700 ,1200 , 2300,1700 ,1100 , 2300,1700 ,1100 , 2300
Dire Dawa,3600 ,1400 , 8000,4200 ,1700 , 8300,4700 ,2200 , 8600,5000 ,2500 , 8500,5200 ,2800 , 8400,5200 ,2900 , 8300,5200 ,3100 , 8100,5200 ,3200 , 8000,5100 ,3300 , 7600,4900 ,3300 , 7400,4700 ,3300 , 7000,4500 ,3200 , 6600,4300 ,3100 , 6200,4200 ,3000 , 5900,4000 ,2900 , 5500,3800 ,2700 , 5200,3700 ,2700 , 4900,3600 ,2700 , 4700,3600 ,2700 , 4600,3500 ,2700 , 4500,3500 ,2700 , 4400,3500 ,2700 , 4300,3500 ,2600 , 4300,3400 ,2600 , 4200,3400 ,2600 , 4100,3400 ,2600 , 4100,3300 ,2500 , 4100,3200 ,2400 , 4100,3100 ,2300 , 4100,3100 ,2200 , 4000
Gambella,3300 ,1100 , 8000,4100 ,1500 , 8500,4800 ,2000 , 9200,5400 ,2600 , 9400,5800 ,3200 , 9200,6100 ,3800 , 9400,6300 ,4300 , 9400,6400 ,4400 , 9200,6500 ,4600 , 9200,6400 ,4600 , 8900,6300 ,4500 , 8600,6100 ,4500 , 8400,5900 ,4300 , 8000,5700 ,4100 , 7600,5500 ,3900 , 7300,5300 ,3600 , 7100,5100 ,3500 , 6800,4900 ,3400 , 6600,4800 ,3300 , 6400,4600 ,3300 , 6100,4500 ,3200 , 5900,4400 ,3200 , 5800,4300 ,3100 , 5700,4300 ,3100 , 5600,4200 ,3000 , 5400,4000 ,2900 , 5300,4000 ,2900 , 5200,4000 ,2900 , 5200,4000 ,2900 , 5300,4000 ,2900 , 5400
Harari,<1000 ,<200 , 1600,<1000 ,<200 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2100,<1000 ,<500 , 2200,1100 ,<500 , 2200,1100 ,<1000 , 2300,1200 ,<1000 , 2200,1200 ,<1000 , 2200,1300 ,<1000 , 2100,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1700,1200 ,<1000 , 1700,1200 ,<1000 , 1600,1300 ,<1000 , 1600,1300 ,<1000 , 1600,1300 ,<1000 , 1600,1400 ,1000 , 1600,1400 ,1000 , 1700,1400 ,1100 , 1700,1400 ,1100 , 1700,1500 ,1000 , 1700,1500 ,1000 , 1700,1400 ,1000 , 1800,1400 ,1000 , 1800,1400 ,<1000 , 1800,1400 ,<1000 , 1900
Oromiya,34 000 ,18 000 , 61 000,40 000 ,23 000 , 63 000,44 000 ,27 000 , 68 000,48 000 ,31 000 , 75 000,50 000 ,34 000 , 76 000,51 000 ,35 000 , 75 000,50 000 ,36 000 , 75 000,50 000 ,35 000 , 71 000,48 000 ,35 000 , 69 000,47 000 ,34 000 , 66 000,45 000 ,31 000 , 64 000,43 000 ,30 000 , 61 000,40 000 ,29 000 , 58 000,38 000 ,27 000 , 55 000,37 000 ,26 000 , 53 000,35 000 ,25 000 , 51 000,34 000 ,24 000 , 49 000,34 000 ,24 000 , 47 000,34 000 ,25 000 , 46 000,34 000 ,25 000 , 46 000,35 000 ,26 000 , 46 000,35 000 ,26 000 , 47 000,36 000 ,27 000 , 48 000,36 000 ,26 000 , 48 000,36 000 ,26 000 , 48 000,36 000 ,26 000 , 48 000,35 000 ,26 000 , 47 000,35 000 ,25 000 , 47 000,34 000 ,25 000 , 47 000,34 000 ,24 000 , 47 000
SNNPR,13 000 ,4900 , 24 000,15 000 ,6800 , 28 000,18 000 ,8900 , 30 000,20 000 ,12 000 , 31 000,21 000 ,13 000 , 32 000,22 000 ,16 000 , 33 000,23 000 ,17 000 , 34 000,23 000 ,17 000 , 34 000,24 000 ,17 000 , 34 000,23 000 ,17 000 , 33 000,23 000 ,16 000 , 32 000,22 000 ,16 000 , 31 000,22 000 ,15 000 , 31 000,21 000 ,15 000 , 29 000,20 000 ,14 000 , 28 000,19 000 ,13 000 , 26 000,19 000 ,13 000 , 26 000,18 000 ,13 000 , 25 000,18 000 ,13 000 , 25 000,18 000 ,13 000 , 24 000,18 000 ,13 000 , 24 000,18 000 ,13 000 , 24 000,18 000 ,13 000 , 24 000,18 000 ,13 000 , 23 000,18 000 ,13 000 , 23 000,18 000 ,13 000 , 23 000,17 000 ,12 000 , 22 000,17 000 ,12 000 , 22 000,17 000 ,12 000 , 22 000,16 000 ,11 000 , 22 000
Somali,2100 ,<1000 , 5600,2600 ,<1000 , 6100,2900 ,1000 , 6300,3100 ,1300 , 6300,3300 ,1600 , 6500,3400 ,1800 , 6400,3500 ,2000 , 6000,3400 ,2100 , 5800,3400 ,2100 , 5700,3200 ,2000 , 5400,3100 ,1900 , 5000,2900 ,1800 , 4700,2800 ,1700 , 4400,2600 ,1700 , 4100,2500 ,1500 , 3900,2300 ,1500 , 3700,2200 ,1400 , 3500,2100 ,1300 , 3300,2000 ,1300 , 3200,1900 ,1200 , 3000,1800 ,1200 , 2800,1800 ,1100 , 2700,1700 ,1100 , 2500,1600 ,1000 , 2400,1600 ,<1000 , 2300,1500 ,<1000 , 2200,1500 ,<1000 , 2100,1400 ,<1000 , 2000,1400 ,<1000 , 2000,1300 ,<1000 , 2000
Tigray,9300 ,3400 , 22 000,11 000 ,4400 , 25 000,13 000 ,5700 , 26 000,15 000 ,7100 , 27 000,16 000 ,8700 , 28 000,17 000 ,10 000 , 28 000,18 000 ,11 000 , 28 000,19 000 ,12 000 , 28 000,19 000 ,12 000 , 28 000,19 000 ,12 000 , 27 000,18 000 ,12 000 , 26 000,18 000 ,12 000 , 26 000,17 000 ,12 000 , 25 000,17 000 ,12 000 , 24 000,16 000 ,11 000 , 23 000,16 000 ,11 000 , 22 000,15 000 ,11 000 , 22 000,15 000 ,11 000 , 22 000,15 000 ,11 000 , 21 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 21 000,16 000 ,12 000 , 22 000,17 000 ,12 000 , 22 000,16 000 ,12 000 , 22 000,16 000 ,12 000 , 21 000,16 000 ,11 000 , 21 000,16 000 ,11 000 , 21 000,15 000 ,11 000 , 21 000
National,170 000 ,110 000,220 000,200 000 ,140 000,260 000,230 000 ,160 000,300 000,250 000 ,170 000,330 000,270 000 ,180 000,350 000,280 000 ,190 000,360 000,280 000 ,190 000,360 000,270 000 ,190 000,360 000,270 000 ,180 000,350 000,260 000 ,180 000,340 000,250 000 ,170 000,320 000,230 000 ,160 000,310 000,220 000 ,150 000,290 000,210 000 ,140 000,270 000,200 000 ,130 000,260 000,190 000 ,130 000,250 000,180 000 ,120 000,240 000,180 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,230 000,170 000 ,120 000,220 000,170 000 ,110 000,220 000,170 000 ,110 000,220 000,160 000 ,110 000,210 000,160 000 ,110 000,210 000
