States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,8100 ,3100 , 21 000,11 000 ,4400 , 27 000,14 000 ,5700 , 33 000,16 000 ,6900 , 38 000,18 000 ,7900 , 43 000,19 000 ,8600 , 46 000,20 000 ,9300 , 48 000,21 000 ,9600 , 47 000,21 000 ,9400 , 46 000,21 000 ,9200 , 45 000,21 000 ,9000 , 45 000,20 000 ,8400 , 42 000,19 000 ,7700 , 40 000,17 000 ,7100 , 38 000,16 000 ,6500 , 35 000,15 000 ,5900 , 32 000,14 000 ,5600 , 30 000,14 000 ,5700 , 29 000,14 000 ,6000 , 29 000,14 000 ,6300 , 30 000,15 000 ,6700 , 31 000,15 000 ,7200 , 32 000,16 000 ,7800 , 33 000,16 000 ,8500 , 33 000,17 000 ,8800 , 34 000,18 000 ,9500 , 34 000,18 000 ,10 000 , 35 000,19 000 ,11 000 , 35 000,20 000 ,12 000 , 35 000,21 000 ,12 000 , 36 000
Afar,<500 ,<100 , 1900,<1000 ,<200 , 2100,<1000 ,<200 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2400,<1000 ,<500 , 2400,<1000 ,<500 , 2500,<1000 ,<500 , 2700,1000 ,<500 , 2900,1000 ,<500 , 3000,1100 ,<500 , 3000,1100 ,<500 , 2900,1100 ,<500 , 2800,1100 ,<500 , 2700,1100 ,<500 , 2600,1100 ,<500 , 2600,1100 ,<500 , 2500,1100 ,<1000 , 2600,1200 ,<1000 , 2700,1200 ,<1000 , 2900,1300 ,<1000 , 3000,1300 ,<1000 , 3000,1400 ,<1000 , 3000,1500 ,<1000 , 3100,1500 ,<1000 , 3200,1500 ,<1000 , 3200,1600 ,<1000 , 3300,1600 ,<1000 , 3300,1600 ,<1000 , 3300
Amhara,4800 ,1700 , 15 000,5800 ,2100 , 18 000,7000 ,2500 , 20 000,8000 ,2900 , 22 000,8900 ,3200 , 23 000,9600 ,3600 , 25 000,10 000 ,3800 , 26 000,10 000 ,3800 , 26 000,11 000 ,3800 , 26 000,11 000 ,4000 , 26 000,10 000 ,4000 , 26 000,10 000 ,3800 , 25 000,10 000 ,3700 , 25 000,9600 ,3600 , 24 000,9300 ,3600 , 24 000,9100 ,3600 , 24 000,9000 ,3700 , 24 000,9200 ,4000 , 25 000,9700 ,4400 , 27 000,10 000 ,4800 , 28 000,11 000 ,5600 , 31 000,12 000 ,6200 , 33 000,13 000 ,6800 , 36 000,15 000 ,7500 , 38 000,16 000 ,8300 , 40 000,17 000 ,9000 , 41 000,18 000 ,9700 , 42 000,19 000 ,11 000 , 43 000,20 000 ,11 000 , 44 000,21 000 ,12 000 , 45 000
Beneshangul Gumuz,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , 1000,<500 ,<500 , 1100,<500 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1300
Dire Dawa,<1000 ,<200 , 1700,<1000 ,<500 , 2000,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,1000 ,<500 , 2600,1000 ,<500 , 2600,1100 ,<500 , 2500,1100 ,<500 , 2500,1000 ,<500 , 2400,1000 ,<500 , 2400,<1000 ,<500 , 2300,<1000 ,<500 , 2300,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2300,<1000 ,<500 , 2400,<1000 ,<500 , 2500,1000 ,<500 , 2600,1100 ,<1000 , 2700,1100 ,<1000 , 2900,1200 ,<1000 , 2900,1300 ,<1000 , 3000,1300 ,<1000 , 3100,1400 ,<1000 , 3200,1500 ,<1000 , 3200
Gambella,<500 ,<200 , 1600,<1000 ,<200 , 1800,<1000 ,<200 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2400,<1000 ,<500 , 2800,1000 ,<500 , 3100,1100 ,<500 , 3200,1100 ,<500 , 3100,1100 ,<500 , 3000,1100 ,<500 , 2800,1100 ,<500 , 2800,1100 ,<500 , 2900,1000 ,<500 , 2800,1000 ,<500 , 2700,<1000 ,<500 , 2500,<1000 ,<500 , 2300,<1000 ,<500 , 2200,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2100,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2200,<1000 ,<500 , 2400,1100 ,<1000 , 2500,1100 ,<1000 , 2700
Harari,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1000,<500 ,<500 , 1100,<500 ,<500 , 1200,<500 ,<500 , 1200,<500 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400
Oromiya,3700 ,1100 , 11 000,4300 ,1400 , 12 000,4900 ,1600 , 13 000,5300 ,1900 , 15 000,5700 ,2100 , 18 000,5900 ,2200 , 19 000,6100 ,2200 , 21 000,6100 ,2200 , 20 000,6100 ,2200 , 19 000,6100 ,2200 , 19 000,5900 ,2200 , 18 000,5800 ,2100 , 16 000,5600 ,2100 , 15 000,5300 ,2100 , 15 000,5100 ,2000 , 14 000,5000 ,2000 , 14 000,5000 ,2000 , 14 000,5200 ,2100 , 14 000,5500 ,2200 , 15 000,5900 ,2600 , 16 000,6400 ,3000 , 17 000,7000 ,3300 , 18 000,7700 ,3800 , 20 000,8400 ,4300 , 21 000,9100 ,4800 , 22 000,10 000 ,5300 , 23 000,11 000 ,6200 , 24 000,12 000 ,6800 , 25 000,13 000 ,7600 , 26 000,14 000 ,8200 , 26 000
SNNPR,1400 ,<500 , 4800,1700 ,<500 , 5100,2000 ,<1000 , 5500,2300 ,<1000 , 6200,2500 ,<1000 , 6900,2700 ,1000 , 7700,2800 ,1000 , 8600,2900 ,1100 , 9300,2900 ,1100 , 9700,2900 ,1100 , 9300,2900 ,1100 , 9000,2800 ,1100 , 8700,2800 ,1100 , 8300,2700 ,1100 , 8000,2600 ,1000 , 7700,2600 ,1000 , 7400,2600 ,1000 , 7400,2600 ,1100 , 7500,2800 ,1200 , 7800,2900 ,1300 , 8300,3200 ,1400 , 8700,3400 ,1600 , 9300,3800 ,1800 , 9700,4100 ,2000 , 10 000,4500 ,2200 , 11 000,4800 ,2500 , 12 000,5200 ,2800 , 12 000,5600 ,3100 , 12 000,6000 ,3400 , 13 000,6300 ,3700 , 13 000
Somali,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , 1000,<500 ,<500 , 1100,<500 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1400
