States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,17 000 ,7100 , 30 000,22 000 ,9200 , 38 000,26 000 ,11 000 , 45 000,29 000 ,11 000 , 50 000,29 000 ,10 000 , 50 000,28 000 ,9300 , 49 000,26 000 ,8000 , 45 000,23 000 ,6500 , 39 000,19 000 ,5300 , 35 000,16 000 ,4100 , 28 000,13 000 ,3400 , 23 000,11 000 ,2800 , 19 000,9000 ,2400 , 15 000,7700 ,2300 , 13 000,6900 ,2300 , 11 000,6300 ,2400 , 10 000,6000 ,2500 , 9500,6000 ,2800 , 9200,6000 ,3100 , 9100,6100 ,3400 , 9000,6300 ,3700 , 8900,6400 ,4000 , 8900,6500 ,4200 , 8900,6500 ,4300 , 8900,6500 ,4300 , 8800,6300 ,4300 , 8500,6000 ,4100 , 8200,5700 ,3800 , 7700,5300 ,3500 , 7200,4800 ,3200 , 6700
Afar,1100 ,<500 , 2800,1300 ,<500 , 3100,1600 ,<1000 , 3400,1800 ,<1000 , 3500,1900 ,<1000 , 3600,1900 ,<1000 , 3500,1900 ,<1000 , 3300,1800 ,<1000 , 3000,1700 ,<1000 , 2800,1500 ,<500 , 2600,1400 ,<500 , 2400,1300 ,<500 , 2200,1200 ,<500 , 2000,1200 ,<500 , 1900,1100 ,<500 , 1800,1100 ,<500 , 1800,1100 ,<500 , 1700,1100 ,<500 , 1700,1100 ,<500 , 1700,1100 ,<500 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1700,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1100 ,<1000 , 1600,1000 ,<1000 , 1600,1000 ,<1000 , 1500,<1000 ,<500 , 1500
Amhara,17 000 ,7500 , 32 000,21 000 ,9300 , 38 000,24 000 ,11 000 , 42 000,27 000 ,12 000 , 45 000,29 000 ,12 000 , 48 000,30 000 ,12 000 , 50 000,30 000 ,12 000 , 51 000,29 000 ,11 000 , 51 000,28 000 ,9700 , 49 000,26 000 ,8400 , 45 000,24 000 ,7600 , 42 000,22 000 ,7000 , 38 000,20 000 ,6600 , 35 000,19 000 ,6400 , 32 000,17 000 ,6100 , 30 000,16 000 ,6000 , 28 000,16 000 ,6100 , 26 000,15 000 ,6400 , 25 000,15 000 ,6800 , 24 000,15 000 ,7100 , 24 000,15 000 ,7600 , 24 000,15 000 ,8000 , 23 000,16 000 ,8400 , 23 000,16 000 ,8600 , 23 000,16 000 ,8900 , 22 000,16 000 ,9100 , 22 000,15 000 ,9000 , 22 000,15 000 ,8800 , 22 000,14 000 ,8500 , 22 000,14 000 ,8100 , 21 000
Beneshangul Gumuz,<500 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<200 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Dire Dawa,1400 ,<500 , 3400,1600 ,<1000 , 3500,1800 ,<1000 , 3700,1800 ,<1000 , 3600,1800 ,<1000 , 3600,1800 ,<1000 , 3500,1700 ,<1000 , 3400,1600 ,<1000 , 3000,1400 ,<500 , 2700,1300 ,<500 , 2400,1200 ,<500 , 2200,1100 ,<500 , 1900,<1000 ,<500 , 1800,<1000 ,<500 , 1600,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000
Gambella,1600 ,<500 , 4300,1900 ,<1000 , 4400,2300 ,<1000 , 4500,2600 ,<1000 , 4700,2700 ,1100 , 4800,2800 ,1100 , 4700,2800 ,1000 , 4600,2700 ,<1000 , 4400,2600 ,<1000 , 4200,2400 ,<1000 , 3900,2200 ,<1000 , 3600,2000 ,<1000 , 3300,1800 ,<1000 , 3000,1700 ,<1000 , 2700,1600 ,<1000 , 2500,1500 ,<1000 , 2300,1400 ,<1000 , 2200,1400 ,<1000 , 2100,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1300 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 1900,1100 ,<1000 , 1900
Harari,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<200 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<200 , 1000,<1000 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000
Oromiya,24 000 ,11 000 , 46 000,28 000 ,12 000 , 52 000,32 000 ,13 000 , 55 000,34 000 ,13 000 , 56 000,34 000 ,13 000 , 57 000,34 000 ,12 000 , 57 000,32 000 ,11 000 , 54 000,30 000 ,9300 , 50 000,27 000 ,8200 , 45 000,24 000 ,7500 , 40 000,22 000 ,7100 , 37 000,20 000 ,6600 , 33 000,18 000 ,6200 , 30 000,17 000 ,6000 , 28 000,16 000 ,6100 , 26 000,15 000 ,6200 , 25 000,15 000 ,6400 , 24 000,15 000 ,6700 , 24 000,15 000 ,7000 , 24 000,16 000 ,7400 , 24 000,16 000 ,7800 , 25 000,16 000 ,8200 , 25 000,16 000 ,8500 , 25 000,16 000 ,8500 , 25 000,16 000 ,8500 , 25 000,15 000 ,8300 , 24 000,15 000 ,8100 , 24 000,14 000 ,7800 , 23 000,14 000 ,7700 , 22 000,13 000 ,7300 , 22 000
SNNPR,7500 ,2600 , 16 000,8900 ,3400 , 18 000,10 000 ,4100 , 19 000,11 000 ,4300 , 19 000,11 000 ,4500 , 20 000,12 000 ,4300 , 19 000,11 000 ,3800 , 19 000,11 000 ,3500 , 18 000,10 000 ,3200 , 16 000,9200 ,2900 , 15 000,8400 ,2600 , 14 000,7700 ,2500 , 12 000,7100 ,2400 , 11 000,6500 ,2300 , 11 000,6100 ,2300 , 9800,5700 ,2300 , 8900,5600 ,2300 , 8600,5500 ,2400 , 8400,5400 ,2500 , 8300,5400 ,2600 , 8300,5400 ,2700 , 8200,5400 ,2800 , 8100,5400 ,2900 , 8000,5400 ,2900 , 7800,5400 ,2900 , 7700,5300 ,2900 , 7600,5200 ,2900 , 7500,5100 ,2800 , 7400,4900 ,2700 , 7300,4700 ,2600 , 7000
Somali,<1000 ,<500 , 2100,<1000 ,<500 , 2300,1000 ,<500 , 2300,1100 ,<500 , 2300,1200 ,<500 , 2400,1200 ,<500 , 2400,1200 ,<500 , 2300,1100 ,<500 , 2200,1100 ,<500 , 2000,<1000 ,<500 , 1900,<1000 ,<500 , 1700,<1000 ,<500 , 1500,<1000 ,<500 , 1400,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
