States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,6900 ,<1000 , 13 000,8400 ,<1000 , 15 000,9400 ,1100 , 18 000,9800 ,1100 , 18 000,9300 ,<1000 , 17 000,8400 ,<1000 , 16 000,7000 ,<1000 , 14 000,5700 ,<1000 , 12 000,4500 ,<500 , 9700,3600 ,<500 , 7700,2900 ,<500 , 6100,2400 ,<500 , 4900,2200 ,<500 , 4100,2100 ,<500 , 3700,2100 ,<1000 , 3600,2200 ,<1000 , 3600,2500 ,1200 , 3800,2800 ,1600 , 4100,3200 ,2000 , 4600,3600 ,2500 , 5000,4000 ,2900 , 5500,4400 ,3200 , 5800,4700 ,3500 , 6100,4900 ,3700 , 6300,5000 ,3800 , 6400,5000 ,3800 , 6300,4800 ,3800 , 6200,4600 ,3500 , 5900,4300 ,3300 , 5500,3900 ,2900 , 5000
Afar,<1000 ,<100 , 2200,<1000 ,<100 , 2100,<1000 ,<100 , 1900,<1000 ,<200 , 1900,<1000 ,<100 , 1700,<1000 ,<100 , 1500,<1000 ,<100 , 1300,<1000 ,<100 , 1200,<500 ,<100 , 1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Amhara,6500 ,<1000 , 14 000,7800 ,<1000 , 16 000,9100 ,1100 , 18 000,10 000 ,1300 , 19 000,11 000 ,1300 , 20 000,12 000 ,1400 , 21 000,11 000 ,1300 , 20 000,10 000 ,1100 , 19 000,9100 ,1100 , 18 000,8100 ,1000 , 16 000,7200 ,1000 , 15 000,6600 ,<1000 , 13 000,6100 ,<1000 , 12 000,5800 ,1200 , 11 000,5600 ,1400 , 11 000,5600 ,1800 , 10 000,5800 ,2200 , 10 000,6100 ,2800 , 10 000,6600 ,3300 , 11 000,7100 ,4000 , 11 000,7700 ,4700 , 12 000,8200 ,5200 , 12 000,8700 ,5700 , 13 000,9100 ,6200 , 13 000,9500 ,6600 , 14 000,9600 ,6800 , 14 000,9700 ,6900 , 14 000,9500 ,6800 , 14 000,9300 ,6600 , 13 000,9000 ,6300 , 13 000
Beneshangul Gumuz,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500
Dire Dawa,<1000 ,<100 , 1500,<1000 ,<100 , 1500,<1000 ,<100 , 1500,<1000 ,<100 , 1400,<1000 ,<100 , 1400,<1000 ,<100 , 1200,<1000 ,<100 , 1100,<1000 ,<100 , 1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000
Gambella,<1000 ,<100 , 1500,<1000 ,<100 , 1600,<1000 ,<100 , 1600,<1000 ,<100 , 1700,<1000 ,<100 , 1700,<1000 ,<100 , 1500,<1000 ,<200 , 1400,<1000 ,<100 , 1300,<1000 ,<100 , 1300,<1000 ,<100 , 1100,<1000 ,<100 , 1100,<1000 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<200 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Harari,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500
Oromiya,6800 ,<1000 , 15 000,7200 ,<1000 , 15 000,7400 ,1000 , 15 000,7300 ,<1000 , 15 000,7000 ,<1000 , 13 000,6400 ,<1000 , 13 000,5600 ,<1000 , 11 000,4900 ,<1000 , 10 000,4300 ,<1000 , 8900,3800 ,<1000 , 8000,3500 ,<1000 , 7000,3300 ,<1000 , 6300,3200 ,<1000 , 6000,3300 ,1000 , 5900,3600 ,1400 , 6400,4000 ,1800 , 6800,4500 ,2300 , 7400,5100 ,2900 , 8200,5700 ,3700 , 9100,6400 ,4300 , 10 000,7100 ,4800 , 11 000,7600 ,5200 , 11 000,8100 ,5700 , 12 000,8500 ,6000 , 12 000,8700 ,6200 , 13 000,8700 ,6300 , 13 000,8600 ,6100 , 13 000,8400 ,5900 , 12 000,8100 ,5600 , 12 000,7800 ,5400 , 11 000
SNNPR,2400 ,<500 , 5200,2700 ,<500 , 5800,3000 ,<500 , 6400,3100 ,<500 , 6100,3200 ,<500 , 6500,3200 ,<500 , 6500,3000 ,<500 , 6000,2700 ,<500 , 5400,2500 ,<500 , 4900,2300 ,<500 , 4400,2100 ,<500 , 4000,1900 ,<500 , 3600,1900 ,<500 , 3400,1800 ,<1000 , 3200,1800 ,<1000 , 3300,1900 ,<1000 , 3400,2000 ,<1000 , 3600,2200 ,1100 , 3800,2400 ,1300 , 4100,2600 ,1500 , 4400,2800 ,1700 , 4600,3000 ,1900 , 4800,3200 ,2000 , 4900,3300 ,2200 , 4900,3400 ,2300 , 5100,3400 ,2400 , 5100,3400 ,2400 , 4900,3400 ,2300 , 4900,3300 ,2200 , 4800,3200 ,2100 , 4600
Somali,<500 ,<100 , 1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Tigray,2200 ,<500 , 6100,2500 ,<500 , 6400,2700 ,<500 , 6400,2700 ,<500 , 6300,2700 ,<500 , 5800,2600 ,<500 , 5500,2500 ,<500 , 5200,2400 ,<500 , 5000,2200 ,<500 , 4600,2000 ,<500 , 4000,1800 ,<500 , 3600,1600 ,<500 , 3100,1500 ,<500 , 2700,1400 ,<500 , 2600,1400 ,<500 , 2600,1400 ,<500 , 2500,1500 ,<1000 , 2500,1600 ,<1000 , 2600,1700 ,<1000 , 2900,1800 ,<1000 , 3000,2000 ,1100 , 3200,2100 ,1300 , 3400,2300 ,1400 , 3600,2400 ,1500 , 3600,2500 ,1600 , 3700,2500 ,1700 , 3700,2500 ,1700 , 3700,2500 ,1700 , 3600,2500 ,1700 , 3600,2400 ,1600 , 3500
National,27 000 ,19 000,39 000,31 000 ,22 000,45 000,34 000 ,24 000,49 000,36 000 ,25 000,52 000,36 000 ,25 000,52 000,35 000 ,24 000,50 000,32 000 ,22 000,45 000,28 000 ,20 000,40 000,25 000 ,17 000,36 000,22 000 ,15 000,31 000,19 000 ,13 000,28 000,18 000 ,12 000,25 000,17 000 ,12 000,24 000,16 000 ,11 000,23 000,16 000 ,11 000,23 000,17 000 ,12 000,24 000,18 000 ,13 000,26 000,20 000 ,14 000,28 000,21 000 ,15 000,31 000,24 000 ,16 000,34 000,26 000 ,18 000,37 000,28 000 ,19 000,39 000,29 000 ,20 000,42 000,30 000 ,21 000,44 000,31 000 ,22 000,45 000,32 000 ,22 000,45 000,31 000 ,22 000,45 000,31 000 ,21 000,44 000,30 000 ,21 000,43 000,28 000 ,20 000,41 000
