States,2019,2019_lower, 2019_upper
Baringo,0.19 ,0.03 , <0.01
Bomet,0.27 ,0.04 , <0.01
Bungoma,0.07 ,0.03 , <0.01
Busia,0.50 ,0.13 , <0.01
Elgeyo-Marakwet,0.18 ,0.04 , <0.01
Embu,0.16 ,0.03 , <0.01
Garissa,<0.01 ,<0.01 , <0.01
Homa Bay,1.43 ,0.37 , <0.01
Isiolo,0.17 ,0.03 , <0.01
Kajiado,0.46 ,0.09 , <0.01
Kakamega,0.40 ,0.09 , <0.01
Kericho,0.38 ,0.07 , <0.01
Kiambu,0.26 ,0.02 , <0.01
Kilifi,0.26 ,0.05 , <0.01
Kirinyaga,0.11 ,0.02 , <0.01
Kisii,0.64 ,0.17 , <0.01
Kisumu,2.07 ,0.56 , <0.01
Kitui,0.23 ,0.05 , <0.01
Kwale,0.23 ,0.04 , <0.01
Laikipia,0.27 ,0.04 , <0.01
Lamu,0.28 ,0.05 , <0.01
Machakos,0.29 ,0.05 , <0.01
Makueni,0.21 ,0.04 , <0.01
Mandera,<0.01 ,<0.01 , <0.01
Marsabit,0.15 ,0.02 , <0.01
Meru,0.20 ,0.05 , <0.01
Migori,1.09 ,0.32 , <0.01
Mombasa,0.68 ,0.11 , <0.01
Murang'a,0.07 ,0.02 , <0.01
Nairobi (County),0.43 ,0.10 , <0.01
Nakuru,0.38 ,0.07 , <0.01
Nandi,0.29 ,0.06 , <0.01
Narok,0.39 ,0.07 , <0.01
Nyamira,0.33 ,0.08 , <0.01
Nyandarua,0.09 ,0.02 , <0.01
Nyeri,0.15 ,0.03 , <0.01
Samburu,0.16 ,0.02 , <0.01
Siaya,2.13 ,0.59 , <0.01
Taita-Taveta,0.28 ,0.06 , <0.01
Tana River,0.08 ,0.01 , <0.01
Tharaka-Nithi,0.20 ,0.04 , <0.01
Trans-Nzoia,0.40 ,0.08 , <0.01
Turkana,0.38 ,0.11 , <0.01
Uasin Gishu,0.45 ,0.09 , <0.01
Vihiga,0.33 ,0.08 , <0.01
Wajir,<0.01 ,<0.01 , <0.01
West Pokot,0.10 ,0.02 , <0.01
National,0.41 ,0.15,1.00
