States,2019,2019_lower, 2019_upper
Baringo,0.62 ,0.10 , <0.01
Bomet,0.96 ,0.15 , <0.01
Bungoma,0.25 ,0.10 , <0.01
Busia,1.81 ,0.49 , <0.01
Elgeyo-Marakwet,0.61 ,0.14 , <0.01
Embu,0.63 ,0.13 , <0.01
Garissa,0.02 ,<0.01 , <0.01
Homa Bay,5.48 ,1.46 , 0.02
Isiolo,0.66 ,0.12 , <0.01
Kajiado,1.63 ,0.33 , <0.01
Kakamega,1.31 ,0.31 , <0.01
Kericho,1.36 ,0.24 , <0.01
Kiambu,0.94 ,0.07 , <0.01
Kilifi,0.69 ,0.13 , <0.01
Kirinyaga,0.40 ,0.08 , <0.01
Kisii,2.36 ,0.65 , <0.01
Kisumu,7.91 ,2.20 , 0.02
Kitui,0.90 ,0.21 , <0.01
Kwale,0.62 ,0.11 , <0.01
Laikipia,0.90 ,0.14 , <0.01
Lamu,0.76 ,0.14 , <0.01
Machakos,1.11 ,0.21 , <0.01
Makueni,0.77 ,0.17 , <0.01
Mandera,0.01 ,<0.01 , <0.01
Marsabit,0.56 ,0.07 , <0.01
Meru,0.81 ,0.20 , <0.01
Migori,4.09 ,1.21 , 0.01
Mombasa,2.00 ,0.34 , <0.01
Murang'a,0.25 ,0.06 , <0.01
Nairobi (County),1.40 ,0.35 , <0.01
Nakuru,1.30 ,0.25 , <0.01
Nandi,1.00 ,0.21 , <0.01
Narok,1.34 ,0.23 , <0.01
Nyamira,1.20 ,0.31 , <0.01
Nyandarua,0.32 ,0.06 , <0.01
Nyeri,0.54 ,0.11 , <0.01
Samburu,0.54 ,0.07 , <0.01
Siaya,8.29 ,2.35 , 0.02
Taita-Taveta,0.77 ,0.15 , <0.01
Tana River,0.22 ,0.04 , <0.01
Tharaka-Nithi,0.78 ,0.16 , <0.01
Trans-Nzoia,1.32 ,0.28 , <0.01
Turkana,1.18 ,0.35 , <0.01
Uasin Gishu,1.60 ,0.33 , <0.01
Vihiga,1.13 ,0.29 , <0.01
Wajir,0.01 ,<0.01 , <0.01
West Pokot,0.33 ,0.07 , <0.01
National,1.57 ,0.91,2.51
