States,2019,2019_lower, 2019_upper
Baringo,0.39 ,0.05 , <0.01
Bomet,0.60 ,0.09 , <0.01
Bungoma,0.15 ,0.05 , <0.01
Busia,1.03 ,0.24 , <0.01
Elgeyo-Marakwet,0.39 ,0.08 , <0.01
Embu,0.29 ,0.05 , <0.01
Garissa,<0.01 ,<0.01 , <0.01
Homa Bay,2.82 ,0.64 , <0.01
Isiolo,0.31 ,0.05 , <0.01
Kajiado,1.07 ,0.20 , <0.01
Kakamega,0.80 ,0.16 , <0.01
Kericho,0.85 ,0.13 , <0.01
Kiambu,0.60 ,0.04 , <0.01
Kilifi,0.42 ,0.07 , <0.01
Kirinyaga,0.26 ,0.05 , <0.01
Kisii,1.20 ,0.27 , <0.01
Kisumu,4.18 ,1.02 , 0.01
Kitui,0.36 ,0.07 , <0.01
Kwale,0.38 ,0.06 , <0.01
Laikipia,0.58 ,0.08 , <0.01
Lamu,0.51 ,0.09 , <0.01
Machakos,0.50 ,0.09 , <0.01
Makueni,0.33 ,0.07 , <0.01
Mandera,<0.01 ,<0.01 , <0.01
Marsabit,0.26 ,0.03 , <0.01
Meru,0.36 ,0.07 , <0.01
Migori,2.09 ,0.55 , <0.01
Mombasa,1.35 ,0.22 , <0.01
Murang'a,0.16 ,0.03 , <0.01
Nairobi (County),0.52 ,0.11 , <0.01
Nakuru,0.85 ,0.16 , <0.01
Nandi,0.64 ,0.12 , <0.01
Narok,0.85 ,0.13 , <0.01
Nyamira,0.60 ,0.13 , <0.01
Nyandarua,0.20 ,0.03 , <0.01
Nyeri,0.35 ,0.07 , <0.01
Samburu,0.34 ,0.04 , <0.01
Siaya,4.23 ,1.03 , 0.01
Taita-Taveta,0.51 ,0.09 , <0.01
Tana River,0.14 ,0.02 , <0.01
Tharaka-Nithi,0.35 ,0.06 , <0.01
Trans-Nzoia,0.84 ,0.16 , <0.01
Turkana,0.77 ,0.20 , <0.01
Uasin Gishu,1.07 ,0.20 , <0.01
Vihiga,0.66 ,0.14 , <0.01
Wajir,<0.01 ,<0.01 , <0.01
West Pokot,0.21 ,0.04 , <0.01
National,0.88 ,0.20,1.47
