States,2019,2019_lower, 2019_upper
Baringo,0.87 ,0.15 , <0.01
Bomet,1.30 ,0.21 , <0.01
Bungoma,0.35 ,0.14 , <0.01
Busia,2.52 ,0.70 , <0.01
Elgeyo-Marakwet,0.84 ,0.19 , <0.01
Embu,1.00 ,0.20 , <0.01
Garissa,0.03 ,<0.01 , <0.01
Homa Bay,8.36 ,2.26 , 0.02
Isiolo,1.03 ,0.19 , <0.01
Kajiado,2.13 ,0.46 , <0.01
Kakamega,1.85 ,0.43 , <0.01
Kericho,1.83 ,0.35 , <0.01
Kiambu,1.25 ,0.09 , <0.01
Kilifi,0.95 ,0.19 , <0.01
Kirinyaga,0.54 ,0.12 , <0.01
Kisii,3.50 ,1.00 , <0.01
Kisumu,11.82 ,3.33 , 0.03
Kitui,1.42 ,0.33 , <0.01
Kwale,0.86 ,0.15 , <0.01
Laikipia,1.24 ,0.20 , <0.01
Lamu,1.07 ,0.19 , <0.01
Machakos,1.75 ,0.34 , <0.01
Makueni,1.25 ,0.27 , <0.01
Mandera,0.02 ,<0.01 , <0.01
Marsabit,0.92 ,0.11 , <0.01
Meru,1.23 ,0.30 , <0.01
Migori,6.19 ,1.84 , 0.02
Mombasa,2.59 ,0.43 , <0.01
Murang'a,0.36 ,0.09 , <0.01
Nairobi (County),2.09 ,0.54 , <0.01
Nakuru,1.75 ,0.33 , <0.01
Nandi,1.36 ,0.30 , <0.01
Narok,1.82 ,0.32 , <0.01
Nyamira,1.79 ,0.46 , <0.01
Nyandarua,0.45 ,0.08 , <0.01
Nyeri,0.76 ,0.15 , <0.01
Samburu,0.75 ,0.10 , <0.01
Siaya,12.65 ,3.66 , 0.03
Taita-Taveta,1.07 ,0.22 , <0.01
Tana River,0.30 ,0.05 , <0.01
Tharaka-Nithi,1.20 ,0.25 , <0.01
Trans-Nzoia,1.81 ,0.42 , <0.01
Turkana,1.70 ,0.51 , <0.01
Uasin Gishu,2.12 ,0.45 , <0.01
Vihiga,1.61 ,0.43 , <0.01
Wajir,0.02 ,<0.01 , <0.01
West Pokot,0.46 ,0.10 , <0.01
National,2.27 ,1.26,3.72
