States,2019,2019_lower, 2019_upper
Baringo,<100 ,<100 , <100
Bomet,<100 ,<100 , <100
Bungoma,<100 ,<100 , <100
Busia,<100 ,<100 , <100
Elgeyo-Marakwet,<100 ,<100 , <100
Embu,<100 ,<100 , <100
Garissa,<100 ,<100 , <100
Homa Bay,<100 ,<100 , <200
Isiolo,<100 ,<100 , <100
Kajiado,<100 ,<100 , <100
Kakamega,<100 ,<100 , <200
Kericho,<100 ,<100 , <100
Kiambu,<100 ,<100 , <100
Kilifi,<100 ,<100 , <100
Kirinyaga,<100 ,<100 , <100
Kisii,<100 ,<100 , <200
Kisumu,<100 ,<100 , <500
Kitui,<100 ,<100 , <100
Kwale,<100 ,<100 , <100
Laikipia,<100 ,<100 , <100
Lamu,<100 ,<100 , <100
Machakos,<100 ,<100 , <100
Makueni,<100 ,<100 , <100
Mandera,<100 ,<100 , <100
Marsabit,<100 ,<100 , <100
Meru,<100 ,<100 , <100
Migori,<100 ,<100 , <100
Mombasa,<100 ,<100 , <100
Murang'a,<100 ,<100 , <100
Nairobi (County),<100 ,<100 , <500
Nakuru,<100 ,<100 , <100
Nandi,<100 ,<100 , <100
Narok,<100 ,<100 , <100
Nyamira,<100 ,<100 , <100
Nyandarua,<100 ,<100 , <100
Nyeri,<100 ,<100 , <100
Samburu,<100 ,<100 , <100
Siaya,<100 ,<100 , <500
Taita-Taveta,<100 ,<100 , <100
Tana River,<100 ,<100 , <100
Tharaka-Nithi,<100 ,<100 , <100
Trans-Nzoia,<100 ,<100 , <100
Turkana,<100 ,<100 , <100
Uasin Gishu,<100 ,<100 , <100
Vihiga,<100 ,<100 , <100
Wajir,<100 ,<100 , <100
West Pokot,<100 ,<100 , <100
National,<1000 ,<500,2500
