States,2019,2019_lower, 2019_upper
Baringo,5500 ,3900 , 7700
Bomet,11 000 ,8200 , 15 000
Bungoma,22 000 ,19 000 , 24 000
Busia,28 000 ,25 000 , 33 000
Elgeyo-Marakwet,4600 ,3500 , 6100
Embu,7800 ,5900 , 10 000
Garissa,1500 ,<1000 , 2600
Homa Bay,94 000 ,85 000 , 100 000
Isiolo,2300 ,1600 , 3200
Kajiado,22 000 ,17 000 , 29 000
Kakamega,31 000 ,24 000 , 40 000
Kericho,15 000 ,11 000 , 21 000
Kiambu,38 000 ,25 000 , 56 000
Kilifi,24 000 ,20 000 , 28 000
Kirinyaga,10 000 ,7500 , 13 000
Kisii,30 000 ,24 000 , 37 000
Kisumu,100 000 ,90 000 , 110 000
Kitui,20 000 ,17 000 , 24 000
Kwale,12 000 ,9900 , 15 000
Laikipia,6800 ,4500 , 9800
Lamu,1700 ,1200 , 2300
Machakos,25 000 ,20 000 , 30 000
Makueni,15 000 ,11 000 , 20 000
Mandera,<1000 ,<1000 , 1400
Marsabit,2000 ,1200 , 3000
Meru,23 000 ,18 000 , 28 000
Migori,60 000 ,54 000 , 67 000
Mombasa,49 000 ,41 000 , 58 000
Murang'a,13 000 ,11 000 , 16 000
Nairobi (County),130 000 ,120 000 , 150 000
Nakuru,44 000 ,32 000 , 59 000
Nandi,14 000 ,10 000 , 18 000
Narok,15 000 ,11 000 , 20 000
Nyamira,12 000 ,9000 , 15 000
Nyandarua,7600 ,5600 , 10 000
Nyeri,16 000 ,13 000 , 20 000
Samburu,1500 ,1000 , 2100
Siaya,74 000 ,64 000 , 84 000
Taita-Taveta,6200 ,4800 , 7700
Tana River,1200 ,<1000 , 1700
Tharaka-Nithi,5600 ,4200 , 7600
Trans-Nzoia,21 000 ,16 000 , 26 000
Turkana,15 000 ,11 000 , 19 000
Uasin Gishu,36 000 ,27 000 , 46 000
Vihiga,13 000 ,10 000 , 16 000
Wajir,<1000 ,<500 , 1500
West Pokot,3100 ,2100 , 4400
National,1 100 000 ,970 000,1 300 000
