States,2019,2019_lower, 2019_upper
Baringo,7800 ,5400 , 11 000
Bomet,16 000 ,11 000 , 21 000
Bungoma,34 000 ,30 000 , 37 000
Busia,40 000 ,35 000 , 46 000
Elgeyo-Marakwet,6500 ,4900 , 8600
Embu,11 000 ,8300 , 14 000
Garissa,2200 ,1100 , 3900
Homa Bay,140 000 ,120 000 , 150 000
Isiolo,3200 ,2200 , 4400
Kajiado,28 000 ,21 000 , 36 000
Kakamega,43 000 ,33 000 , 55 000
Kericho,21 000 ,16 000 , 28 000
Kiambu,52 000 ,35 000 , 76 000
Kilifi,33 000 ,28 000 , 39 000
Kirinyaga,15 000 ,11 000 , 19 000
Kisii,41 000 ,33 000 , 50 000
Kisumu,140 000 ,120 000 , 150 000
Kitui,30 000 ,25 000 , 35 000
Kwale,17 000 ,14 000 , 21 000
Laikipia,9400 ,6200 , 13 000
Lamu,2400 ,1700 , 3300
Machakos,36 000 ,29 000 , 43 000
Makueni,22 000 ,17 000 , 30 000
Mandera,1400 ,<1000 , 2200
Marsabit,2900 ,1800 , 4300
Meru,32 000 ,25 000 , 40 000
Migori,82 000 ,73 000 , 91 000
Mombasa,61 000 ,51 000 , 72 000
Murang'a,21 000 ,17 000 , 26 000
Nairobi (County),170 000 ,150 000 , 180 000
Nakuru,57 000 ,42 000 , 76 000
Nandi,19 000 ,14 000 , 24 000
Narok,21 000 ,15 000 , 28 000
Nyamira,16 000 ,12 000 , 20 000
Nyandarua,11 000 ,8200 , 15 000
Nyeri,24 000 ,19 000 , 29 000
Samburu,2000 ,1400 , 3000
Siaya,110 000 ,95 000 , 130 000
Taita-Taveta,8900 ,6900 , 11 000
Tana River,1700 ,1100 , 2500
Tharaka-Nithi,8200 ,6000 , 11 000
Trans-Nzoia,28 000 ,22 000 , 35 000
Turkana,21 000 ,16 000 , 27 000
Uasin Gishu,47 000 ,35 000 , 58 000
Vihiga,19 000 ,15 000 , 24 000
Wajir,1300 ,<1000 , 2400
West Pokot,4400 ,3000 , 6200
National,1 500 000 ,1 300 000,1 700 000
