States,2019,2019_lower, 2019_upper
Baringo,<1000 ,<1000 , 1300
Bomet,1600 ,1200 , 2200
Bungoma,1400 ,1200 , 1600
Busia,5900 ,4900 , 6900
Elgeyo-Marakwet,<1000 ,<1000 , 1100
Embu,1500 ,1100 , 2000
Garissa,<500 ,<200 , <500
Homa Bay,17 000 ,15 000 , 19 000
Isiolo,<500 ,<500 , <1000
Kajiado,2400 ,1800 , 3100
Kakamega,7000 ,5300 , 9000
Kericho,2000 ,1400 , 2800
Kiambu,5900 ,3900 , 8600
Kilifi,4700 ,3900 , 5600
Kirinyaga,2100 ,1500 , 2800
Kisii,4800 ,3800 , 6000
Kisumu,15 000 ,13 000 , 17 000
Kitui,4700 ,3900 , 5600
Kwale,2200 ,1800 , 2800
Laikipia,1100 ,<1000 , 1700
Lamu,<500 ,<200 , <500
Machakos,5200 ,4100 , 6400
Makueni,3700 ,2700 , 4900
Mandera,<200 ,<100 , <200
Marsabit,<500 ,<500 , <1000
Meru,4000 ,3000 , 5000
Migori,9000 ,7800 , 10 000
Mombasa,3800 ,3100 , 4400
Murang'a,3700 ,3100 , 4600
Nairobi (County),12 000 ,10 000 , 14 000
Nakuru,6200 ,4500 , 8500
Nandi,2100 ,1500 , 2800
Narok,1700 ,1300 , 2300
Nyamira,1900 ,1500 , 2400
Nyandarua,1600 ,1100 , 2100
Nyeri,3800 ,2900 , 4800
Samburu,<500 ,<200 , <500
Siaya,17 000 ,14 000 , 19 000
Taita-Taveta,1200 ,<1000 , 1500
Tana River,<200 ,<200 , <500
Tharaka-Nithi,1200 ,<1000 , 1600
Trans-Nzoia,3400 ,2500 , 4400
Turkana,1800 ,1300 , 2400
Uasin Gishu,4400 ,3100 , 5900
Vihiga,3600 ,2800 , 4600
Wajir,<200 ,<100 , <500
West Pokot,<500 ,<500 , <1000
National,170 000 ,88 000,300 000
