States,2019,2019_lower, 2019_upper
Baringo,<1000 ,<500 , 1100
Bomet,1400 ,<1000 , 2000
Bungoma,5900 ,5100 , 6900
Busia,3200 ,2600 , 3900
Elgeyo-Marakwet,<1000 ,<500 , <1000
Embu,1000 ,<1000 , 1400
Garissa,<200 ,<100 , <500
Homa Bay,12 000 ,11 000 , 14 000
Isiolo,<500 ,<200 , <500
Kajiado,1800 ,1200 , 2600
Kakamega,3000 ,2100 , 4200
Kericho,2100 ,1400 , 3000
Kiambu,4800 ,2800 , 7600
Kilifi,2400 ,2000 , 3000
Kirinyaga,1500 ,1000 , 2100
Kisii,3700 ,2600 , 4900
Kisumu,11 000 ,9600 , 13 000
Kitui,2500 ,1900 , 3300
Kwale,1400 ,1100 , 1800
Laikipia,<1000 ,<1000 , 1300
Lamu,<500 ,<200 , <500
Machakos,3400 ,2500 , 4600
Makueni,2100 ,1400 , 2900
Mandera,<200 ,<100 , <500
Marsabit,<500 ,<200 , <500
Meru,3100 ,2200 , 4400
Migori,6300 ,5200 , 7600
Mombasa,4600 ,3500 , 5900
Murang'a,2500 ,1900 , 3400
Nairobi (County),10 000 ,8700 , 12 000
Nakuru,4000 ,2700 , 5900
Nandi,1700 ,1200 , 2400
Narok,1800 ,1200 , 2600
Nyamira,1400 ,1000 , 1900
Nyandarua,1100 ,<1000 , 1500
Nyeri,2800 ,2000 , 3800
Samburu,<200 ,<200 , <500
Siaya,12 000 ,9900 , 14 000
Taita-Taveta,1000 ,<1000 , 1400
Tana River,<200 ,<200 , <500
Tharaka-Nithi,<1000 ,<1000 , 1200
Trans-Nzoia,2200 ,1600 , 2900
Turkana,2200 ,1500 , 3100
Uasin Gishu,3500 ,2600 , 4700
Vihiga,2200 ,1600 , 2900
Wajir,<200 ,<100 , <500
West Pokot,<500 ,<500 , <1000
National,130 000 ,82 000,290 000
