States,2019,2019_lower, 2019_upper
Baringo,<500 ,<500 , <1000
Bomet,1200 ,<1000 , 1700
Bungoma,1300 ,1100 , 1500
Busia,3400 ,2700 , 4200
Elgeyo-Marakwet,<500 ,<500 , <1000
Embu,<1000 ,<500 , <1000
Garissa,<200 ,<100 , <500
Homa Bay,9600 ,7900 , 12 000
Isiolo,<500 ,<200 , <500
Kajiado,1900 ,1300 , 2700
Kakamega,3300 ,2300 , 4600
Kericho,1500 ,<1000 , 2100
Kiambu,2600 ,1500 , 4900
Kilifi,2000 ,1500 , 2600
Kirinyaga,<1000 ,<500 , <1000
Kisii,2800 ,2000 , 3800
Kisumu,11 000 ,8500 , 13 000
Kitui,2000 ,1600 , 2500
Kwale,<1000 ,<1000 , 1300
Laikipia,<500 ,<500 , <1000
Lamu,<200 ,<100 , <200
Machakos,2100 ,1600 , 3000
Makueni,1400 ,<1000 , 1900
Mandera,<100 ,<100 , <200
Marsabit,<500 ,<200 , <500
Meru,1900 ,1300 , 2600
Migori,5900 ,4800 , 7400
Mombasa,3500 ,2600 , 4600
Murang'a,<1000 ,<1000 , 1000
Nairobi (County),9600 ,7800 , 13 000
Nakuru,3600 ,2400 , 5200
Nandi,1100 ,<1000 , 1600
Narok,1300 ,<1000 , 2000
Nyamira,<1000 ,<1000 , 1300
Nyandarua,<500 ,<500 , <1000
Nyeri,<1000 ,<1000 , 1200
Samburu,<200 ,<100 , <500
Siaya,7100 ,5400 , 9300
Taita-Taveta,<500 ,<500 , <1000
Tana River,<100 ,<100 , <200
Tharaka-Nithi,<500 ,<500 , <1000
Trans-Nzoia,1800 ,1300 , 2600
Turkana,1200 ,<1000 , 1700
Uasin Gishu,3100 ,2200 , 4400
Vihiga,1200 ,<1000 , 1600
Wajir,<100 ,<100 , <200
West Pokot,<500 ,<200 , <500
National,110 000 ,67 000,160 000
