States,2019,2019_lower, 2019_upper
Baringo,<1000 ,<500 , 1200
Bomet,1700 ,1200 , 2500
Bungoma,3500 ,2800 , 4200
Busia,4500 ,3700 , 5700
Elgeyo-Marakwet,<1000 ,<500 , <1000
Embu,<1000 ,<1000 , 1100
Garissa,<200 ,<200 , <500
Homa Bay,15 000 ,13 000 , 19 000
Isiolo,<500 ,<500 , <500
Kajiado,2700 ,1800 , 3800
Kakamega,4300 ,3100 , 6000
Kericho,2200 ,1500 , 3200
Kiambu,3900 ,2300 , 7300
Kilifi,2800 ,2100 , 3600
Kirinyaga,<1000 ,<1000 , 1200
Kisii,4100 ,3000 , 5500
Kisumu,16 000 ,13 000 , 20 000
Kitui,2700 ,2100 , 3400
Kwale,1400 ,1000 , 1900
Laikipia,<1000 ,<500 , 1100
Lamu,<200 ,<200 , <500
Machakos,3000 ,2300 , 4200
Makueni,1900 ,1300 , 2700
Mandera,<200 ,<100 , <200
Marsabit,<500 ,<200 , <1000
Meru,2700 ,1900 , 3600
Migori,9000 ,7400 , 11 000
Mombasa,5100 ,3900 , 6900
Murang'a,1200 ,<1000 , 1600
Nairobi (County),12 000 ,10 000 , 16 000
Nakuru,5000 ,3300 , 7300
Nandi,1700 ,1200 , 2400
Narok,2100 ,1400 , 3100
Nyamira,1400 ,<1000 , 1800
Nyandarua,<1000 ,<1000 , 1000
Nyeri,1400 ,1000 , 1800
Samburu,<500 ,<200 , <500
Siaya,12 000 ,9100 , 15 000
Taita-Taveta,<1000 ,<500 , <1000
Tana River,<200 ,<100 , <500
Tharaka-Nithi,<1000 ,<500 , <1000
Trans-Nzoia,2600 ,1900 , 3600
Turkana,2200 ,1500 , 3100
Uasin Gishu,4600 ,3200 , 6300
Vihiga,1700 ,1200 , 2300
Wajir,<200 ,<100 , <200
West Pokot,<500 ,<500 , <1000
National,180 000 ,120 000,240 000
