States,2019,2019_lower, 2019_upper
Balaka,9.8 ,8.9 , 10.8
Blantyre,13.4 ,12.0 , 14.8
Blantyre City,15.5 ,14.7 , 16.4
Chikwawa,9.7 ,8.7 , 10.7
Chiradzulu,12.5 ,11.3 , 13.6
Chitipa,3.5 ,2.9 , 4.2
Dedza,5.0 ,4.5 , 5.5
Dowa,3.7 ,3.2 , 4.2
Karonga,7.1 ,6.5 , 7.7
Kasungu,4.5 ,3.9 , 5.1
Likoma,7.4 ,6.4 , 8.3
Lilongwe,4.3 ,3.9 , 4.9
Lilongwe City,10.2 ,9.6 , 10.9
Machinga,8.8 ,7.9 , 9.8
Mangochi,11.6 ,10.7 , 12.5
Mchinji,5.8 ,5.2 , 6.4
Mulanje,15.0 ,14.1 , 15.8
Mwanza,7.3 ,6.3 , 8.5
Mzimba North,6.4 ,5.5 , 7.4
Mzimba South,4.9 ,4.4 , 5.5
Mzuzu City,11.1 ,9.7 , 12.6
Neno,8.9 ,7.9 , 10.0
Nkhatabay,7.0 ,6.2 , 7.9
Nkhotakota,6.6 ,5.8 , 7.4
Nsanje,12.0 ,10.8 , 13.3
Ntcheu,7.9 ,7.2 , 8.6
Ntchisi,3.1 ,2.7 , 3.6
Phalombe,12.7 ,11.8 , 13.7
Rumphi,6.0 ,5.2 , 6.8
Salima,6.0 ,5.3 , 6.8
Thyolo,14.1 ,13.1 , 15.1
Zomba,12.6 ,11.7 , 13.6
Zomba City,16.9 ,14.7 , 19.3
National,8.9 ,7.6,9.6
