States,2019,2019_lower, 2019_upper
Balaka,7.4 ,6.5 , 8.3
Blantyre,10.3 ,9.1 , 11.6
Blantyre City,12.4 ,11.6 , 13.3
Chikwawa,7.9 ,7.1 , 8.9
Chiradzulu,9.3 ,8.3 , 10.4
Chitipa,2.6 ,2.1 , 3.2
Dedza,3.9 ,3.5 , 4.4
Dowa,3.0 ,2.6 , 3.5
Karonga,5.8 ,5.3 , 6.3
Kasungu,3.6 ,3.1 , 4.1
Likoma,5.9 ,5.1 , 6.8
Lilongwe,3.5 ,3.1 , 3.9
Lilongwe City,7.9 ,7.4 , 8.4
Machinga,6.3 ,5.6 , 7.1
Mangochi,8.4 ,7.7 , 9.1
Mchinji,4.9 ,4.4 , 5.4
Mulanje,11.0 ,10.3 , 11.7
Mwanza,5.5 ,4.6 , 6.5
Mzimba North,5.0 ,4.2 , 6.0
Mzimba South,4.5 ,4.0 , 5.1
Mzuzu City,9.2 ,7.9 , 10.7
Neno,7.3 ,6.5 , 8.3
Nkhatabay,5.9 ,5.1 , 6.8
Nkhotakota,5.3 ,4.7 , 6.0
Nsanje,9.5 ,8.4 , 10.6
Ntcheu,6.2 ,5.7 , 6.8
Ntchisi,2.5 ,2.1 , 3.0
Phalombe,11.3 ,10.3 , 12.3
Rumphi,4.9 ,4.2 , 5.6
Salima,4.5 ,3.9 , 5.2
Thyolo,12.1 ,11.2 , 13.1
Zomba,9.8 ,8.9 , 10.6
Zomba City,13.6 ,11.6 , 15.9
National,7.0 ,5.3,7.6
