States,2019,2019_lower, 2019_upper
Balaka,4.8 ,4.2 , 5.4
Blantyre,6.6 ,5.8 , 7.5
Blantyre City,7.0 ,6.5 , 7.6
Chikwawa,4.5 ,4.0 , 5.1
Chiradzulu,5.8 ,5.1 , 6.5
Chitipa,1.6 ,1.3 , 2.0
Dedza,2.2 ,2.0 , 2.6
Dowa,1.6 ,1.4 , 1.9
Karonga,3.1 ,2.7 , 3.5
Kasungu,2.0 ,1.8 , 2.4
Likoma,3.6 ,3.0 , 4.1
Lilongwe,1.9 ,1.7 , 2.2
Lilongwe City,4.2 ,3.8 , 4.6
Machinga,4.2 ,3.6 , 4.7
Mangochi,5.8 ,5.2 , 6.4
Mchinji,2.6 ,2.3 , 3.0
Mulanje,7.3 ,6.6 , 8.0
Mwanza,3.4 ,2.8 , 4.0
Mzimba North,2.9 ,2.5 , 3.4
Mzimba South,2.1 ,1.9 , 2.5
Mzuzu City,4.9 ,4.2 , 5.7
Neno,4.0 ,3.4 , 4.5
Nkhatabay,3.2 ,2.7 , 3.7
Nkhotakota,3.0 ,2.6 , 3.4
Nsanje,5.7 ,5.0 , 6.5
Ntcheu,3.7 ,3.3 , 4.2
Ntchisi,1.4 ,1.2 , 1.6
Phalombe,5.5 ,4.9 , 6.1
Rumphi,2.7 ,2.3 , 3.1
Salima,2.7 ,2.3 , 3.1
Thyolo,6.7 ,6.0 , 7.4
Zomba,6.0 ,5.4 , 6.6
Zomba City,8.1 ,6.8 , 9.6
National,4.2 ,2.2,5.8
