States,2019,2019_lower, 2019_upper
Balaka,4.07 ,3.61 , <0.01
Blantyre,5.49 ,4.88 , <0.01
Blantyre City,6.66 ,6.22 , <0.01
Chikwawa,4.29 ,3.81 , <0.01
Chiradzulu,4.18 ,3.66 , <0.01
Chitipa,1.26 ,0.98 , <0.01
Dedza,2.13 ,1.82 , <0.01
Dowa,1.67 ,1.43 , <0.01
Karonga,2.64 ,2.23 , <0.01
Kasungu,2.07 ,1.78 , <0.01
Likoma,2.87 ,2.19 , <0.01
Lilongwe,2.05 ,1.78 , <0.01
Lilongwe City,3.33 ,2.96 , <0.01
Machinga,3.75 ,3.32 , <0.01
Mangochi,5.43 ,4.96 , <0.01
Mchinji,2.46 ,2.14 , <0.01
Mulanje,5.03 ,4.60 , <0.01
Mwanza,2.89 ,2.36 , <0.01
Mzimba North,2.63 ,2.22 , <0.01
Mzimba South,1.82 ,1.44 , <0.01
Mzuzu City,4.91 ,4.28 , <0.01
Neno,2.91 ,2.41 , <0.01
Nkhatabay,2.66 ,2.07 , <0.01
Nkhotakota,3.19 ,2.82 , <0.01
Nsanje,4.08 ,3.51 , <0.01
Ntcheu,3.16 ,2.75 , <0.01
Ntchisi,1.41 ,1.16 , <0.01
Phalombe,4.18 ,3.51 , <0.01
Rumphi,2.58 ,2.17 , <0.01
Salima,2.27 ,1.91 , <0.01
Thyolo,5.39 ,4.94 , <0.01
Zomba,5.21 ,4.74 , <0.01
Zomba City,6.80 ,5.74 , <0.01
National,3.71 ,3.13,4.23
