States,2019,2019_lower, 2019_upper
Balaka,1.21 ,1.08 , <0.01
Blantyre,1.64 ,1.46 , <0.01
Blantyre City,2.17 ,2.03 , <0.01
Chikwawa,1.29 ,1.15 , <0.01
Chiradzulu,1.22 ,1.07 , <0.01
Chitipa,0.40 ,0.31 , <0.01
Dedza,0.64 ,0.54 , <0.01
Dowa,0.52 ,0.45 , <0.01
Karonga,0.82 ,0.69 , <0.01
Kasungu,0.66 ,0.57 , <0.01
Likoma,0.87 ,0.66 , <0.01
Lilongwe,0.63 ,0.55 , <0.01
Lilongwe City,1.11 ,0.98 , <0.01
Machinga,1.10 ,0.98 , <0.01
Mangochi,1.61 ,1.47 , <0.01
Mchinji,0.77 ,0.67 , <0.01
Mulanje,1.45 ,1.32 , <0.01
Mwanza,0.88 ,0.72 , <0.01
Mzimba North,0.82 ,0.69 , <0.01
Mzimba South,0.57 ,0.45 , <0.01
Mzuzu City,1.60 ,1.40 , <0.01
Neno,0.89 ,0.74 , <0.01
Nkhatabay,0.83 ,0.65 , <0.01
Nkhotakota,0.99 ,0.88 , <0.01
Nsanje,1.17 ,1.01 , <0.01
Ntcheu,0.95 ,0.82 , <0.01
Ntchisi,0.44 ,0.36 , <0.01
Phalombe,1.20 ,1.01 , <0.01
Rumphi,0.82 ,0.69 , <0.01
Salima,0.69 ,0.58 , <0.01
Thyolo,1.58 ,1.44 , <0.01
Zomba,1.53 ,1.39 , <0.01
Zomba City,2.25 ,1.90 , <0.01
National,1.08 ,0.49,2.01
