States,2019,2019_lower, 2019_upper
Balaka,1.87 ,1.66 , <0.01
Blantyre,2.72 ,2.44 , <0.01
Blantyre City,3.76 ,3.53 , <0.01
Chikwawa,2.05 ,1.82 , <0.01
Chiradzulu,2.07 ,1.81 , <0.01
Chitipa,0.63 ,0.49 , <0.01
Dedza,1.05 ,0.90 , <0.01
Dowa,0.85 ,0.73 , <0.01
Karonga,1.30 ,1.11 , <0.01
Kasungu,1.03 ,0.88 , <0.01
Likoma,1.62 ,1.24 , <0.01
Lilongwe,1.02 ,0.89 , <0.01
Lilongwe City,1.92 ,1.72 , <0.01
Machinga,1.64 ,1.46 , <0.01
Mangochi,2.36 ,2.17 , <0.01
Mchinji,1.21 ,1.06 , <0.01
Mulanje,2.38 ,2.18 , <0.01
Mwanza,1.45 ,1.19 , <0.01
Mzimba North,1.29 ,1.09 , <0.01
Mzimba South,0.87 ,0.69 , <0.01
Mzuzu City,2.80 ,2.46 , <0.01
Neno,1.38 ,1.15 , <0.01
Nkhatabay,1.29 ,1.01 , <0.01
Nkhotakota,1.53 ,1.36 , <0.01
Nsanje,1.84 ,1.59 , <0.01
Ntcheu,1.55 ,1.35 , <0.01
Ntchisi,0.70 ,0.57 , <0.01
Phalombe,1.92 ,1.62 , <0.01
Rumphi,1.27 ,1.07 , <0.01
Salima,1.07 ,0.91 , <0.01
Thyolo,2.59 ,2.39 , <0.01
Zomba,2.43 ,2.22 , <0.01
Zomba City,3.77 ,3.23 , <0.01
National,1.94 ,1.62,2.25
