States,2019,2019_lower, 2019_upper
Balaka,1.59 ,1.42 , <0.01
Blantyre,2.36 ,2.11 , <0.01
Blantyre City,3.33 ,3.11 , <0.01
Chikwawa,1.75 ,1.56 , <0.01
Chiradzulu,1.80 ,1.58 , <0.01
Chitipa,0.54 ,0.42 , <0.01
Dedza,0.93 ,0.80 , <0.01
Dowa,0.74 ,0.64 , <0.01
Karonga,1.13 ,0.95 , <0.01
Kasungu,0.90 ,0.77 , <0.01
Likoma,1.45 ,1.11 , <0.01
Lilongwe,0.90 ,0.78 , <0.01
Lilongwe City,1.74 ,1.55 , <0.01
Machinga,1.40 ,1.24 , <0.01
Mangochi,2.03 ,1.86 , <0.01
Mchinji,1.06 ,0.93 , <0.01
Mulanje,2.08 ,1.90 , <0.01
Mwanza,1.24 ,1.02 , <0.01
Mzimba North,1.12 ,0.95 , <0.01
Mzimba South,0.75 ,0.59 , <0.01
Mzuzu City,2.49 ,2.18 , <0.01
Neno,1.19 ,0.98 , <0.01
Nkhatabay,1.10 ,0.86 , <0.01
Nkhotakota,1.33 ,1.18 , <0.01
Nsanje,1.58 ,1.36 , <0.01
Ntcheu,1.37 ,1.19 , <0.01
Ntchisi,0.61 ,0.50 , <0.01
Phalombe,1.62 ,1.37 , <0.01
Rumphi,1.10 ,0.93 , <0.01
Salima,0.94 ,0.79 , <0.01
Thyolo,2.21 ,2.03 , <0.01
Zomba,2.08 ,1.90 , <0.01
Zomba City,3.32 ,2.84 , <0.01
National,1.71 ,1.45,2.04
