States,2019,2019_lower, 2019_upper
Balaka,1.15 ,1.03 , <0.01
Blantyre,1.56 ,1.39 , <0.01
Blantyre City,2.07 ,1.93 , <0.01
Chikwawa,1.23 ,1.10 , <0.01
Chiradzulu,1.16 ,1.01 , <0.01
Chitipa,0.38 ,0.30 , <0.01
Dedza,0.60 ,0.52 , <0.01
Dowa,0.49 ,0.42 , <0.01
Karonga,0.79 ,0.67 , <0.01
Kasungu,0.63 ,0.54 , <0.01
Likoma,0.84 ,0.64 , <0.01
Lilongwe,0.59 ,0.52 , <0.01
Lilongwe City,1.05 ,0.93 , <0.01
Machinga,1.05 ,0.93 , <0.01
Mangochi,1.54 ,1.41 , <0.01
Mchinji,0.74 ,0.64 , <0.01
Mulanje,1.37 ,1.25 , <0.01
Mwanza,0.84 ,0.69 , <0.01
Mzimba North,0.79 ,0.67 , <0.01
Mzimba South,0.55 ,0.43 , <0.01
Mzuzu City,1.54 ,1.35 , <0.01
Neno,0.86 ,0.71 , <0.01
Nkhatabay,0.80 ,0.63 , <0.01
Nkhotakota,0.94 ,0.83 , <0.01
Nsanje,1.12 ,0.96 , <0.01
Ntcheu,0.89 ,0.78 , <0.01
Ntchisi,0.41 ,0.34 , <0.01
Phalombe,1.16 ,0.97 , <0.01
Rumphi,0.78 ,0.66 , <0.01
Salima,0.65 ,0.55 , <0.01
Thyolo,1.50 ,1.37 , <0.01
Zomba,1.45 ,1.32 , <0.01
Zomba City,2.15 ,1.83 , <0.01
National,1.03 ,0.45,1.70
