States,2019,2019_lower, 2019_upper
Balaka,<1000 ,<1000 , <1000
Blantyre,1200 ,1100 , 1300
Blantyre City,2800 ,2700 , 3000
Chikwawa,1200 ,1000 , 1300
Chiradzulu,<1000 ,<1000 , <1000
Chitipa,<200 ,<200 , <200
Dedza,<1000 ,<1000 , 1000
Dowa,<1000 ,<1000 , <1000
Karonga,<500 ,<500 , <1000
Kasungu,<1000 ,<1000 , 1000
Likoma,<100 ,<100 , <100
Lilongwe,1700 ,1500 , 2000
Lilongwe City,1900 ,1700 , 2100
Machinga,1200 ,1100 , 1400
Mangochi,2700 ,2500 , 2900
Mchinji,<1000 ,<1000 , <1000
Mulanje,1600 ,1400 , 1700
Mwanza,<200 ,<200 , <500
Mzimba North,<500 ,<500 , <500
Mzimba South,<1000 ,<500 , <1000
Mzuzu City,<1000 ,<1000 , <1000
Neno,<200 ,<200 , <500
Nkhatabay,<500 ,<500 , <500
Nkhotakota,<1000 ,<1000 , <1000
Nsanje,<1000 ,<500 , <1000
Ntcheu,1000 ,<1000 , 1200
Ntchisi,<500 ,<200 , <500
Phalombe,<1000 ,<1000 , <1000
Rumphi,<500 ,<500 , <500
Salima,<1000 ,<500 , <1000
Thyolo,1800 ,1600 , 1900
Zomba,1800 ,1600 , 1900
Zomba City,<500 ,<500 , <500
National,33 000 ,28 000,38 000
