States,2019,2019_lower, 2019_upper
Balaka,<500 ,<500 , <500
Blantyre,<500 ,<500 , <1000
Blantyre City,1300 ,1200 , 1400
Chikwawa,<500 ,<500 , <1000
Chiradzulu,<500 ,<500 , <500
Chitipa,<100 ,<100 , <100
Dedza,<500 ,<500 , <500
Dowa,<500 ,<500 , <500
Karonga,<200 ,<200 , <500
Kasungu,<500 ,<500 , <500
Likoma,<100 ,<100 , <100
Lilongwe,<1000 ,<1000 , <1000
Lilongwe City,<1000 ,<1000 , <1000
Machinga,<500 ,<500 , <1000
Mangochi,1100 ,1000 , 1200
Mchinji,<500 ,<500 , <500
Mulanje,<1000 ,<1000 , <1000
Mwanza,<100 ,<100 , <100
Mzimba North,<200 ,<200 , <200
Mzimba South,<500 ,<200 , <500
Mzuzu City,<500 ,<500 , <500
Neno,<100 ,<100 , <100
Nkhatabay,<200 ,<200 , <200
Nkhotakota,<500 ,<500 , <500
Nsanje,<500 ,<200 , <500
Ntcheu,<500 ,<500 , <500
Ntchisi,<100 ,<100 , <200
Phalombe,<500 ,<500 , <500
Rumphi,<200 ,<200 , <200
Salima,<500 ,<200 , <500
Thyolo,<1000 ,<1000 , <1000
Zomba,<1000 ,<1000 , <1000
Zomba City,<200 ,<200 , <200
National,13 000 ,11 000,14 000
