States,2019,2019_lower, 2019_upper
Balaka,6100 ,5400 , 6800
Blantyre,8800 ,7700 , 9900
Blantyre City,14 000 ,13 000 , 15 000
Chikwawa,7400 ,6500 , 8400
Chiradzulu,7100 ,6300 , 8000
Chitipa,1300 ,1000 , 1600
Dedza,6100 ,5400 , 6900
Dowa,4300 ,3700 , 5000
Karonga,3800 ,3400 , 4200
Kasungu,5400 ,4700 , 6200
Likoma,<200 ,<200 , <200
Lilongwe,10 000 ,9000 , 12 000
Lilongwe City,11 000 ,10 000 , 12 000
Machinga,8200 ,7200 , 9300
Mangochi,17 000 ,15 000 , 19 000
Mchinji,4900 ,4400 , 5500
Mulanje,15 000 ,13 000 , 16 000
Mwanza,1300 ,1100 , 1500
Mzimba North,2800 ,2300 , 3300
Mzimba South,5500 ,4800 , 6200
Mzuzu City,2900 ,2600 , 3400
Neno,1800 ,1500 , 2000
Nkhatabay,3200 ,2800 , 3700
Nkhotakota,3500 ,3000 , 4000
Nsanje,5100 ,4500 , 5700
Ntcheu,8000 ,7100 , 8900
Ntchisi,1400 ,1200 , 1700
Phalombe,7200 ,6600 , 8000
Rumphi,2100 ,1800 , 2400
Salima,3800 ,3200 , 4300
Thyolo,16 000 ,15 000 , 18 000
Zomba,13 000 ,12 000 , 15 000
Zomba City,2000 ,1800 , 2400
National,200 000 ,120 000,330 000
