States,2019,2019_lower, 2019_upper
Balaka,3400 ,3000 , 3800
Blantyre,5100 ,4500 , 5800
Blantyre City,10 000 ,9400 , 11 000
Chikwawa,4200 ,3800 , 4700
Chiradzulu,3400 ,3000 , 3900
Chitipa,<1000 ,<1000 , <1000
Dedza,3100 ,2800 , 3500
Dowa,2100 ,1800 , 2400
Karonga,2000 ,1800 , 2300
Kasungu,2900 ,2500 , 3300
Likoma,<100 ,<100 , <200
Lilongwe,5300 ,4700 , 5900
Lilongwe City,7500 ,6900 , 8100
Machinga,4800 ,4200 , 5400
Mangochi,10 000 ,9500 , 11 000
Mchinji,2700 ,2400 , 3000
Mulanje,8200 ,7600 , 8900
Mwanza,<1000 ,<1000 , <1000
Mzimba North,1300 ,1100 , 1600
Mzimba South,2500 ,2200 , 2900
Mzuzu City,2100 ,1800 , 2400
Neno,<1000 ,<1000 , 1000
Nkhatabay,1700 ,1400 , 1900
Nkhotakota,2000 ,1800 , 2300
Nsanje,2800 ,2500 , 3200
Ntcheu,4200 ,3800 , 4600
Ntchisi,<1000 ,<1000 , <1000
Phalombe,4300 ,3900 , 4800
Rumphi,1000 ,<1000 , 1200
Salima,2100 ,1800 , 2400
Thyolo,8500 ,7700 , 9200
Zomba,7400 ,6700 , 8100
Zomba City,1500 ,1300 , 1800
National,120 000 ,77 000,160 000
