States,2019,2019_lower, 2019_upper
Balaka,13 000 ,12 000 , 15 000
Blantyre,20 000 ,18 000 , 22 000
Blantyre City,45 000 ,43 000 , 48 000
Chikwawa,16 000 ,15 000 , 18 000
Chiradzulu,15 000 ,13 000 , 16 000
Chitipa,2600 ,2200 , 3100
Dedza,13 000 ,12 000 , 15 000
Dowa,8700 ,7500 , 10 000
Karonga,8000 ,7200 , 8800
Kasungu,12 000 ,10 000 , 13 000
Likoma,<500 ,<500 , <500
Lilongwe,22 000 ,19 000 , 25 000
Lilongwe City,39 000 ,36 000 , 41 000
Machinga,20 000 ,18 000 , 22 000
Mangochi,41 000 ,38 000 , 44 000
Mchinji,10 000 ,9100 , 12 000
Mulanje,33 000 ,31 000 , 35 000
Mwanza,3200 ,2800 , 3700
Mzimba North,5400 ,4600 , 6300
Mzimba South,8700 ,7700 , 9800
Mzuzu City,9100 ,7800 , 10 000
Neno,3600 ,3200 , 4100
Nkhatabay,5800 ,5100 , 6500
Nkhotakota,7700 ,6800 , 8700
Nsanje,11 000 ,9400 , 12 000
Ntcheu,16 000 ,15 000 , 18 000
Ntchisi,3000 ,2600 , 3500
Phalombe,15 000 ,14 000 , 16 000
Rumphi,4100 ,3500 , 4700
Salima,9000 ,7900 , 10 000
Thyolo,31 000 ,28 000 , 33 000
Zomba,29 000 ,27 000 , 32 000
Zomba City,6400 ,5500 , 7300
National,490 000 ,440 000,530 000
