States,2019,2019_lower, 2019_upper
Balaka,18 000 ,16 000 , 20 000
Blantyre,26 000 ,23 000 , 29 000
Blantyre City,55 000 ,52 000 , 58 000
Chikwawa,21 000 ,19 000 , 24 000
Chiradzulu,20 000 ,18 000 , 22 000
Chitipa,3400 ,2800 , 4100
Dedza,17 000 ,15 000 , 19 000
Dowa,11 000 ,9700 , 13 000
Karonga,10 000 ,9500 , 12 000
Kasungu,15 000 ,13 000 , 17 000
Likoma,<500 ,<500 , <1000
Lilongwe,29 000 ,25 000 , 32 000
Lilongwe City,46 000 ,43 000 , 50 000
Machinga,26 000 ,23 000 , 29 000
Mangochi,54 000 ,49 000 , 58 000
Mchinji,13 000 ,12 000 , 15 000
Mulanje,44 000 ,42 000 , 47 000
Mwanza,4100 ,3500 , 4700
Mzimba North,7200 ,6100 , 8400
Mzimba South,12 000 ,11 000 , 14 000
Mzuzu City,11 000 ,9500 , 13 000
Neno,4800 ,4200 , 5400
Nkhatabay,7800 ,6900 , 8800
Nkhotakota,10 000 ,8800 , 11 000
Nsanje,14 000 ,13 000 , 16 000
Ntcheu,22 000 ,19 000 , 24 000
Ntchisi,3900 ,3300 , 4600
Phalombe,20 000 ,19 000 , 22 000
Rumphi,5400 ,4600 , 6200
Salima,12 000 ,10 000 , 13 000
Thyolo,42 000 ,39 000 , 45 000
Zomba,39 000 ,35 000 , 42 000
Zomba City,7800 ,6800 , 8900
National,630 000 ,570 000,670 000
