States,2019,2019_lower, 2019_upper
Balaka,2300 ,2000 , 2600
Blantyre,3400 ,3000 , 3900
Blantyre City,6700 ,6200 , 7200
Chikwawa,2700 ,2400 , 3100
Chiradzulu,2300 ,2000 , 2600
Chitipa,<500 ,<500 , <1000
Dedza,2100 ,1800 , 2400
Dowa,1400 ,1200 , 1600
Karonga,1300 ,1200 , 1500
Kasungu,1900 ,1600 , 2200
Likoma,<100 ,<100 , <100
Lilongwe,3500 ,3100 , 4000
Lilongwe City,5000 ,4500 , 5500
Machinga,3300 ,2900 , 3700
Mangochi,7200 ,6500 , 7900
Mchinji,1700 ,1500 , 1900
Mulanje,5600 ,5100 , 6200
Mwanza,<1000 ,<500 , <1000
Mzimba North,<1000 ,<1000 , 1000
Mzimba South,1600 ,1400 , 1800
Mzuzu City,1400 ,1200 , 1600
Neno,<1000 ,<1000 , <1000
Nkhatabay,1000 ,<1000 , 1200
Nkhotakota,1300 ,1100 , 1500
Nsanje,1800 ,1600 , 2100
Ntcheu,2700 ,2400 , 3100
Ntchisi,<500 ,<500 , <1000
Phalombe,2600 ,2300 , 2900
Rumphi,<1000 ,<1000 , <1000
Salima,1400 ,1200 , 1600
Thyolo,5400 ,4900 , 5900
Zomba,4900 ,4400 , 5400
Zomba City,<1000 ,<1000 , 1200
National,80 000 ,42 000,110 000
