States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,0.13 ,0.03 , 0.31,0.18 ,0.04 , 0.40,0.23 ,0.06 , 0.51,0.31 ,0.09 , 0.64,0.40 ,0.13 , 0.78,0.51 ,0.19 , 0.94,0.63 ,0.26 , 1.14,0.77 ,0.34 , 1.34,0.92 ,0.44 , 1.56,1.08 ,0.59 , 1.80,1.26 ,0.72 , 1.99,1.45 ,0.87 , 2.24,1.64 ,1.02 , 2.47,1.84 ,1.18 , 2.75,2.04 ,1.34 , 2.98,2.20 ,1.49 , 3.22,2.32 ,1.57 , 3.36,2.36 ,1.59 , 3.36,2.15 ,1.47 , 3.03,1.90 ,1.27 , 2.72,1.94 ,1.25 , 2.81,2.02 ,1.28 , 2.93,2.19 ,1.41 , 3.15,2.40 ,1.54 , 3.43,2.31 ,1.48 , 3.28,2.12 ,1.36 , 3.03,1.93 ,1.22 , 2.81,1.85 ,1.15 , 2.80,1.87 ,1.14 , 2.89,1.86 ,1.12 , 2.90
Cidade de Maputo,0.13 ,0.06 , 0.24,0.18 ,0.09 , 0.33,0.25 ,0.12 , 0.43,0.34 ,0.19 , 0.59,0.47 ,0.26 , 0.78,0.63 ,0.38 , 1.03,0.84 ,0.52 , 1.35,1.08 ,0.68 , 1.71,1.38 ,0.89 , 2.13,1.72 ,1.16 , 2.61,2.11 ,1.42 , 3.10,2.55 ,1.76 , 3.65,3.01 ,2.17 , 4.21,3.37 ,2.49 , 4.58,3.19 ,2.31 , 4.32,3.18 ,2.28 , 4.25,2.76 ,1.96 , 3.65,2.25 ,1.60 , 2.99,2.05 ,1.49 , 2.68,2.12 ,1.61 , 2.75,1.95 ,1.45 , 2.60,1.82 ,1.36 , 2.46,1.52 ,1.15 , 2.01,1.34 ,1.00 , 1.87,1.41 ,1.03 , 1.86,1.31 ,1.01 , 1.64,1.34 ,1.06 , 1.59,1.24 ,0.95 , 1.51,1.15 ,0.91 , 1.40,1.10 ,0.84 , 1.41
Gaza,0.06 ,<0.01 , 0.40,0.10 ,0.01 , 0.56,0.15 ,0.02 , 0.77,0.24 ,0.05 , 1.05,0.39 ,0.09 , 1.41,0.59 ,0.17 , 1.85,0.87 ,0.32 , 2.32,1.24 ,0.54 , 2.84,1.71 ,0.83 , 3.35,2.26 ,1.22 , 3.91,2.89 ,1.71 , 4.61,3.58 ,2.22 , 5.45,4.29 ,2.78 , 6.12,4.99 ,3.38 , 7.16,5.50 ,3.89 , 7.66,6.06 ,4.51 , 8.22,6.42 ,4.93 , 8.63,6.13 ,4.72 , 8.03,5.15 ,3.91 , 6.71,4.71 ,3.61 , 6.12,4.72 ,3.63 , 6.09,4.41 ,3.39 , 5.66,4.16 ,3.26 , 5.19,3.50 ,2.75 , 4.30,3.21 ,2.47 , 3.95,3.37 ,2.65 , 4.14,3.19 ,2.56 , 3.91,2.93 ,2.38 , 3.58,2.66 ,2.11 , 3.28,2.45 ,1.89 , 3.06
Inhambane,0.16 ,0.03 , 0.36,0.21 ,0.05 , 0.45,0.27 ,0.08 , 0.56,0.35 ,0.11 , 0.70,0.44 ,0.16 , 0.86,0.55 ,0.22 , 1.04,0.67 ,0.29 , 1.24,0.80 ,0.38 , 1.40,0.94 ,0.47 , 1.57,1.10 ,0.55 , 1.79,1.27 ,0.71 , 2.01,1.44 ,0.85 , 2.24,1.63 ,1.02 , 2.47,1.80 ,1.16 , 2.64,1.94 ,1.29 , 2.77,2.11 ,1.44 , 2.95,2.22 ,1.57 , 3.05,2.12 ,1.50 , 2.92,1.75 ,1.23 , 2.47,1.59 ,1.07 , 2.33,1.68 ,1.14 , 2.44,1.61 ,1.06 , 2.29,1.57 ,1.00 , 2.18,1.75 ,1.12 , 2.43,1.78 ,1.18 , 2.43,1.48 ,0.98 , 2.06,1.43 ,0.99 , 2.02,1.41 ,1.01 , 2.00,1.20 ,0.85 , 1.82,1.17 ,0.82 , 1.78
Manica,0.32 ,0.08 , 0.71,0.47 ,0.15 , 0.96,0.66 ,0.25 , 1.28,0.91 ,0.41 , 1.68,1.22 ,0.63 , 2.08,1.58 ,0.93 , 2.54,1.97 ,1.26 , 3.09,2.38 ,1.57 , 3.62,2.81 ,1.89 , 4.12,3.24 ,2.21 , 4.62,3.66 ,2.56 , 5.10,4.06 ,2.90 , 5.59,4.43 ,3.20 , 6.03,4.74 ,3.50 , 6.44,4.98 ,3.68 , 6.65,5.07 ,3.77 , 6.65,5.00 ,3.78 , 6.46,4.59 ,3.45 , 5.89,3.92 ,2.94 , 5.04,3.47 ,2.54 , 4.55,3.54 ,2.60 , 4.57,3.55 ,2.63 , 4.53,3.48 ,2.63 , 4.43,3.34 ,2.49 , 4.24,2.99 ,2.23 , 3.83,2.16 ,1.60 , 2.78,1.68 ,1.17 , 2.28,1.52 ,1.08 , 2.08,1.39 ,1.02 , 1.90,1.21 ,0.82 , 1.74
Maputo,0.16 ,0.06 , 0.49,0.23 ,0.09 , 0.66,0.34 ,0.14 , 0.86,0.48 ,0.21 , 1.11,0.67 ,0.31 , 1.43,0.90 ,0.45 , 1.84,1.18 ,0.60 , 2.22,1.51 ,0.82 , 2.65,1.90 ,1.08 , 3.07,2.33 ,1.40 , 3.68,2.81 ,1.78 , 4.27,3.33 ,2.22 , 4.84,3.87 ,2.71 , 5.52,4.42 ,3.20 , 6.11,4.92 ,3.68 , 6.80,5.41 ,4.14 , 7.32,5.79 ,4.49 , 7.58,5.76 ,4.48 , 7.30,5.25 ,4.15 , 6.52,4.94 ,3.94 , 6.15,4.90 ,3.86 , 6.07,4.74 ,3.69 , 5.86,4.73 ,3.66 , 5.82,5.26 ,4.15 , 6.41,5.75 ,4.65 , 6.93,5.34 ,4.32 , 6.30,5.28 ,4.19 , 6.26,5.14 ,4.17 , 6.16,4.96 ,4.03 , 5.95,4.61 ,3.67 , 5.63
Nampula,0.07 ,0.01 , 0.18,0.10 ,0.02 , 0.22,0.13 ,0.03 , 0.26,0.16 ,0.04 , 0.32,0.20 ,0.06 , 0.39,0.25 ,0.08 , 0.47,0.30 ,0.12 , 0.56,0.36 ,0.16 , 0.63,0.42 ,0.21 , 0.72,0.49 ,0.26 , 0.80,0.56 ,0.31 , 0.88,0.64 ,0.39 , 0.99,0.72 ,0.46 , 1.10,0.80 ,0.54 , 1.22,0.88 ,0.59 , 1.34,0.95 ,0.64 , 1.40,1.00 ,0.67 , 1.47,0.97 ,0.66 , 1.43,0.89 ,0.60 , 1.33,0.82 ,0.55 , 1.25,0.88 ,0.59 , 1.30,0.89 ,0.59 , 1.28,0.91 ,0.61 , 1.29,1.01 ,0.68 , 1.43,0.97 ,0.66 , 1.40,0.95 ,0.61 , 1.39,0.91 ,0.59 , 1.32,0.86 ,0.54 , 1.27,0.83 ,0.53 , 1.21,0.81 ,0.50 , 1.20
Niassa,0.22 ,0.04 , 0.58,0.29 ,0.06 , 0.74,0.37 ,0.09 , 0.93,0.48 ,0.13 , 1.16,0.59 ,0.19 , 1.40,0.72 ,0.27 , 1.60,0.85 ,0.35 , 1.81,0.98 ,0.44 , 1.96,1.11 ,0.52 , 2.13,1.24 ,0.63 , 2.29,1.37 ,0.72 , 2.38,1.49 ,0.83 , 2.53,1.60 ,0.93 , 2.62,1.70 ,1.03 , 2.68,1.78 ,1.12 , 2.71,1.82 ,1.17 , 2.73,1.81 ,1.17 , 2.70,1.74 ,1.13 , 2.61,1.58 ,1.02 , 2.35,1.43 ,0.91 , 2.14,1.37 ,0.86 , 2.04,1.31 ,0.82 , 1.95,1.21 ,0.74 , 1.78,0.96 ,0.59 , 1.49,0.87 ,0.49 , 1.36,0.96 ,0.52 , 1.50,1.09 ,0.60 , 1.71,1.16 ,0.67 , 1.82,1.12 ,0.65 , 1.80,1.01 ,0.59 , 1.69
Sofala,0.44 ,0.16 , 0.84,0.60 ,0.24 , 1.09,0.81 ,0.35 , 1.41,1.06 ,0.52 , 1.74,1.36 ,0.72 , 2.11,1.68 ,0.95 , 2.55,2.03 ,1.20 , 3.01,2.40 ,1.47 , 3.50,2.78 ,1.73 , 4.00,3.17 ,2.05 , 4.48,3.55 ,2.36 , 4.96,3.93 ,2.71 , 5.40,4.27 ,3.06 , 5.80,4.57 ,3.38 , 6.21,4.80 ,3.53 , 6.47,4.90 ,3.57 , 6.50,4.83 ,3.53 , 6.29,4.41 ,3.18 , 5.72,3.72 ,2.67 , 4.80,3.27 ,2.33 , 4.26,3.42 ,2.45 , 4.47,3.45 ,2.48 , 4.47,3.29 ,2.38 , 4.21,2.95 ,2.14 , 3.79,2.67 ,1.96 , 3.41,2.41 ,1.77 , 3.11,2.06 ,1.51 , 2.68,1.95 ,1.39 , 2.58,1.94 ,1.35 , 2.57,1.94 ,1.29 , 2.60
Tete,0.70 ,0.30 , 1.52,0.92 ,0.42 , 1.85,1.17 ,0.56 , 2.19,1.44 ,0.75 , 2.52,1.72 ,0.94 , 2.90,2.01 ,1.16 , 3.33,2.28 ,1.36 , 3.65,2.53 ,1.51 , 3.91,2.75 ,1.67 , 4.09,2.94 ,1.85 , 4.30,3.10 ,2.03 , 4.45,3.22 ,2.15 , 4.53,3.31 ,2.27 , 4.52,3.35 ,2.38 , 4.44,3.34 ,2.42 , 4.41,3.24 ,2.37 , 4.20,3.04 ,2.22 , 3.89,2.65 ,1.94 , 3.43,2.20 ,1.58 , 2.91,1.92 ,1.36 , 2.56,1.89 ,1.34 , 2.52,1.77 ,1.25 , 2.39,1.63 ,1.15 , 2.23,1.63 ,1.15 , 2.24,1.33 ,0.99 , 1.78,0.93 ,0.67 , 1.29,0.70 ,0.48 , 1.04,0.62 ,0.42 , 0.95,0.60 ,0.41 , 0.90,0.59 ,0.39 , 0.88
