States,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,0.13 ,0.02 , 0.30,0.17 ,0.04 , 0.39,0.23 ,0.06 , 0.50,0.31 ,0.09 , 0.64,0.41 ,0.13 , 0.81,0.52 ,0.19 , 1.00,0.65 ,0.27 , 1.20,0.81 ,0.35 , 1.43,0.98 ,0.47 , 1.69,1.16 ,0.64 , 1.96,1.37 ,0.78 , 2.24,1.58 ,0.95 , 2.50,1.81 ,1.12 , 2.79,2.04 ,1.28 , 3.14,2.27 ,1.45 , 3.39,2.46 ,1.62 , 3.64,2.61 ,1.78 , 3.85,2.66 ,1.81 , 3.86,2.43 ,1.65 , 3.50,2.17 ,1.44 , 3.19,2.19 ,1.44 , 3.24,2.27 ,1.46 , 3.35,2.45 ,1.57 , 3.53,2.67 ,1.72 , 3.79,2.50 ,1.61 , 3.56,2.21 ,1.40 , 3.25,1.91 ,1.18 , 2.85,1.78 ,1.04 , 2.74,1.87 ,1.04 , 2.96,1.92 ,1.09 , 3.07
Cidade de Maputo,0.12 ,0.05 , 0.23,0.17 ,0.08 , 0.32,0.24 ,0.12 , 0.43,0.34 ,0.18 , 0.58,0.47 ,0.26 , 0.78,0.64 ,0.39 , 1.01,0.85 ,0.53 , 1.32,1.12 ,0.71 , 1.70,1.44 ,0.92 , 2.16,1.82 ,1.20 , 2.69,2.26 ,1.51 , 3.28,2.76 ,1.89 , 3.90,3.30 ,2.30 , 4.57,3.74 ,2.66 , 5.18,3.60 ,2.52 , 4.96,3.65 ,2.56 , 4.96,3.13 ,2.17 , 4.16,2.54 ,1.73 , 3.41,2.30 ,1.66 , 3.11,2.38 ,1.75 , 3.19,2.21 ,1.60 , 3.06,2.06 ,1.50 , 2.79,1.73 ,1.30 , 2.38,1.57 ,1.16 , 2.23,1.61 ,1.12 , 2.11,1.50 ,1.19 , 1.92,1.56 ,1.25 , 1.89,1.45 ,1.09 , 1.85,1.39 ,1.08 , 1.75,1.25 ,0.94 , 1.62
Gaza,0.06 ,<0.01 , 0.39,0.09 ,0.01 , 0.56,0.15 ,0.02 , 0.76,0.23 ,0.04 , 1.03,0.37 ,0.09 , 1.38,0.57 ,0.16 , 1.80,0.85 ,0.30 , 2.34,1.23 ,0.51 , 2.87,1.71 ,0.80 , 3.54,2.29 ,1.19 , 4.28,2.97 ,1.71 , 5.02,3.73 ,2.30 , 5.89,4.54 ,2.83 , 6.58,5.34 ,3.54 , 7.58,5.97 ,4.12 , 8.31,6.65 ,4.65 , 9.04,7.10 ,5.18 , 9.46,6.78 ,5.14 , 8.84,5.34 ,4.00 , 6.93,4.71 ,3.49 , 6.02,4.56 ,3.42 , 5.82,4.20 ,3.18 , 5.35,3.90 ,2.99 , 4.88,3.25 ,2.49 , 4.04,2.83 ,2.10 , 3.60,2.80 ,2.14 , 3.57,2.44 ,1.91 , 3.14,2.23 ,1.78 , 2.82,1.99 ,1.56 , 2.47,1.85 ,1.39 , 2.30
Inhambane,0.15 ,0.03 , 0.35,0.20 ,0.05 , 0.45,0.27 ,0.07 , 0.56,0.35 ,0.11 , 0.69,0.45 ,0.16 , 0.84,0.56 ,0.22 , 1.02,0.69 ,0.30 , 1.24,0.84 ,0.38 , 1.46,1.00 ,0.47 , 1.70,1.18 ,0.59 , 1.94,1.38 ,0.73 , 2.21,1.59 ,0.91 , 2.42,1.81 ,1.08 , 2.62,2.03 ,1.28 , 2.85,2.20 ,1.45 , 3.15,2.41 ,1.63 , 3.37,2.56 ,1.78 , 3.51,2.45 ,1.72 , 3.33,1.92 ,1.34 , 2.71,1.71 ,1.11 , 2.42,1.75 ,1.15 , 2.46,1.62 ,1.02 , 2.29,1.54 ,0.96 , 2.21,1.73 ,1.07 , 2.46,1.72 ,1.14 , 2.36,1.35 ,0.89 , 1.97,1.20 ,0.82 , 1.78,1.21 ,0.89 , 1.79,1.02 ,0.72 , 1.68,1.14 ,0.83 , 1.75
Manica,0.31 ,0.08 , 0.69,0.45 ,0.15 , 0.94,0.64 ,0.26 , 1.27,0.89 ,0.43 , 1.67,1.21 ,0.66 , 2.06,1.57 ,0.94 , 2.56,1.99 ,1.29 , 3.15,2.43 ,1.60 , 3.69,2.90 ,1.93 , 4.29,3.39 ,2.31 , 4.82,3.88 ,2.70 , 5.45,4.36 ,3.13 , 6.02,4.80 ,3.51 , 6.60,5.20 ,3.89 , 6.98,5.51 ,4.17 , 7.34,5.66 ,4.30 , 7.44,5.62 ,4.27 , 7.25,5.18 ,3.93 , 6.65,4.35 ,3.31 , 5.67,3.82 ,2.83 , 4.99,3.88 ,2.89 , 5.02,3.90 ,2.94 , 4.98,3.84 ,2.90 , 4.85,3.64 ,2.72 , 4.62,3.28 ,2.41 , 4.16,2.17 ,1.60 , 2.84,1.58 ,1.10 , 2.17,1.43 ,1.02 , 2.01,1.32 ,1.00 , 1.85,1.12 ,0.81 , 1.68
Maputo,0.15 ,0.05 , 0.46,0.22 ,0.08 , 0.64,0.32 ,0.12 , 0.83,0.45 ,0.19 , 1.06,0.63 ,0.29 , 1.35,0.86 ,0.41 , 1.70,1.14 ,0.58 , 2.12,1.49 ,0.80 , 2.63,1.89 ,1.08 , 3.14,2.35 ,1.42 , 3.67,2.86 ,1.82 , 4.29,3.43 ,2.30 , 4.94,4.04 ,2.86 , 5.70,4.66 ,3.41 , 6.34,5.24 ,3.84 , 7.06,5.83 ,4.38 , 7.70,6.30 ,4.85 , 8.03,6.33 ,4.94 , 7.98,5.70 ,4.47 , 6.99,5.38 ,4.23 , 6.54,5.31 ,4.17 , 6.46,5.13 ,3.98 , 6.28,5.13 ,4.05 , 6.31,5.78 ,4.63 , 7.06,6.20 ,5.00 , 7.46,5.54 ,4.48 , 6.65,5.61 ,4.52 , 6.76,5.46 ,4.42 , 6.56,5.27 ,4.23 , 6.42,4.90 ,3.80 , 5.95
Nampula,0.07 ,0.01 , 0.16,0.09 ,0.02 , 0.20,0.12 ,0.03 , 0.25,0.15 ,0.04 , 0.31,0.20 ,0.06 , 0.37,0.24 ,0.08 , 0.46,0.30 ,0.12 , 0.54,0.36 ,0.16 , 0.64,0.43 ,0.21 , 0.76,0.50 ,0.26 , 0.85,0.58 ,0.32 , 0.95,0.67 ,0.39 , 1.05,0.76 ,0.47 , 1.18,0.85 ,0.55 , 1.25,0.94 ,0.64 , 1.40,1.02 ,0.69 , 1.48,1.07 ,0.73 , 1.55,1.05 ,0.71 , 1.51,0.97 ,0.65 , 1.42,0.91 ,0.60 , 1.38,0.96 ,0.64 , 1.42,0.95 ,0.64 , 1.38,0.97 ,0.64 , 1.40,1.05 ,0.69 , 1.51,1.00 ,0.67 , 1.44,0.91 ,0.61 , 1.33,0.83 ,0.54 , 1.24,0.77 ,0.46 , 1.16,0.74 ,0.43 , 1.14,0.72 ,0.40 , 1.12
Niassa,0.21 ,0.04 , 0.57,0.28 ,0.06 , 0.73,0.37 ,0.09 , 0.95,0.47 ,0.14 , 1.16,0.59 ,0.20 , 1.39,0.73 ,0.27 , 1.60,0.87 ,0.36 , 1.86,1.01 ,0.46 , 2.08,1.16 ,0.56 , 2.27,1.32 ,0.67 , 2.45,1.47 ,0.78 , 2.62,1.62 ,0.90 , 2.80,1.75 ,1.02 , 2.95,1.88 ,1.15 , 3.04,1.98 ,1.24 , 3.07,2.05 ,1.29 , 3.07,2.05 ,1.32 , 3.06,1.98 ,1.28 , 2.95,1.81 ,1.18 , 2.69,1.63 ,1.02 , 2.45,1.56 ,0.97 , 2.33,1.49 ,0.92 , 2.21,1.36 ,0.85 , 2.02,1.05 ,0.63 , 1.62,0.97 ,0.54 , 1.55,1.06 ,0.57 , 1.70,1.17 ,0.61 , 1.87,1.17 ,0.68 , 1.87,1.09 ,0.63 , 1.80,0.98 ,0.55 , 1.69
Sofala,0.42 ,0.15 , 0.79,0.58 ,0.23 , 1.05,0.79 ,0.35 , 1.35,1.04 ,0.51 , 1.71,1.34 ,0.73 , 2.13,1.68 ,0.95 , 2.55,2.06 ,1.20 , 3.07,2.46 ,1.46 , 3.62,2.89 ,1.80 , 4.22,3.33 ,2.13 , 4.78,3.78 ,2.46 , 5.32,4.22 ,2.86 , 5.82,4.63 ,3.29 , 6.31,5.00 ,3.65 , 6.80,5.30 ,3.86 , 7.08,5.46 ,4.01 , 7.22,5.41 ,4.00 , 7.08,4.96 ,3.68 , 6.42,4.09 ,2.95 , 5.29,3.55 ,2.52 , 4.66,3.66 ,2.63 , 4.81,3.66 ,2.66 , 4.70,3.51 ,2.53 , 4.51,3.09 ,2.24 , 3.97,2.77 ,2.00 , 3.54,2.36 ,1.74 , 3.06,1.91 ,1.41 , 2.55,1.69 ,1.18 , 2.29,1.65 ,1.15 , 2.29,1.63 ,1.09 , 2.28
Tete,0.67 ,0.28 , 1.47,0.89 ,0.42 , 1.77,1.13 ,0.56 , 2.15,1.41 ,0.76 , 2.50,1.70 ,0.94 , 2.94,2.01 ,1.14 , 3.37,2.31 ,1.37 , 3.74,2.60 ,1.56 , 4.07,2.86 ,1.77 , 4.37,3.09 ,1.96 , 4.59,3.30 ,2.16 , 4.77,3.47 ,2.31 , 4.84,3.60 ,2.47 , 4.94,3.68 ,2.61 , 4.93,3.69 ,2.68 , 4.89,3.61 ,2.64 , 4.67,3.41 ,2.50 , 4.36,2.99 ,2.18 , 3.82,2.47 ,1.78 , 3.22,2.17 ,1.54 , 2.87,2.13 ,1.52 , 2.84,1.98 ,1.42 , 2.68,1.83 ,1.29 , 2.46,1.86 ,1.32 , 2.51,1.63 ,1.18 , 2.22,1.18 ,0.84 , 1.64,0.88 ,0.60 , 1.28,0.73 ,0.49 , 1.11,0.65 ,0.44 , 1.02,0.58 ,0.39 , 0.94
